,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,labels,trending,updated_github_id,gitlab_id,gitlab_url
307,nix-weather,cafkafk/nix-weather,Check Cache Availablility of NixOS Configurations.,command-line-tools,https://github.com/cafkafk/nix-weather,https://github.com/cafkafk/nix-weather,EUPL-1.2,2024-03-15 22:50:19,2025-05-30 22:05:20,2025-05-30 13:59:01,81.0,,1.0,4.0,21.0,,,95.0,4.0,8,True,3.0,2024-09-13 05:23:15,0.0.4,,,3.0,,,,,,,
308,nix-auto-follow,fzakaria/nix-auto-follow,A script to achieve automatically following all flake inputs for Nix.,command-line-tools,https://github.com/fzakaria/nix-auto-follow,https://github.com/fzakaria/nix-auto-follow,MIT,2024-08-01 05:13:49,2025-08-01 18:34:15,2025-08-01 18:34:14,38.0,,10.0,3.0,24.0,1.0,10.0,93.0,6.0,8,True,3.0,,,,,,,,,,,,
309,sbt-derivation,zaninime/sbt-derivation,"mkDerivation for sbt, similar to buildGoModule.",programming-languages,https://github.com/zaninime/sbt-derivation,https://github.com/zaninime/sbt-derivation,MIT,2019-11-27 13:48:41,2023-10-28 03:34:51,2023-10-28 03:34:50,34.0,,11.0,5.0,6.0,6.0,14.0,74.0,5.0,8,False,3.0,,,,,,,,,,,,
310,nix-otel,lf-/nix-otel,Nix OpenTelemetry sender plugin.,devops,https://github.com/lf-/nix-otel,https://github.com/lf-/nix-otel,MIT,2022-10-10 07:45:18,2023-08-06 19:52:12,2023-08-06 19:52:12,22.0,,5.0,6.0,8.0,4.0,3.0,72.0,3.0,8,False,3.0,,,,,,,,,,,,
311,celun,celun/celun,The customizable embedded Linux using Nix.,distributions,https://github.com/celun/celun,https://github.com/celun/celun,MIT,2021-09-01 05:03:35,2022-12-29 02:33:53,2022-12-29 02:33:53,238.0,,2.0,4.0,11.0,2.0,,66.0,,8,False,3.0,,,,,,,,,,,,
312,nix-gleam,arnarg/nix-gleam,Generic Nix builder for Gleam applications.,programming-languages,https://github.com/arnarg/nix-gleam,https://github.com/arnarg/nix-gleam,MIT,2023-04-14 10:10:23,2025-12-25 18:53:15,2025-12-25 18:53:15,12.0,4.0,8.0,3.0,5.0,1.0,,51.0,5.0,8,True,3.0,,,,,,,,,,,,
313,rust-nix-templater,yusdacra/rust-nix-templater,Generates Nix build and development files for Rust projects.,programming-languages,https://github.com/90-008/rust-nix-templater,https://github.com/90-008/rust-nix-templater,MIT,2021-01-04 15:40:01,2023-03-14 02:45:44,2023-03-14 02:45:44,178.0,,,2.0,3.0,4.0,15.0,49.0,2.0,8,False,3.0,2022-11-03 23:57:26,0.4.0,,,9.0,,,['rust'],,90-008/rust-nix-templater,,
314,sublime-nix,wmertens/sublime-nix,Nix syntax highlighting for Sublime Text.,editors-and-ides,https://github.com/wmertens/sublime-nix,https://github.com/wmertens/sublime-nix,MIT,2014-12-01 00:26:39,2025-02-18 20:20:38,2025-02-18 20:17:33,44.0,,9.0,1.0,8.0,3.0,4.0,33.0,6.0,8,True,3.0,2025-02-18 20:20:38,V2.4.0,,,6.0,,,,,,,
315,dreampkgs,nix-community/dreampkgs,A collection of software packages managed with dream2nix.,overlays,https://github.com/nix-community/dreampkgs,https://github.com/nix-community/dreampkgs,MIT,2021-11-07 09:32:33,2025-03-12 09:59:26,2025-03-12 09:59:25,68.0,,10.0,5.0,27.0,1.0,3.0,31.0,7.0,8,True,3.0,,,,,,,,,,,,
316,make-shell,nicknovitski/make-shell,"`mkShell` meets modules, a modular almost-drop-in replacement for `pkgs.mkShell` function.",development,https://github.com/nicknovitski/make-shell,https://github.com/nicknovitski/make-shell,,2024-06-08 03:48:48,2025-11-24 15:49:48,2024-12-11 16:16:55,23.0,,4.0,1.0,13.0,3.0,,29.0,3.0,8,True,3.0,2024-10-22 13:32:57,1.3.0,,,5.0,,,,,,,
317,nix-uri,a-kenji/nix-uri,Parse the nix-uri scheme.,command-line-tools,https://github.com/a-kenji/nix-uri,https://github.com/a-kenji/nix-uri,MIT,2022-05-25 10:02:32,2025-12-22 19:02:15,2025-12-18 15:00:09,448.0,34.0,1.0,2.0,227.0,19.0,15.0,3.0,3.0,8,True,3.0,,,,,,,,,,,,
318,NixOS Guide,mikeroyal/NixOS-Guide,NixOS Guide. Learn all about the immutable Nix Operating System and the declarative Nix Expression Language.,learning,https://github.com/mikeroyal/NixOS-Guide,https://github.com/mikeroyal/NixOS-Guide,,2021-08-08 20:26:13,2025-06-27 01:56:19,2025-06-27 01:56:19,78.0,,28.0,16.0,31.0,1.0,1.0,1035.0,5.0,7,True,3.0,,,,,,,,,,,,
319,madness,antithesishq/madness,Madness enables you to easily run the same binary on NixOS and non-NixOS systems.,command-line-tools,https://github.com/antithesishq/madness,https://github.com/antithesishq/madness,BSD-3-Clause,2024-06-19 13:24:58,2025-09-04 14:16:43,2025-09-04 14:16:43,16.0,,3.0,3.0,2.0,4.0,1.0,272.0,4.0,7,True,3.0,,,,,,,,,,,,
320,nixcrpkgs,pololu/nixcrpkgs,Tools for cross-compiling standalone applications using Nix.,development,https://github.com/pololu/nixcrpkgs,https://github.com/pololu/nixcrpkgs,,2017-07-08 00:50:59,2024-12-23 22:01:29,2024-12-23 22:00:58,1037.0,,16.0,11.0,5.0,3.0,2.0,232.0,7.0,7,True,3.0,,,,,,,,,,,,
321,nix-articles,samdroid-apps/nix-articles,Some articles about getting started with Nix programming & configuration.,learning,https://github.com/samdroid-apps/nix-articles,https://github.com/samdroid-apps/nix-articles,,2018-01-28 10:42:50,2024-11-10 11:25:50,2024-11-10 11:25:49,15.0,,10.0,21.0,2.0,1.0,,177.0,3.0,7,False,3.0,,,,,,,,,,,,
322,NixOS-DNS,Janik-Haag/NixOS-DNS,Manage your DNS zones with NixOS.,nixos-modules,https://github.com/Janik-Haag/NixOS-DNS,https://github.com/Janik-Haag/NixOS-DNS,MIT,2023-12-10 21:39:31,2025-03-21 19:00:57,2025-03-21 19:00:54,27.0,,5.0,2.0,13.0,6.0,4.0,141.0,4.0,7,True,3.0,,,,,,,,,,,,
323,shoji-nix,AdoPi/shoji-nix,Bundle and save your SSH keys with Nix.,security,https://github.com/AdoPi/shoji-nix,https://github.com/AdoPi/shoji-nix,GPL-3.0,2024-03-01 15:05:12,2025-09-20 15:41:08,2025-09-20 15:41:07,89.0,,3.0,3.0,7.0,,,113.0,3.0,7,True,3.0,,,,,,,,,,,,
324,nixseparatedebuginfod,symphorien/nixseparatedebuginfod,Downloads and provides debug symbols and source code for nix derivations to debuggers as needed.,development,https://github.com/symphorien/nixseparatedebuginfod,https://github.com/symphorien/nixseparatedebuginfod,,2023-01-22 16:41:10,2025-12-27 21:32:00,2025-12-27 12:00:00,143.0,9.0,5.0,5.0,14.0,1.0,6.0,112.0,7.0,7,True,3.0,,,,,,,,,,,,
325,nixtract,tweag/nixtract,A CLI tool to extract the graph of derivations from a Nix flake.,command-line-tools,https://github.com/tweag/nixtract,https://github.com/tweag/nixtract,,2023-08-14 12:32:42,2025-10-27 15:55:47,2025-10-27 15:55:47,125.0,1.0,7.0,7.0,42.0,8.0,10.0,102.0,8.0,7,True,3.0,2024-04-17 07:19:27,0.3.0,76.0,2.0,3.0,,,,,,,
326,opnix,mrjones2014/opnix,Native secret management for NixOS using 1Password.,security,https://github.com/mrjones2014/opnix,https://github.com/mrjones2014/opnix,MIT,2024-08-12 11:08:20,2025-02-10 17:34:10,2025-02-10 17:34:04,98.0,,7.0,5.0,3.0,3.0,2.0,101.0,5.0,7,True,3.0,,,,,,,,,,,,
327,korora,adisbladis/korora,A tiny & fast type system for Nix in Nix.,development,https://github.com/adisbladis/korora,https://github.com/adisbladis/korora,MIT,2023-12-14 11:20:54,2025-11-15 08:37:33,2025-11-15 08:37:18,60.0,6.0,2.0,2.0,2.0,1.0,7.0,95.0,,7,True,3.0,,,,,,,,,,,,
328,zephyr-nix,adisbladis/zephyr-nix,Develop Zephyr projects using Nix.,development,https://github.com/nix-community/zephyr-nix,https://github.com/nix-community/zephyr-nix,,2024-02-06 02:55:18,2025-11-21 14:08:06,2025-11-21 14:08:05,75.0,2.0,24.0,4.0,43.0,2.0,3.0,70.0,8.0,7,True,3.0,,,,,,,,,,nix-community/zephyr-nix,,
329,easy-hls-nix,jkachmar/easy-hls-nix,Easy Haskell Language Server tooling with Nix.,programming-languages,https://github.com/jkachmar/easy-hls-nix,https://github.com/jkachmar/easy-hls-nix,MPL-2.0,2021-03-06 19:52:20,2022-03-01 14:47:10,2022-03-01 14:47:10,45.0,,11.0,1.0,12.0,2.0,3.0,55.0,7.0,7,False,3.0,,,,,,,,['haskell'],,,,
330,nixpkgs-track,uncenter/nixpkgs-track,Track where Nixpkgs pull requests have reached.,command-line-tools,https://github.com/uncenter/nixpkgs-track,https://github.com/uncenter/nixpkgs-track,MIT,2024-08-02 21:26:39,2025-07-27 10:31:16,2025-07-27 10:30:55,46.0,,2.0,1.0,10.0,,6.0,43.0,5.0,7,True,3.0,2025-05-23 15:38:42,0.3.0,,,1.0,1.0,1.0,,,,,
331,nix-health,juspay/nix-health,A program to check the health of your Nix install.,development,https://github.com/juspay/nix-health,https://github.com/juspay/nix-health,,2024-04-04 07:07:32,2025-08-29 20:49:41,2024-07-12 15:27:48,81.0,,4.0,6.0,15.0,6.0,8.0,42.0,4.0,7,False,3.0,2024-07-10 21:25:22,0.4.0,,,1.0,,,,,,,
332,regula-nix,JeremiahSecrist/regula-nix,This project aims to help implement and enforce various security standards in NixOS.,security,https://github.com/JeremiahSecrist/regula-nix,https://github.com/JeremiahSecrist/regula-nix,MIT,2023-08-28 20:58:29,2025-03-10 04:12:13,2025-03-10 04:12:13,145.0,,1.0,3.0,7.0,3.0,10.0,37.0,3.0,7,True,3.0,,,,,,,,,,,,
333,reupnix,tuhhosg/reupnix,Reconfigurable and Updateable Embedded Systems.,distributions,https://github.com/tuhhosg/reupnix,https://github.com/tuhhosg/reupnix,MIT,2023-05-11 11:06:35,2024-02-02 01:12:27,2024-02-02 01:11:52,16.0,,3.0,5.0,,1.0,,32.0,,7,False,3.0,2023-05-12 12:05:03,lctes23-crv,,,1.0,,,,,,,
