,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,trending,dependent_project_count,github_dependent_project_count,updated_github_id,labels,new_addition,gitlab_id,gitlab_url
191,haskell-nix,Gabriella439/haskell-nix,Nix and Haskell in production.,programming-languages,https://github.com/Gabriella439/haskell-nix,https://github.com/Gabriella439/haskell-nix,,2017-01-02 18:59:50,2023-09-22 15:53:46,2023-09-22 15:53:46,82.0,,110.0,31.0,35.0,26.0,38.0,1166,12,False,3,,,,,,23.0,,,,,['haskell'],,,
192,nix-alien,thiagokokada/nix-alien,Run unpatched binaries on Nix/NixOS easily.,command-line-tools,https://github.com/thiagokokada/nix-alien,https://github.com/thiagokokada/nix-alien,MIT,2021-10-27 00:26:44,2026-02-15 10:22:03,2026-02-15 10:22:02,417.0,5.0,14.0,4.0,113.0,1.0,37.0,775,12,True,2,,,,,,11.0,,,,,,,,
193,RFCs,NixOS/rfcs,The Nix community RFCs.,learning,https://github.com/NixOS/rfcs,https://github.com/NixOS/rfcs,CC-BY-SA-4.0,2017-02-11 15:41:27,2025-05-26 15:49:46,2025-05-26 15:49:41,76.0,,144.0,134.0,196.0,,,626,12,True,2,,,,,,39.0,,,,,,,,
194,nix-colors,Misterio77/nix-colors,Modules and schemes to make theming with Nix awesome.,theming,https://github.com/Misterio77/nix-colors,https://github.com/Misterio77/nix-colors,GPL-3.0,2021-10-01 19:43:28,2024-05-23 18:39:21,2024-02-13 11:51:18,97.0,,46.0,6.0,28.0,16.0,21.0,586,12,False,3,2023-04-21 20:19:53,4.0.0,,,4.0,12.0,,,,,,,,
195,ragenix,yaxitech/ragenix,age-encrypted secrets for NixOS; drop-in replacement for agenix.,security,https://github.com/yaxitech/ragenix,https://github.com/yaxitech/ragenix,Apache-2.0,2021-05-07 22:41:54,2026-01-06 18:21:34,2025-10-30 14:01:53,169.0,,23.0,6.0,148.0,13.0,6.0,443,12,True,2,,,,,,14.0,,,,,,,,
196,haumea,nix-community/haumea,"Filesystem-based module system for the Nix language similar to traditional programming languages, with support for..",development,https://github.com/nix-community/haumea,https://github.com/nix-community/haumea,MPL-2.0,2023-04-01 00:50:18,2026-02-24 18:32:03,2026-02-24 18:31:59,98.0,4.0,9.0,5.0,39.0,10.0,4.0,388,12,True,3,2023-05-26 20:34:06,0.2.2,,,5.0,4.0,,,,,,,,
197,nix-security-box,fabaff/nix-security-box,Tool set for Information security professionals and all others.,security,https://github.com/fabaff/nix-security-box,https://github.com/fabaff/nix-security-box,MIT,2020-12-22 22:36:28,2026-03-08 09:53:20,2026-03-08 09:53:20,704.0,36.0,25.0,9.0,4.0,2.0,2.0,380,12,True,2,,,,,,,,,,,,,,
198,nix-mode,NixOS/nix-mode,An Emacs major mode for editing Nix expressions.,editors-and-ides,https://github.com/NixOS/nix-mode,https://github.com/NixOS/nix-mode,LGPL-2.1,2016-08-17 20:46:39,2024-06-25 16:56:44,2023-04-21 20:36:55,564.0,,75.0,15.0,114.0,37.0,57.0,331,12,False,3,,,,,,39.0,,,,,,,,
199,NixVirt,AshleyYakeley/NixVirt,LibVirt domain management for Nix.,virtualisation,https://github.com/AshleyYakeley/NixVirt,https://github.com/AshleyYakeley/NixVirt,MIT,2024-01-27 19:54:59,2025-12-06 21:40:14,2025-12-06 21:40:11,421.0,,42.0,2.0,55.0,7.0,36.0,323,12,True,3,,,,,,23.0,,,,,,,,
200,nixos-avf,nix-community/nixos-avf,NixOS for Android Terminal (Android Virtualization Framework).,distributions,https://github.com/nix-community/nixos-avf,https://github.com/nix-community/nixos-avf,GPL-3.0,2025-03-24 22:04:05,2026-01-23 01:34:49,2026-01-23 01:34:42,150.0,29.0,19.0,5.0,20.0,7.0,12.0,276,12,True,2,2025-11-26 01:53:27,nixos-25.11,4.0,0.0,3.0,5.0,,,,,['android'],,,
201,styx,styx-static/styx,Static site generator in Nix expression language.,development,https://github.com/styx-static/styx,https://github.com/styx-static/styx,MIT,2016-10-02 22:24:18,2023-01-13 16:06:57,2023-01-13 16:06:53,338.0,,23.0,11.0,51.0,15.0,35.0,234,12,False,3,,,,,,13.0,,,,,,,,
202,nixos-docker-sd-image-builder,Robertof/nixos-docker-sd-image-builder,Build custom SD images of NixOS for your Raspberry Pi (or any other supported AArch64 device) in 5-20 minutes.,installation-media,https://github.com/Robertof/nixos-docker-sd-image-builder,https://github.com/Robertof/nixos-docker-sd-image-builder,MIT,2020-05-04 23:32:19,2026-01-30 00:43:05,2026-01-30 00:42:47,77.0,4.0,34.0,7.0,7.0,5.0,22.0,227,12,True,3,,,,,,7.0,,,,,,,,
203,Nix Templates,jonringer/nix-template,Collection of Nix templates for different types of projects.,learning,https://github.com/jonringer/nix-template,https://github.com/jonringer/nix-template,CC0-1.0,2020-07-17 00:41:15,2026-02-13 23:53:51,2026-02-13 23:53:48,151.0,2.0,8.0,8.0,24.0,6.0,29.0,218,12,True,2,2022-12-17 17:56:21,0.4.1,,,9.0,6.0,,,,,,,,
204,Bundix,nix-community/bundix,Generates a Nix expression for your Bundler-managed application.,programming-languages,https://github.com/nix-community/bundix,https://github.com/nix-community/bundix,,2016-01-24 20:36:56,2024-07-01 18:19:19,2023-11-08 07:54:39,118.0,,55.0,3.0,57.0,38.0,26.0,179,12,False,3,2021-04-01 08:26:58,2.5.1,,,5.0,18.0,,3.0,3.0,,['ruby'],,,
205,dns.nix,nix-community/dns.nix,A Nix DSL for DNS zone files.,nixos-modules,https://github.com/nix-community/dns.nix,https://github.com/nix-community/dns.nix,MPL-2.0,2019-03-08 17:27:59,2026-01-11 15:04:14,2026-01-11 15:04:14,104.0,1.0,31.0,5.0,33.0,10.0,9.0,176,12,True,3,2021-10-26 18:34:12,1.1.2,,,4.0,15.0,,,,,,,,
206,nixos-rk3588,ryan4yin/nixos-rk3588,"Minimal NixOS running on RK3588/RK3588s based SBC(Orange Pi 5 Plus, Orange Pi 5, Rock 5A, etc).",distributions,https://github.com/ryan4yin/nixos-rk3588,https://github.com/ryan4yin/nixos-rk3588,MIT,2023-06-02 03:05:44,2025-06-02 15:58:26,2025-06-02 15:58:19,121.0,,30.0,9.0,35.0,12.0,25.0,169,12,True,2,2024-03-24 10:25:24,2024032400,507.0,16.0,2.0,10.0,,,,,,,,
207,NüschtOS Search,NuschtOS/search,Simple and fast static-page NixOS option search.,discovery,https://github.com/NuschtOS/search,https://github.com/NuschtOS/search,MIT,2024-06-23 20:04:47,2026-03-03 19:32:28,2026-01-12 20:30:18,263.0,1.0,10.0,4.0,239.0,24.0,36.0,145,12,True,3,2026-01-19 17:41:10,0.1.0,,,1.0,13.0,,,,,,,,
208,userborn,nikstur/userborn,Declaratively bear (manage) Linux users and groups.,nixos-modules,https://github.com/nikstur/userborn,https://github.com/nikstur/userborn,MIT,2024-07-22 19:33:25,2026-03-01 01:03:37,2026-01-26 17:22:11,88.0,8.0,6.0,4.0,32.0,5.0,7.0,130,12,True,3,2026-01-31 23:38:30,0.5.0,,,5.0,7.0,,,,,,,,
209,bombon,nikstur/bombon,Nix CycloneDX Software Bills of Materials (SBOMs).,security,https://github.com/nikstur/bombon,https://github.com/nikstur/bombon,MIT,2022-08-18 23:06:53,2026-03-05 23:50:09,2026-02-26 18:14:01,438.0,2.0,12.0,3.0,163.0,12.0,16.0,130,12,True,2,2025-10-09 16:53:17,0.4.0,,,4.0,9.0,,,,,,,,
210,zon2nix,nix-community/zon2nix,Convert the dependencies in `build.zig.zon` to a Nix expression.,programming-languages,https://github.com/nix-community/zon2nix,https://github.com/nix-community/zon2nix,MPL-2.0,2023-08-08 19:18:56,2026-02-06 00:21:46,2026-02-06 00:21:46,96.0,15.0,19.0,4.0,44.0,6.0,12.0,112,12,True,3,2023-09-03 23:31:23,0.1.2,,,3.0,8.0,,,,,,,,
211,nixcasks,jcszymansk/nixcasks,"Homebrew casks, nixified.",overlays,https://github.com/jcszymansk/nixcasks,https://github.com/jcszymansk/nixcasks,MIT,2023-07-24 21:17:33,2026-03-08 21:42:47,2026-03-08 21:42:45,1045.0,90.0,4.0,3.0,7.0,5.0,7.0,90,12,True,3,,,,,,5.0,,,,,,,,
212,nixpkgs-xr,nix-community/nixpkgs-xr,Automated packages for XR/AR/VR tools and apps for NixOS.,overlays,https://github.com/nix-community/nixpkgs-xr,https://github.com/nix-community/nixpkgs-xr,,2024-01-01 14:10:58,2026-03-08 02:07:20,2026-03-08 02:07:18,1565.0,123.0,10.0,3.0,625.0,7.0,22.0,87,12,True,3,,,,,,11.0,,,,,,,,
213,purs-nix,purs-nix/purs-nix,CLI and library combo designed for managing PureScript projects using Nix.,programming-languages,https://github.com/purs-nix/purs-nix,https://github.com/purs-nix/purs-nix,MIT,2021-02-25 04:10:19,2026-02-05 19:13:37,2026-02-05 19:13:25,617.0,12.0,29.0,2.0,21.0,7.0,33.0,79,12,True,3,,,,,,7.0,,,,,,,,
214,amis,NixOS/amis,Home for NixOS AMI automation.,devops,https://github.com/NixOS/amis,https://github.com/NixOS/amis,MIT,2023-11-24 12:54:23,2026-03-05 22:19:06,2026-03-04 22:50:54,312.0,12.0,17.0,3.0,302.0,15.0,28.0,76,12,True,2,,,,,,14.0,,,,,,,,
215,nix-tree,utdemir/nix-tree,Interactively browse the dependency graph of Nix derivations.,command-line-tools,https://github.com/utdemir/nix-tree,https://github.com/utdemir/nix-tree,BSD-3-Clause,2020-06-24 22:41:51,2026-03-01 00:44:39,2026-01-06 09:13:22,241.0,1.0,19.0,5.0,80.0,16.0,39.0,980,11,True,2,,,,,,14.0,,,,,,,,
216,not-os,cleverca22/not-os,"An operating system generator, based on NixOS, that outputs a small read-only squashfs for a runit-based operating..",distributions,https://github.com/cleverca22/not-os,https://github.com/cleverca22/not-os,MIT,2016-06-03 05:40:23,2025-01-12 16:03:40,2025-01-12 16:03:38,98.0,,39.0,36.0,24.0,6.0,4.0,971,11,False,3,,,,,,5.0,,,,,,,,
217,nixos-in-production,Gabriella439/nixos-in-production,"Source files for the book NixOS in Production, a practical guide for using NixOS in professional environments.",learning,https://github.com/Gabriella439/nixos-in-production,https://github.com/Gabriella439/nixos-in-production,,2022-09-09 01:41:56,2024-10-06 12:50:20,2024-10-06 12:49:49,127.0,,27.0,29.0,5.0,6.0,21.0,636,11,False,3,2024-09-23 06:00:28,0.10,,,10.0,6.0,,,,,,,,
218,nixos-vscode-server,nix-community/nixos-vscode-server,Visual Studio Code Server support in NixOS.,development,https://github.com/nix-community/nixos-vscode-server,https://github.com/nix-community/nixos-vscode-server,MIT,2020-04-02 12:49:32,2026-02-03 13:17:35,2026-02-03 13:17:35,92.0,1.0,81.0,9.0,41.0,12.0,47.0,529,11,True,3,,,,,,20.0,,,,,,,,
219,Standard,divnix/std,"An opinionated Nix Flakes framework to keep Nix code in large projects organized, accompanied by a friendly CLI/TUI..",devops,https://github.com/divnix/std,https://github.com/divnix/std,,2021-11-14 10:56:16,2025-08-25 16:03:19,2025-08-17 20:42:10,813.0,,47.0,13.0,249.0,42.0,129.0,481,11,True,2,,,,,,43.0,,,,,,,,
220,NixNG,nix-community/NixNG,"A GNU/Linux distribution similar to NixOS, defining difference is a focus on containers and lightweightness.",distributions,https://github.com/nix-community/NixNG,https://github.com/nix-community/NixNG,,2021-06-21 05:05:39,2026-02-07 14:53:30,2026-02-05 17:46:18,419.0,74.0,20.0,13.0,62.0,17.0,9.0,442,11,True,3,,,,,,11.0,,,,,,,,
221,terraform-nixos,nix-community/terraform-nixos,A set of Terraform modules designed to deploy NixOS.,deployment-tools,https://github.com/nix-community/terraform-nixos,https://github.com/nix-community/terraform-nixos,Apache-2.0,2018-12-05 17:07:26,2024-08-04 10:19:37,2021-08-26 20:33:37,76.0,,60.0,35.0,54.0,23.0,10.0,402,11,False,3,,,,,,16.0,,,,,,,,
222,trustix,nix-community/trustix,Distributed trust and reproducibility tracking for binary caches.,security,https://github.com/nix-community/trustix,https://github.com/nix-community/trustix,,2020-12-03 15:30:40,2024-08-15 14:03:26,2024-08-14 20:49:19,1208.0,,21.0,8.0,353.0,36.0,24.0,357,11,False,3,,,,,,17.0,,,,,,,,
223,any-nix-shell,haslersn/any-nix-shell,fish and zsh support for the nix run and nix-shell environments of the Nix package manager.,development,https://github.com/haslersn/any-nix-shell,https://github.com/haslersn/any-nix-shell,MIT,2018-09-10 16:36:27,2024-09-01 22:49:17,2024-09-01 22:49:17,51.0,,16.0,8.0,18.0,6.0,16.0,324,11,False,3,2024-07-23 16:03:52,2.0.1,,,7.0,10.0,,,,,,,,
224,nix-melt,nix-community/nix-melt,A ranger-like flake.,command-line-tools,https://github.com/nix-community/nix-melt,https://github.com/nix-community/nix-melt,MPL-2.0,2023-04-25 22:20:20,2026-03-06 00:14:15,2026-03-06 00:14:11,357.0,8.0,2.0,2.0,223.0,2.0,3.0,293,11,True,2,2024-09-16 15:29:34,0.1.3,362.0,10.0,4.0,3.0,,1.0,1.0,,,,,
225,extra-container,erikarvstedt/extra-container,Run declarative NixOS containers from the command line.,virtualisation,https://github.com/erikarvstedt/extra-container,https://github.com/erikarvstedt/extra-container,MIT,2018-07-14 13:32:14,2026-01-10 20:57:00,2025-12-19 14:48:47,155.0,2.0,19.0,10.0,7.0,3.0,29.0,280,11,True,3,,,,,,3.0,,,,,,,,
226,nixpkgs-python,cachix/nixpkgs-python,"All Python versions, kept up-to-date on hourly basis using Nix.",programming-languages,https://github.com/cachix/nixpkgs-python,https://github.com/cachix/nixpkgs-python,Apache-2.0,2023-05-29 13:12:25,2026-03-05 10:14:32,2026-03-03 17:39:01,271.0,13.0,20.0,2.0,90.0,9.0,14.0,222,11,True,3,,,,,,16.0,,,,,['python'],,,
227,nix-search-cli,peterldowns/nix-search-cli,CLI for searching packages on search.nixos.org.,discovery,https://github.com/peterldowns/nix-search-cli,https://github.com/peterldowns/nix-search-cli,MIT,2023-02-19 19:14:30,2025-11-03 16:36:04,2025-11-03 16:35:37,82.0,,8.0,2.0,8.0,3.0,15.0,216,11,True,3,2025-11-03 16:36:04,0.3+commit.ab0d515,828.0,22.0,34.0,2.0,,6.0,6.0,,,,,
228,nixsa,noamraph/nixsa,A Nix Standalone Environment.,installation-media,https://github.com/noamraph/nixsa,https://github.com/noamraph/nixsa,LGPL-2.1,2024-08-05 19:57:39,2026-01-01 08:08:25,2025-04-01 21:30:56,69.0,,4.0,2.0,21.0,4.0,9.0,190,11,True,3,2024-11-17 20:35:16,0.2.0,480.0,25.0,6.0,4.0,,,,,,,,
229,nix-shell,loophp/nix-shell,Nix shells for PHP development.,programming-languages,https://github.com/loophp/nix-shell,https://github.com/loophp/nix-shell,MIT,2021-06-20 06:59:35,2026-01-24 19:11:36,2026-01-24 19:11:20,671.0,8.0,14.0,4.0,279.0,4.0,12.0,178,11,True,3,,,,,,9.0,,,,,['php'],,,
230,nixos-facter-modules,nix-community/nixos-facter-modules,A series of NixOS modules to be used in conjunction with nixos-facter.,nixos-modules,https://github.com/nix-community/nixos-facter-modules,https://github.com/nix-community/nixos-facter-modules,MIT,2024-07-25 10:32:17,2026-02-16 04:26:22,2025-12-24 06:35:41,202.0,8.0,20.0,8.0,74.0,16.0,14.0,178,11,True,3,,,,,,16.0,,,,,,,,
231,nixpkgs-lint,nix-community/nixpkgs-lint,A fast semantic linter for Nix using tree-sitter.,command-line-tools,https://github.com/nix-community/nixpkgs-lint,https://github.com/nix-community/nixpkgs-lint,MIT,2022-03-31 03:02:17,2025-11-27 17:08:59,2025-11-27 17:08:51,134.0,,8.0,4.0,27.0,3.0,6.0,171,11,True,2,2023-06-02 21:31:33,0.3.0,,,3.0,6.0,,,,,,,,
232,rippkgs,replit/rippkgs,A CLI for indexing and searching packages in Nix expressions.,discovery,https://github.com/replit/rippkgs,https://github.com/replit/rippkgs,MIT,2024-02-08 16:38:09,2025-05-17 04:12:44,2025-05-17 04:12:43,53.0,,5.0,20.0,35.0,6.0,4.0,163,11,True,3,2025-02-11 22:56:58,1.2.0,,,5.0,4.0,,,,,,,,
233,npmlock2nix,nix-community/npmlock2nix,"Generate Nix expressions from a `package-lock.json` (in-memory), primarily for web projects.",programming-languages,https://github.com/nix-community/npmlock2nix,https://github.com/nix-community/npmlock2nix,Apache-2.0,2020-07-22 14:21:40,2025-09-17 09:20:11,2025-09-17 09:20:11,289.0,,38.0,3.0,137.0,37.0,20.0,149,11,True,3,,,,,,16.0,,,,,,,,
234,namaka,nix-community/namaka,Snapshot testing for Nix based on haumea.,development,https://github.com/nix-community/namaka,https://github.com/nix-community/namaka,MPL-2.0,2023-04-09 02:24:14,2026-03-05 19:08:46,2026-03-05 19:08:45,371.0,11.0,4.0,2.0,206.0,2.0,2.0,135,11,True,3,2024-11-17 00:47:49,0.2.1,,,4.0,4.0,,1.0,1.0,,,,,
235,zmk-nix,lilyinstarlight/zmk-nix,Build system and configuration files for generating and building ZMK firmware with Nix.,development,https://github.com/lilyinstarlight/zmk-nix,https://github.com/lilyinstarlight/zmk-nix,MIT,2023-11-27 21:50:04,2026-03-08 00:51:55,2026-03-08 00:51:19,332.0,21.0,28.0,2.0,255.0,6.0,5.0,135,11,True,3,,,,,,9.0,,,,,,,,
236,nix-unit,nix-community/nix-unit,Unit testing for Nix code.,development,https://github.com/nix-community/nix-unit,https://github.com/nix-community/nix-unit,GPL-3.0,2023-07-21 05:23:06,2026-02-13 14:55:38,2025-11-10 11:29:46,639.0,,14.0,2.0,264.0,8.0,12.0,117,11,True,3,2025-08-12 07:35:02,2.30.0,,,4.0,22.0,,,,,,,,
237,optnix,water-sucks/optnix,"A fast, terminal-based options searcher for Nix module systems.",discovery,https://github.com/water-sucks/optnix,https://github.com/water-sucks/optnix,GPL-3.0,2025-01-15 22:29:57,2026-02-02 02:42:29,2026-02-02 02:41:57,121.0,12.0,3.0,3.0,26.0,1.0,8.0,94,11,True,3,2025-12-11 02:30:32,0.3.1,,,6.0,2.0,,1.0,1.0,,,,,
238,composer2nix,svanderburg/composer2nix,Generate Nix expressions to build composer packages.,programming-languages,https://github.com/svanderburg/composer2nix,https://github.com/svanderburg/composer2nix,MIT,2017-07-07 20:51:06,2026-01-27 22:44:11,2022-03-01 23:41:50,64.0,,26.0,2.0,20.0,10.0,11.0,92,11,False,3,2022-03-05 11:16:43,0.0.6,,,6.0,7.0,,,,,,,,
239,opam2nix,timbertson/opam2nix,Generate Nix expressions from opam packages.,programming-languages,https://github.com/timbertson/opam2nix,https://github.com/timbertson/opam2nix,MIT,2015-08-06 10:42:08,2025-01-29 21:52:55,2025-01-29 05:58:48,370.0,,26.0,10.0,29.0,17.0,45.0,92,11,False,3,,,,,,11.0,,,,,,,,
240,nix-super,privatevoid-net/nix-super,A fork of the Nix package manager.,development,https://github.com/privatevoid-net/nix-super,https://github.com/privatevoid-net/nix-super,LGPL-2.1,2022-08-25 22:06:01,2025-12-10 23:56:39,2025-12-10 23:56:11,22422.0,16.0,3.0,2.0,16.0,2.0,2.0,91,11,True,3,,,,,,870.0,,,,,,,,
241,lon,nikstur/lon,Lock & update Nix dependencies.,command-line-tools,https://github.com/nikstur/lon,https://github.com/nikstur/lon,MIT,2024-08-09 17:21:27,2026-03-08 21:12:11,2025-12-01 22:05:38,145.0,,4.0,3.0,51.0,5.0,5.0,75,11,True,2,2025-06-16 12:45:52,0.8.0,,,8.0,5.0,,,,,,,,
242,nixpkgs-firefox-darwin,bandithedoge/nixpkgs-firefox-darwin,Automatically updated Firefox binary packages for macOS.,overlays,https://github.com/bandithedoge/nixpkgs-firefox-darwin,https://github.com/bandithedoge/nixpkgs-firefox-darwin,MIT,2021-12-12 17:28:12,2026-03-08 01:26:38,2026-03-08 01:26:37,1073.0,87.0,8.0,2.0,11.0,3.0,6.0,73,11,True,3,,,,,,10.0,,,,,,,,
243,zellij-nix,a-kenji/zellij-nix,Zellij Nix Environment.,development,https://github.com/a-kenji/zellij-nix,https://github.com/a-kenji/zellij-nix,MIT,2021-02-23 21:35:40,2026-03-08 07:31:48,2026-03-08 07:31:13,1727.0,121.0,4.0,1.0,827.0,3.0,1.0,53,11,True,3,,,,,,5.0,,,,,,,,
244,hydra-cli,nlewo/hydra-cli,A client for the Hydra Nix CI.,command-line-tools,https://github.com/nlewo/hydra-cli,https://github.com/nlewo/hydra-cli,MIT,2019-06-18 12:48:30,2024-07-22 08:10:00,2023-12-19 22:16:49,208.0,,15.0,4.0,61.0,5.0,6.0,49,11,False,2,2020-11-15 08:04:35,0.3.0,,,2.0,5.0,,,,,,,,
245,nixpkgs-track,uncenter/nixpkgs-track,Track where Nixpkgs pull requests have reached.,command-line-tools,https://github.com/uncenter/nixpkgs-track,https://github.com/uncenter/nixpkgs-track,MIT,2024-08-02 21:26:39,2026-03-02 02:55:03,2026-03-02 02:49:54,62.0,16.0,2.0,1.0,13.0,1.0,6.0,46,11,True,2,2026-03-02 02:55:04,0.6.0,,,5.0,5.0,,1.0,1.0,,,,,
246,krewfile,brumhard/krewfile,Declarative krew plugin management.,devops,https://github.com/brumhard/krewfile,https://github.com/brumhard/krewfile,MIT,2022-09-12 11:08:54,2025-12-29 10:07:57,2025-12-29 10:07:34,42.0,4.0,5.0,1.0,11.0,,7.0,43,11,True,2,2025-12-29 10:26:51,0.7.0,2768.0,65.0,12.0,7.0,,,,,,,,
247,deadnix,astro/deadnix,Scan Nix files for dead code.,command-line-tools,https://github.com/astro/deadnix,https://github.com/astro/deadnix,GPL-3.0,2021-12-05 23:06:43,2025-12-15 18:02:07,2025-11-25 23:49:03,299.0,,19.0,2.0,85.0,3.0,25.0,728,10,True,3,,,,,,18.0,,7.0,7.0,,,,,
248,manix,mlvzk/manix,"Find configuration options and function documentation for Nixpkgs, NixOS, and Home Manager.",command-line-tools,https://github.com/mlvzk/manix,https://github.com/mlvzk/manix,MPL-2.0,2020-08-15 17:14:06,2024-01-28 15:07:18,2021-04-19 23:47:08,82.0,,14.0,14.0,17.0,10.0,7.0,425,10,False,3,2021-04-19 23:51:39,0.6.3,133.0,2.0,4.0,3.0,,,,,,,,
249,Nix Package Versions,lazamar/nix-package-versions,Find all versions of a package that were available in a channel and the revision you can download it from.,discovery,https://github.com/lazamar/nix-package-versions,https://github.com/lazamar/nix-package-versions,,2020-02-11 23:23:47,2025-06-19 13:42:50,2025-06-19 13:42:45,318.0,,31.0,6.0,19.0,10.0,29.0,411,10,True,3,,,,,,12.0,,,,,,,,
250,static-haskell-nix,nh2/static-haskell-nix,Easily build most Haskell programs into fully static Linux executables.,programming-languages,https://github.com/nh2/static-haskell-nix,https://github.com/nh2/static-haskell-nix,,2018-06-13 01:06:17,2024-06-30 13:23:08,2024-06-15 22:58:11,257.0,,36.0,16.0,57.0,19.0,53.0,403,10,False,3,2024-06-15 23:02:38,2024-06-16,66.0,0.0,5.0,12.0,,,,,['haskell'],,,
251,high-quality-nix-content,gytis-ivaskevicius/high-quality-nix-content,GitHub repository containing highest quality Nix/NixOS content.,theming,https://github.com/gytis-ivaskevicius/high-quality-nix-content,https://github.com/gytis-ivaskevicius/high-quality-nix-content,MIT,2021-05-28 18:31:02,2025-06-25 11:51:02,2025-06-25 11:51:02,86.0,,23.0,14.0,25.0,2.0,3.0,356,10,True,3,,,,,,18.0,,,,,,,,
252,Nixinate,MatthewCroughan/nixinate,A Nix flake library to provide app outputs for managing existing NixOS hosts over SSH.,deployment-tools,https://github.com/MatthewCroughan/nixinate,https://github.com/MatthewCroughan/nixinate,MIT,2022-01-03 09:39:11,2025-03-23 13:46:49,2025-03-23 13:46:47,59.0,,34.0,10.0,29.0,15.0,15.0,285,10,True,3,,,,,,7.0,,,,,,,,
253,gitignore.nix,hercules-ci/gitignore.nix,The most feature-complete and easy-to-use `.gitignore` integration.,development,https://github.com/hercules-ci/gitignore.nix,https://github.com/hercules-ci/gitignore.nix,Unlicense,2019-05-12 11:51:55,2025-11-10 20:53:46,2025-11-10 20:53:45,107.0,,22.0,9.0,35.0,23.0,12.0,280,10,True,3,,,,,,13.0,,,,,,,,
254,appvm,jollheef/appvm,Nix-based app VMs.,virtualisation,https://github.com/jollheef/appvm,https://github.com/jollheef/appvm,GPL-3.0,2018-06-30 22:15:18,2025-04-21 17:49:19,2025-04-21 17:49:02,234.0,,19.0,12.0,12.0,8.0,11.0,275,10,True,3,2025-04-21 17:52:13,0.6,,,4.0,5.0,,,,,,,,
255,schizofox,schizofox/schizofox,Hardened Firefox flake for the delusional and the schizophrenics.,security,https://github.com/schizofox/schizofox,https://github.com/schizofox/schizofox,,2023-08-23 18:59:04,2026-01-01 19:33:30,2026-01-01 19:33:30,300.0,6.0,19.0,4.0,98.0,14.0,26.0,275,10,True,3,,,,,,17.0,,,,,,,,
256,base16.nix,SenchoPens/base16.nix,"Flake way to theme programs in base16 colorschemes, mustache template support included.",theming,https://github.com/SenchoPens/base16.nix,https://github.com/SenchoPens/base16.nix,MIT,2021-05-06 15:19:06,2025-08-21 23:34:00,2025-08-21 23:34:00,69.0,,12.0,2.0,9.0,2.0,14.0,274,10,True,3,2024-02-27 10:09:57,2.2.1,,,7.0,8.0,,,,,,,,
257,nix-appimage,ralismark/nix-appimage,Convert a nixos derivation into a self-contained binary.,command-line-tools,https://github.com/ralismark/nix-appimage,https://github.com/ralismark/nix-appimage,MIT,2022-08-07 06:20:32,2025-09-15 07:21:53,2025-09-15 07:21:53,42.0,,24.0,6.0,7.0,5.0,16.0,236,10,True,3,,,,,,4.0,,,,,,,,
258,nixus,infinisil/nixus,Experimental deployment tool supporting multi-host abstractions.,deployment-tools,https://github.com/infinisil/nixus,https://github.com/infinisil/nixus,GPL-3.0,2019-12-22 04:35:22,2026-02-14 20:10:07,2026-02-14 20:09:31,158.0,1.0,15.0,11.0,29.0,10.0,23.0,232,10,True,3,,,,,,10.0,,,,,,,,
259,lf-doc,lf-/nix-doc,An interactive Nix documentation tool providing CLI for function search.,discovery,https://github.com/lf-/nix-doc,https://github.com/lf-/nix-doc,,2020-07-16 08:49:20,2024-05-15 22:15:48,2024-05-15 22:15:48,80.0,,6.0,5.0,4.0,8.0,17.0,225,10,False,3,2021-07-09 03:37:24,0.5.1,,,2.0,3.0,,5.0,5.0,,,,,
260,styx (dnr),dnr/styx,Alternate nix substitution.,command-line-tools,https://github.com/dnr/styx,https://github.com/dnr/styx,GPL-2.0,2024-02-13 07:52:33,2025-12-29 09:40:46,2025-12-29 09:40:19,397.0,50.0,3.0,8.0,,1.0,1.0,203,10,True,3,,,,,,,,,,,,,,
261,nixcloud-webservices,nixcloud/nixcloud-webservices,"This nixpkgs extension, called nixcloud-webservices, focuses on ease of deployment of web-related technologies.",deployment-tools,https://github.com/nixcloud/nixcloud-webservices,https://github.com/nixcloud/nixcloud-webservices,,2017-11-17 23:06:20,2024-10-18 11:02:38,2024-10-18 11:02:38,467.0,,25.0,12.0,29.0,18.0,40.0,189,10,False,3,,,,,,14.0,,,,,,,,
262,buildkit-nix,reproducible-containers/buildkit-nix,Nix derivations as Dockerfiles.,virtualisation,https://github.com/reproducible-containers/buildkit-nix,https://github.com/reproducible-containers/buildkit-nix,Apache-2.0,2021-12-03 12:53:28,2023-09-13 10:51:18,2023-09-13 10:51:18,33.0,,17.0,10.0,15.0,6.0,3.0,183,10,False,3,2023-09-13 09:41:32,0.1.1,,,4.0,2.0,,,,,,,,
