,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,trending,dependent_project_count,github_dependent_project_count,updated_github_id,labels,new_addition,gitlab_id,gitlab_url
148,nix-snapshotter,pdtpartners/nix-snapshotter,Brings native understanding of Nix packages to containerd.,virtualisation,https://github.com/pdtpartners/nix-snapshotter,https://github.com/pdtpartners/nix-snapshotter,MIT,2023-07-05 18:31:50,2026-02-24 20:46:33,2026-02-24 19:44:30,89.0,2.0,28.0,15.0,103.0,22.0,55.0,790,14,True,3,2026-02-24 20:46:33,0.4.0,,,8.0,12.0,,1.0,1.0,,,,,
149,uv2nix,pyproject-nix/uv2nix,Ingest uv workspaces using Nix.,programming-languages,https://github.com/pyproject-nix/uv2nix,https://github.com/pyproject-nix/uv2nix,MIT,2024-08-22 04:29:29,2026-03-03 13:40:48,2026-03-03 13:40:44,429.0,28.0,37.0,7.0,243.0,3.0,56.0,680,14,True,2,,,,,,17.0,,,,,['python'],,,
150,chaotic-nyx,chaotic-cx/nyx,Daily bumped bleeding edge packages like `mesa_git` & others that arent yet in Nixpkgs. Created by the makers of..,overlays,https://github.com/chaotic-cx/nyx,https://github.com/chaotic-cx/nyx,MIT,2023-03-27 20:33:14,2025-12-08 14:39:14,2025-12-08 14:32:21,2479.0,,79.0,4.0,1135.0,,128.0,655,14,True,2,,,,,,52.0,-1.0,,,,,,,
151,nix-pills,NixOS/nix-pills,Guided introduction to Nix fundamentals from basic concepts to advanced use cases.,learning,https://github.com/NixOS/nix-pills,https://github.com/NixOS/nix-pills,CC-BY-SA-4.0,2017-08-14 09:08:14,2025-08-25 18:50:18,2025-08-25 18:50:18,398.0,,125.0,79.0,191.0,40.0,38.0,466,14,True,2,,,,,,114.0,,,,,,,,
152,agenix-rekey,oddlama/agenix-rekey,An agenix extension adding secret generation and automatic rekeying using a YubiKey or master-identity.,security,https://github.com/oddlama/agenix-rekey,https://github.com/oddlama/agenix-rekey,MIT,2023-01-30 15:44:34,2026-03-02 19:12:37,2026-03-02 19:12:37,252.0,8.0,46.0,4.0,65.0,22.0,59.0,388,14,True,2,,,,,,29.0,,,,,,,,
153,spicetify-nix,Gerg-L/spicetify-nix,A nix library for modifying spotify with spicetify.,theming,https://github.com/Gerg-L/spicetify-nix,https://github.com/Gerg-L/spicetify-nix,GPL-3.0,2023-11-30 23:44:32,2026-03-08 22:05:20,2026-03-08 22:05:04,972.0,36.0,36.0,4.0,274.0,3.0,67.0,377,14,True,2,2025-04-29 21:27:19,24.11,,,1.0,32.0,,,,,,,,
154,nixos-unified,srid/nixos-unified,"Unify NixOS + nix-darwin + home-manager configuration in a single flake, while providing a consistent interface at DX..",nixos-modules,https://github.com/srid/nixos-unified,https://github.com/srid/nixos-unified,MIT,2023-03-15 17:35:12,2025-11-25 13:14:07,2025-11-25 13:14:07,189.0,,36.0,3.0,71.0,21.0,40.0,354,14,True,3,2024-10-03 15:42:09,0.2.0,,,2.0,10.0,,,,,,,,
155,raspberry-pi-nix,nix-community/raspberry-pi-nix,NixOS modules to aid in configuring NixOS for Raspberry PI products.,installation-media,https://github.com/nix-community/raspberry-pi-nix,https://github.com/nix-community/raspberry-pi-nix,MIT,2022-05-21 01:16:06,2025-03-23 01:24:31,2025-03-17 14:59:51,165.0,,83.0,8.0,46.0,13.0,53.0,310,14,True,3,2024-11-05 03:51:57,0.4.1,,,7.0,14.0,,,,,,,,
156,nixpkgs-esp-dev,mirrexagon/nixpkgs-esp-dev,Nix flake and overlay for ESP8266 and ESP32 development.,overlays,https://github.com/mirrexagon/nixpkgs-esp-dev,https://github.com/mirrexagon/nixpkgs-esp-dev,CC0-1.0,2019-06-01 04:00:43,2026-01-08 09:44:01,2026-01-08 09:43:27,210.0,10.0,94.0,9.0,64.0,19.0,36.0,288,14,True,2,,,,,,33.0,,,,,,,,
157,nvfetcher,berberman/nvfetcher,Generate nix sources expr for the latest version of packages.,development,https://github.com/berberman/nvfetcher,https://github.com/berberman/nvfetcher,MIT,2021-04-20 04:07:58,2026-02-25 00:49:54,2026-02-25 00:43:02,187.0,3.0,19.0,2.0,78.0,15.0,54.0,273,14,True,2,2025-12-14 07:46:13,0.8.0,,,10.0,17.0,,,,,,,,
