,name,github_id,description,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,trending
38,NixVim,nix-community/nixvim,A NeoVim distribution built with Nix modules and Nixpkgs.,editors-and-ides,{},,,298.0,2,False,1.0,,,,,,,,,,
39,nvf,notashelf/nvf,"Highly modular, configurable, extensible and easy to use Neovim configuration in Nix.",editors-and-ides,{},,,158.0,2,False,1.0,,,,,,,,,,
40,Nixlets,,"Like Helm but using only Nix, uses Kubenix under the hood.",deployment-tools,https://gitlab.com/TECHNOFAB/nixlets,,,,1,False,2.0,TECHNOFAB/nixlets,https://gitlab.com/TECHNOFAB/nixlets,2024-03-06 10:17:25,0.0,1.0,2.0,4.0,0.0,2024-03-06 10:17:25,
41,dev-templates,the-nix-way/dev-templates,Dev environments for numerous languages based on Nix flakes.,learning,{},,,40.0,1,False,2.0,,,,,,,,,,
42,nix-pills,NixOS/nix-pills,Guided introduction to Nix fundamentals from basic concepts to advanced use cases.,learning,{},,,116.0,1,False,2.0,,,,,,,,,,
43,NixOS & Flakes Book,ryan4yin/nixos-and-flakes-book,An unofficial and opinionated NixOS & Flakes book for beginners.,learning,{},,,90.0,1,False,2.0,,,,,,,,,,
44,RFCs,NixOS/rfcs,The Nix community RFCs.,learning,{},,,40.0,1,False,2.0,,,,,,,,,,
45,Zero to Nix,DeterminateSystems/zero-to-nix,"A beginners guide to Nix, providing step-by-step tutorials and explanations.",learning,{},,,56.0,1,False,2.0,,,,,,,,,,
46,lf-doc,lf-/nix-doc,An interactive Nix documentation tool providing CLI for function search.,discovery,{},5.0,5.0,3.0,1,False,1.0,,,,,,,,,,
47,NixOS Search,NixOS/nixos-search,Search NixOS packages and options.,discovery,{},,,130.0,1,False,1.0,,,,,,,,,,
48,noogle,nix-community/noogle,Nix function exploring.,discovery,{},,,26.0,1,False,1.0,,,,,,,,,,
49,nixos-anywhere,nix-community/nixos-anywhere,Install NixOS everywhere via SSH.,installation-media,{},,,83.0,1,False,2.0,,,,,,,,,,
50,nixos-apple-silicon,nix-community/nixos-apple-silicon,Resources to install NixOS bare metal on Apple Silicon Macs.,installation-media,{},,,55.0,1,False,2.0,,,,,,,,,,
51,nixos-generators,nix-community/nixos-generators,"Take a NixOS config and build multiple different images types including VirtualBox VMs, Azure images, and installation..",installation-media,{},,,69.0,1,False,2.0,,,,,,,,,,
52,nixos-images,nix-community/nixos-images,Automatically build (netboot) images for NixOS.,installation-media,{},,,26.0,1,False,2.0,,,,,,,,,,
53,nixos-infect,elitak/nixos-infect,Replace a running non-NixOS Linux host with NixOS.,installation-media,{},,,107.0,1,False,2.0,,,,,,,,,,
54,Colmena,zhaofengli/colmena,"A simple, stateless NixOS deployment tool modeled after NixOps and morph.",deployment-tools,{},,,40.0,1,False,2.0,,,,,,,,,,
55,comin,nlewo/comin,A deployment tool to continuously pull from Git repositories.,deployment-tools,{},,,28.0,1,False,2.0,,,,,,,,,,
56,deploy-rs,serokell/deploy-rs,A simple multi-profile Nix-flake deploy tool.,deployment-tools,{},,,48.0,1,False,2.0,,,,,,,,,,
57,KubeNix,hall/kubenix,A Kubernetes resource builder using Nix.,deployment-tools,{},,,31.0,1,False,2.0,,,,,,,,,,
58,morph,DBCDK/morph,A tool for managing existing NixOS hosts.,deployment-tools,{},,,35.0,1,False,2.0,,,,,,,,,,
59,nix2container,nlewo/nix2container,An archive-less dockerTools.buildImage implementation.,deployment-tools,{},,,32.0,1,False,2.0,,,,,,,,,,
60,Nixery,tazjin/nixery,A Docker-compatible container registry which builds images ad-hoc via Nix.,deployment-tools,{},5.0,5.0,12.0,1,False,2.0,,,,,,,,,,
61,terranix,terranix/terranix,Use Nix and the NixOS module system to write your Terraform code.,deployment-tools,{},,,35.0,1,False,2.0,,,,,,,,,,
62,Makes,fluidattacks/makes,"A Nix-based CI/CD pipeline framework for building, testing, and releasing projects in any language, from anywhere.",devops,{},,,27.0,1,False,1.0,,,,,,,,,,
63,Standard,divnix/std,"An opinionated Nix Flakes framework to keep Nix code in large projects organized, accompanied by a friendly CLI/TUI..",devops,{},,,44.0,1,False,1.0,,,,,,,,,,
64,microvm,astro/microvm.nix,NixOS-based MicroVMs.,virtualisation,{},,,116.0,1,False,2.0,,,,,,,,,,
65,nixos-shell,Mic92/nixos-shell,Simple headless VM configuration using Nix (similar to Vagrant).,virtualisation,{},,,26.0,1,False,2.0,,,,,,,,,,
66,NixVirt,AshleyYakeley/NixVirt,LibVirt domain management for Nix.,virtualisation,{},,,30.0,1,False,2.0,,,,,,,,,,
67,comma,nix-community/comma,Quickly run any binary; wraps together `nix run` and `nix-index`.,command-line-tools,{},,,29.0,1,False,2.0,,,,,,,,,,
68,deadnix,astro/deadnix,Scan Nix files for dead code.,command-line-tools,{},7.0,7.0,19.0,1,False,2.0,,,,,,,,,,
69,nh,nix-community/nh,"Better output for `nix`, `nixos-rebuild`, `home-manager` and nix-darwin CLI leveraging `dix` and `nix-output-monitor`.",command-line-tools,{},,,55.0,1,False,2.0,,,,,,,,,,
70,nix-bundle,nix-community/nix-bundle,Bundle Nix derivations to run anywhere.,command-line-tools,{},,,21.0,1,False,2.0,,,,,,,,,,
71,nix-eval-jobs,nix-community/nix-eval-jobs,Parallel nix evaluator with a streamable json output.,command-line-tools,{},,,33.0,1,False,2.0,,,,,,,,,,
72,nix-index-database,nix-community/nix-index-database,Weekly updated nix-index database.,command-line-tools,{},,,40.0,1,False,2.0,,,,,,,,,,
73,nix-output-monitor,maralorn/nix-output-monitor,A tool to produce useful graphs and statistics when building derivations.,command-line-tools,{},,,29.0,1,False,2.0,,,,,,,,,,
74,nix-uri,a-kenji/nix-uri,Parse the nix-uri scheme.,command-line-tools,{},3.0,3.0,3.0,1,False,2.0,,,,,,,,,,
75,nixfmt,NixOS/nixfmt,"A formatter for Nix code, intended to easily apply a uniform style.",command-line-tools,{},,,48.0,1,False,2.0,,,,,,,,,,
76,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,{},,,104.0,1,False,2.0,,,,,,,,,,-26.0
77,patsh,nix-community/patsh,A command-line tool for patching shell scripts inspired by resholve.,command-line-tools,{},19.0,19.0,2.0,1,False,2.0,,,,,,,,,,
78,llm-agents.nix,numtide/llm-agents.nix,Nix packages for AI coding agents and development tools. Automatically updated daily.,ai-tooling,{},,,127.0,1,False,1.0,,,,,,,,,,-25.0
79,MCP-NixOS,utensils/mcp-nixos,"An MCP server that provides AI assistants with accurate information about NixOS packages, options, Home Manager, and..",ai-tooling,{},4.0,4.0,11.0,1,False,1.0,,,,,,,,,,
80,Arion,hercules-ci/arion,Run `docker-compose` with help from Nix/NixOS.,development,{},,,31.0,1,False,2.0,,,,,,,,,,
81,attic,zhaofengli/attic,Multi-tenant Nix Binary Cache.,development,{},,,41.0,1,False,2.0,,,,,,,,,,
82,cached-nix-shell,xzfc/cached-nix-shell,A `nix-shell` replacement that uses caching to open subsequent shells quickly.,development,{},8.0,8.0,6.0,1,False,2.0,,,,,,,,,,
83,cachix,cachix/cachix,Command line client for Nix binary cache hosting.,development,{},,,22.0,1,False,2.0,,,,,,,,,,
84,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,{},,,103.0,1,False,2.0,,,,,,,,,,-28.0
85,devshell,numtide/devshell,`mkShell` with extra bits and a toml config option to be able to onboard non-nix users.,development,{},,,43.0,1,False,2.0,,,,,,,,,,
86,digga,divnix/digga,"A Nix flake utility library to structure your home, system, and development configurations.",development,{},,,53.0,1,False,2.0,,,,,,,,,,
87,dream2nix,nix-community/dream2nix,A framework for automatically converting packages from other build systems to Nix.,development,{},,,80.0,1,False,2.0,,,,,,,,,,
88,flake-utils,numtide/flake-utils,Pure Nix flake utility functions to help with writing flakes.,development,{},,,28.0,1,False,2.0,,,,,,,,,,
89,flake-utils-plus,gytis-ivaskevicius/flake-utils-plus,A lightweight Nix library flake for painless NixOS flake configuration.,development,{},,,24.0,1,False,2.0,,,,,,,,,,
90,flake.parts,hercules-ci/flake-parts,Minimal Nix modules framework for Flakes: split your flakes into modules and get things done with community modules.,development,{},,,26.0,1,False,2.0,,,,,,,,,,
91,flox,flox/flox,"Manage and share development environments, package projects, and publish artifacts anywhere.",development,{},,,74.0,1,False,2.0,,,,,,,,,,
92,jupyenv,tweag/jupyenv,Declarative and reproducible Jupyter environments - powered by Nix.,development,{},,,39.0,1,False,2.0,,,,,,,,,,
93,lorri,nix-community/lorri,A much better `nix-shell` for development that augments direnv.,development,{},,,59.0,1,False,2.0,,,,,,,,,,
94,nil,oxalica/nil,"NIx Language server, an incremental analysis assistent for writing in Nix.",development,{},,,35.0,1,False,2.0,,,,,,,,,,
95,niv,nmattia/niv,Easy dependency management for Nix projects with package pinning.,development,{},,,38.0,1,False,2.0,,,,,,,,,,
96,nix-direnv,nix-community/nix-direnv,A fast loader and flake-compliant configuration for the direnv environment auto-loader.,development,{},,,91.0,1,False,2.0,,,,,,,,,,
97,nix-fast-build,Mic92/nix-fast-build,Combine the power of nix-eval-jobs with nix-output-monitor to speed-up your evaluation and building process.,development,{},,,22.0,1,False,2.0,,,,,,,,,,
98,nix-ld,nix-community/nix-ld,Run unpatched dynamic binaries on NixOS.,development,{},,,21.0,1,False,2.0,,,,,,,,,,
99,nix-unit,nix-community/nix-unit,Unit testing for Nix code.,development,{},,,23.0,1,False,2.0,,,,,,,,,,
100,nix-update,Mic92/nix-update,Update versions/source hashes of nix packages.,development,{},,,82.0,1,False,2.0,,,,,,,,,,
101,nixd,nix-community/nixd,"Nix language server, based on Nix libraries.",development,{},,,61.0,1,False,2.0,,,,,,,,,,
102,nixos-vscode-server,nix-community/nixos-vscode-server,Visual Studio Code Server support in NixOS.,development,{},,,21.0,1,False,2.0,,,,,,,,,,
103,nixpkgs-review,Mic92/nixpkgs-review,The best tool to verify that a pull-request in Nixpkgs is building properly.,development,{},,,83.0,1,False,2.0,,,,,,,,,,
104,nixpkgs-update,nix-community/nixpkgs-update,Semi-automatic updating of nixpkgs packages.,development,{},,,61.0,1,False,2.0,,,,,,,,,,
105,npins,andir/npins,A simple tool for handling different types of dependencies in a Nix project.,development,{},,,35.0,1,False,2.0,,,,,,,,,,
106,rnix-parser,nix-community/rnix-parser,A Nix parser written in Rust.,development,{},2.0,2.0,32.0,1,False,2.0,,,,,,,,,,
107,robotnix,nix-community/robotnix,A declarative and reproducible build system for Android (AOSP) images.,development,{},,,33.0,1,False,2.0,,,,,,,,,,
108,services-flake,juspay/services-flake,A NixOS-like service configuration framework for Nix flakes.,development,{},,,38.0,1,False,2.0,,,,,,,,,,
109,treefmt-nix,numtide/treefmt-nix,"A formatter that allows formatting all your project files with a single command, all via a single `.nix` file.",development,{},,,137.0,1,False,2.0,,,,,,,,,,
110,Bundix,nix-community/bundix,Generates a Nix expression for your Bundler-managed application.,programming-languages,{},3.0,3.0,18.0,1,False,2.0,,,,,,,,,,
111,cabal2nix,NixOS/cabal2nix,Converts a Cabal file into a Nix build expression.,programming-languages,{},,,134.0,1,False,2.0,,,,,,,,,,
112,cargo2nix,cargo2nix/cargo2nix,Granular builds of Rust projects for Nix.,programming-languages,{},,,42.0,1,False,2.0,,,,,,,,,,
113,crane,ipetkov/crane,A Nix library for building Cargo projects with incremental artifact caching.,programming-languages,{},,,76.0,1,False,2.0,,,,,,,,,,
114,Easy PureScript Nix,justinwoo/easy-purescript-nix,A project to easily use PureScript and other tools with Nix.,programming-languages,{},,,32.0,1,False,2.0,,,,,,,,,,
115,fenix,nix-community/fenix,Rust toolchains and Rust analyzer nightly for nix.,programming-languages,{},,,31.0,1,False,2.0,,,,,,,,,,
116,ghc.nix,alpmestan/ghc.nix,Nix (shell) expression for working on GHC.,programming-languages,{},,,29.0,1,False,2.0,,,,,,,,,,
117,haskell-nix,Gabriella439/haskell-nix,Nix and Haskell in production.,programming-languages,{},,,23.0,1,False,2.0,,,,,,,,,,
118,hnix,haskell-nix/hnix,A Haskell re-implementation of the Nix expression language.,programming-languages,{},,,64.0,1,False,2.0,,,,,,,,,,
119,naersk,nix-community/naersk,Build Rust packages directly from `Cargo.lock`.,programming-languages,{},,,58.0,1,False,2.0,,,,,,,,,,
120,nickel,tweag/nickel,Better configuration for less.,programming-languages,{},,,97.0,1,False,2.0,,,,,,,,,,
121,nijs,svanderburg/nijs,NiJS: An internal DSL for Nix in JavaScript.,programming-languages,{},29.0,29.0,2.0,1,False,2.0,,,,,,,,,,
122,rust-overlay,oxalica/rust-overlay,Pure and reproducible nix overlay of binary distributed Rust toolchains.,programming-languages,{},,,27.0,1,False,2.0,,,,,,,,,,
123,tvix,tvlfyi/tvix,Tvix - A Rust implementation of Nix.,programming-languages,{},,,51.0,1,False,2.0,,,,,,,,,,
124,uv2nix,pyproject-nix/uv2nix,Ingest uv workspaces using Nix.,programming-languages,{},,,21.0,1,False,2.0,,,,,,,,,,
125,impermanence,nix-community/impermanence,Lets you choose what files and directories you want to keep between reboots.,nixos-modules,{},,,37.0,1,False,2.0,,,,,,,,,,
126,Jovian-NixOS,Jovian-Experiments/Jovian-NixOS,NixOS modules for gaming with Steam Deck compatibility.,nixos-modules,{},,,24.0,1,False,2.0,,,,,,,,,,
127,lanzaboote,nix-community/lanzaboote,Secure Boot for NixOS.,nixos-modules,{},,,55.0,1,False,2.0,,,,,,,,,,
128,musnix,musnix/musnix,Do real-time audio work in NixOS.,nixos-modules,{},,,39.0,1,False,2.0,,,,,,,,,,
129,nix-bitcoin,fort-nix/nix-bitcoin,Modules and packages for Bitcoin nodes with higher-layer protocols with an emphasis on security.,nixos-modules,{},,,31.0,1,False,2.0,,,,,,,,,,
130,nix-homebrew,zhaofengli/nix-homebrew,"Manages Homebrew installations on macOS using nix-darwin, with pinned versions and declarative tap management.",nixos-modules,{},,,22.0,1,False,2.0,,,,,,,,,,
131,nix-minecraft,Infinidoge/nix-minecraft,An attempt to better support Minecraft-related content for the Nix ecosystem.,nixos-modules,{},,,30.0,1,False,2.0,,,,,,,,,,
132,nix-topology,oddlama/nix-topology,Generate infrastructure and network diagrams directly from your NixOS configuration.,nixos-modules,{},,,27.0,1,False,2.0,,,,,,,,,,
133,nixarr,rasmus-kirk/nixarr,The Media Server Nixos Module.,nixos-modules,{},,,37.0,1,False,2.0,,,,,,,,,,
134,nixGL,nix-community/nixGL,A wrapper tool for nix OpenGL application.,nixos-modules,{},,,30.0,1,False,2.0,,,,,,,,,,
135,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,{},,,60.0,1,False,2.0,,,,,,,,,,
136,srvos,nix-community/srvos,NixOS profiles for servers.,nixos-modules,{},,,49.0,1,False,2.0,,,,,,,,,,
137,catppuccin/nix,catppuccin/nix,Catppuccin for Nix brings the soothing pastel aesthetics of the Catppuccin theme to your NixOS and home-manager..,theming,{},,,95.0,1,False,3.0,,,,,,,,,,
138,spicetify-nix,Gerg-L/spicetify-nix,A nix library for modifying spotify with spicetify.,theming,{},,,39.0,1,False,3.0,,,,,,,,,,
139,chaotic-nyx,chaotic-cx/nyx,Daily bumped bleeding edge packages like `mesa_git` & others that arent yet in Nixpkgs. Created by the makers of..,overlays,{},,,55.0,1,False,2.0,,,,,,,,,,
140,emacs-overlay,nix-community/emacs-overlay,Bleeding edge Emacs overlay.,overlays,{},,,86.0,1,False,2.0,,,,,,,,,,
141,ngipkgs,ngi-nix/ngipkgs,Nix packages and services for projects supported through the NGI program.,overlays,{},,,65.0,1,False,2.0,,,,,,,,,,
142,nixpkgs-esp-dev,mirrexagon/nixpkgs-esp-dev,Nix flake and overlay for ESP8266 and ESP32 development.,overlays,{},,,33.0,1,False,2.0,,,,,,,,,,
143,nixpkgs-mozilla,mozilla/nixpkgs-mozilla,Mozilla overlay for Nixpkgs.,overlays,{},,,66.0,1,False,2.0,,,,,,,,,,
144,nixpkgs-wayland,nix-community/nixpkgs-wayland,Bleeding-edge Wayland packages.,overlays,{},,,35.0,1,False,2.0,,,,,,,,,,
145,System Manager,numtide/system-manager,A non-NixOS Linux system configuration tool built on Nix.,overlays,{},,,37.0,1,False,2.0,,,,,,,,,,
146,agenix,ryantm/agenix,age-encrypted secrets for NixOS and Home manager.,security,{},,,57.0,1,False,2.0,,,,,,,,,,
147,agenix-rekey,oddlama/agenix-rekey,An agenix extension adding secret generation and automatic rekeying using a YubiKey or master-identity.,security,{},,,29.0,1,False,2.0,,,,,,,,,,
148,nix-security-tracker,Nix-Security-WG/nix-security-tracker,Web service for managing information on vulnerabilities in software distributed through Nixpkgs.,security,{},,,35.0,1,False,2.0,,,,,,,,,,
149,nix-mode,NixOS/nix-mode,An Emacs major mode for editing Nix expressions.,editors-and-ides,{},,,40.0,1,False,2.0,,,,,,,,,,
150,vscode-nix-ide,nix-community/vscode-nix-ide,Nix language support for Visual Studio Code.,editors-and-ides,{},,,39.0,1,False,2.0,,,,,,,,,,
151,NixNeovimPlugins,NixNeovim/NixNeovimPlugins,Makes all neovim plugins available in nix (Auto updated).,editors-and-ides,{},1.0,1.0,38.0,1,False,2.0,,,,,,,,,,
152,neovim-nightly-overlay,nix-community/neovim-nightly-overlay,Bleeding edge Neovim overlay.,editors-and-ides,{},,,28.0,1,False,2.0,,,,,,,,,,
153,mobile-nixos,mobile-nixos/mobile-nixos,NixOS for mobile devices like phones.,distributions,{},,,52.0,1,False,1.0,,,,,,,,,,
154,nix-on-droid,nix-community/nix-on-droid,Nix-enabled environment for your Android device.,distributions,{},,,23.0,1,False,1.0,,,,,,,,,,
155,Nix Notes,noteed/nix-notes,"A collection of short notes about Nix, each contributing to the same virtual machine image.",learning,{},,,,0,False,,,,,,,,,,,
156,Nix Shorts,alper/nix-shorts,"A collection of short notes about how to use Nix, updated for Nix Flakes.",learning,{},,,7.0,0,False,,,,,,,,,,,
157,Nix Templates,jonringer/nix-template,Collection of Nix templates for different types of projects.,learning,{},,,6.0,0,False,,,,,,,,,,,
158,nix-1p,tazjin/nix-1p,"A (more or less) one page introduction to Nix, the language.",learning,{},,,6.0,0,False,,,,,,,,,,,
159,nix-articles,samdroid-apps/nix-articles,Some articles about getting started with Nix programming & configuration.,learning,{},,,3.0,0,False,,,,,,,,,,,
160,nix-flake-dev-environments,the-nix-way/nix-flake-dev-environments,Nix flake examples for real-world development environments.,learning,{},,,,0,False,,,,,,,,,,,
161,NixOS Guide,mikeroyal/NixOS-Guide,NixOS Guide. Learn all about the immutable Nix Operating System and the declarative Nix Expression Language.,learning,{},,,5.0,0,False,,,,,,,,,,,
162,nixos-in-production,Gabriella439/nixos-in-production,"Source files for the book NixOS in Production, a practical guide for using NixOS in professional environments.",learning,{},,,7.0,0,False,,,,,,,,,,,
163,donovanglover/nix-config,donovanglover/nix-config,"NixOS configuration with Nix Flakes, Home Manager, Stylix, and Hyprland.",nix-configurations,{},,,,0,False,,,,,,,,,,,
164,dustinlyons/nixos-config,dustinlyons/nixos-config,General purpose Nix configuration for macOS / NixOS (with starter templates).,nix-configurations,{},,,20.0,0,False,,,,,,,,,,,
165,hlissner/dotfiles,hlissner/dotfiles,A comprehensive NixOS configuration example with detailed module structure.,nix-configurations,{},,,7.0,0,False,,,,,,,,,,,
166,juspay/nixos-unified-template,juspay/nixos-unified-template,A ready-made Nix configuration to manage either your Home environment or whole NixOS systems.,nix-configurations,{},,,17.0,0,False,,,,,,,,,,,
167,kclejeune/system,kclejeune/system,"Declarative system configurations using nixOS, nix-darwin, and home-manager.",nix-configurations,{},,,9.0,0,False,,,,,,,,,,,
168,Misterio77/nix-starter-configs,Misterio77/nix-starter-configs,A few simple Nix Flake templates for getting started with NixOS + home-manager.,nix-configurations,{},,,15.0,0,False,,,,,,,,,,,
169,nixbuntu-samples,lheckemann/nixbuntu-samples,Sample configurations for NixOS.,nix-configurations,{},,,,0,False,,,,,,,,,,,
170,NobbZ/nixos-config,NobbZ/nixos-config,An example of NixOS system configuration with home-manager integration.,nix-configurations,{},,,9.0,0,False,,,,,,,,,,,
171,mitchellh/nixos-config,mitchellh/nixos-config,"NixOS system configurations for a development environment, primarily running in a VM on macOS with VMware Fusion.",nix-configurations,{},,,8.0,0,False,,,,,,,,,,,
172,ryan4yin/nix-config,ryan4yin/nix-config,Nix config for both desktops(NixOS+macOS) and homelab servers(NixOS).,nix-configurations,{},,,15.0,0,False,,,,,,,,,,,
173,Home Manager Option Search,mipmip/home-manager-option-search,Search through all 2000+ Home Manager options and read how to use them.,discovery,{},,,17.0,0,False,,,,,,,,,,,
174,Nix Package Versions,lazamar/nix-package-versions,Find all versions of a package that were available in a channel and the revision you can download it from.,discovery,{},,,12.0,0,False,,,,,,,,,,,
175,nix-search-cli,peterldowns/nix-search-cli,CLI for searching packages on search.nixos.org.,discovery,{},6.0,6.0,2.0,0,False,,,,,,,,,,,
176,nix-search-tv,3timeslazy/nix-search-tv,"CLI fuzzy finder for packages and options from Nixpkgs, Home Manager, and more.",discovery,{},,,5.0,0,False,,,,,,,,,,,
177,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,{},,,,0,False,,,,,,,,,,,-33.0
178,NüschtOS Search,NuschtOS/search,Simple and fast static-page NixOS option search.,discovery,{},,,14.0,0,False,,,,,,,,,,,
