,name,github_id,description,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,trending
0,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,{},39223.0,39223.0,34.0,8,False,1.0,,,,,,,,,,
1,magic-nix-cache-action,DeterminateSystems/magic-nix-cache-action,"Save 30-50%+ of CI time without any effort or cost. Use Magic Nix Cache, a totally free and zero-configuration binary..",github-actions,{},6456.0,6456.0,14.0,6,False,2.0,,,,,,,,,,
2,nix-installer-action,DeterminateSystems/nix-installer-action,"The fast, friendly, and reliable GitHub Action to install Nix with Flakes.",github-actions,{},9491.0,9491.0,17.0,6,False,2.0,,,,,,,,,,
3,update-flake-lock,DeterminateSystems/update-flake-lock,This is a GitHub Action that updates the flake.lock file for your Nix flake whenever it is run.,github-actions,{},3765.0,3765.0,30.0,6,False,2.0,,,,,,,,,,
4,flake-checker-action,DeterminateSystems/flake-checker-action,A GitHub Action that performs health checks for your Nix flake.lock files.,github-actions,{},1745.0,1745.0,5.0,5,False,3.0,,,,,,,,,,
5,nothing-but-nix,wimpysworld/nothing-but-nix,Create a 130GB Nix store in GitHub runners by ruthlessly purging unnecessary software and configuring BTRFS RAID-0 for..,github-actions,{},277.0,277.0,7.0,4,False,3.0,,,,,,,,,,
6,nixpkgs-fmt,nix-community/nixpkgs-fmt,Nix code formatter for nixpkgs.,command-line-tools,{},151.0,151.0,30.0,4,False,1.0,,,,,,,,,,
7,crate2nix,nix-community/crate2nix,rebuild only changed crates in CI with crate2nix and nix.,programming-languages,{},51.0,51.0,60.0,4,False,1.0,,,,,,,,,,
8,Nixtest,,"Testing framework for Nix, with snapshot and unit test support, JUnit generation etc.",development,https://gitlab.com/TECHNOFAB/nixtest,,,,3,False,1.0,TECHNOFAB/nixtest,https://gitlab.com/TECHNOFAB/nixtest,2025-05-03 20:09:22,0.0,1.0,9.0,4.0,5.0,2025-05-03 20:09:22,
9,awesome-nix,nix-community/awesome-nix,A curated list of the best resources in the Nix community.,learning,{},10.0,10.0,130.0,3,False,1.0,,,,,,,,,,
10,KuberNix,saschagrunert/kubernix,Single-dependency Kubernetes clusters via Nix packages.,deployment-tools,{},51.0,51.0,8.0,3,False,1.0,,,,,,,,,,
11,alejandra,kamadorueda/alejandra,An opinionated Nix code formatter optimized for speed and consistency.,command-line-tools,{},13.0,13.0,29.0,3,False,1.0,,,,,,,,,,
12,lix,lix-project/lix,"A modern, delicious implementation of the Nix package manager, focused on correctness, usability, and growth.",command-line-tools,{},4.0,4.0,711.0,3,False,1.0,,,,,,,,,,
13,nix-index,nix-community/nix-index,Quickly locate Nix packages with specific files.,command-line-tools,{},29.0,29.0,40.0,3,False,1.0,,,,,,,,,,
14,harmonia,nix-community/harmonia,Nix binary cache implemented in Rust.,development,{},11.0,11.0,32.0,3,False,1.0,,,,,,,,,,
15,rnix-lsp,nix-community/rnix-lsp,A syntax-checking language server for Nix.,development,{},36.0,36.0,24.0,3,False,1.0,,,,,,,,,,
16,tree-sitter-nix,nix-community/tree-sitter-nix,Nix grammar for tree-sitter.,development,{},22.0,22.0,23.0,3,False,1.0,,,,,,,,,,
17,gomod2nix,nix-community/gomod2nix,Convert applications using Go modules to Nix expressions.,programming-languages,{},13.0,13.0,29.0,3,False,1.0,,,,,,,,,,
18,node2nix,svanderburg/node2nix,Generate Nix expression from a `package.json` (or `package-lock.json`) (to be stored as files).,programming-languages,{},13.0,13.0,49.0,3,False,1.0,,,,,,,,,,
19,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,{},,,1701.0,3,False,1.0,,,,,,,,,,
20,nix.dev,NixOS/nix.dev,Official documentation for getting things done with Nix.,learning,{},,,205.0,2,False,2.0,,,,,,,,,,
21,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,{},3.0,3.0,36.0,2,False,1.0,,,,,,,,,,
22,NixOps,NixOS/nixops,"The official Nix deployment tool, compatible with AWS, Hetzner, and more.",deployment-tools,{},,,159.0,2,False,1.0,,,,,,,,,,
23,nix-snapshotter,pdtpartners/nix-snapshotter,Brings native understanding of Nix packages to containerd.,virtualisation,{},24.0,24.0,12.0,2,False,1.0,,,,,,,,,,
24,dix,bloxx12/dix,A blazingly fast tool to diff Nix related things.,command-line-tools,{},19.0,19.0,10.0,2,False,2.0,,,,,,,,,,
25,nurl,nix-community/nurl,Generate Nix fetcher calls from repository URLs.,command-line-tools,{},16.0,16.0,4.0,2,False,2.0,,,,,,,,,,
26,treefmt,numtide/treefmt,"One CLI to format the code tree, using formatters such as alejandra, prettier, etc.",command-line-tools,{},8.0,8.0,24.0,2,False,2.0,,,,,,,,,,
27,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,{},1.0,1.0,305.0,2,False,1.0,,,,,,,,,,-25.0
28,git-hooks.nix,cachix/git-hooks.nix,Seamless integration of git hooks with Nix.,development,{},,,170.0,2,False,1.0,,,,,,,,,,
29,nix-super,privatevoid-net/nix-super,A fork of the Nix package manager.,development,{},,,910.0,2,False,1.0,,,,,,,,,,
30,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,{},,,167.0,2,False,2.0,,,,,,,,,,
31,mach-nix,DavHau/mach-nix,Create highly reproducible python environments.,programming-languages,{},3.0,3.0,47.0,2,False,2.0,,,,,,,,,,
32,poetry2nix,nix-community/poetry2nix,Build Python packages directly from Poetrys `poetry.lock` files.,programming-languages,{},,,334.0,2,False,2.0,,,,,,,,,,
33,nix-darwin,nix-darwin/nix-darwin,Manage macOS configuration just like on NixOS.,nixos-modules,{},,,286.0,2,False,1.0,,,,,,,,,,
34,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,{},,,555.0,2,False,1.0,,,,,,,,,,
35,Stylix,nix-community/stylix,System-wide colorscheming and typography for NixOS.,theming,{},,,214.0,2,False,1.0,,,,,,,,,,
36,NUR,nix-community/NUR,Nix User Repositories.,overlays,{},,,652.0,2,False,1.0,,,,,,,,,,
37,vulnix,nix-community/vulnix,Vulnerability (CVE) scanner for Nix/NixOS.,security,{},3.0,3.0,28.0,2,False,1.0,,,,,,,,,,
