,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,new_addition,trending,updated_github_id
89,harmonia,nix-community/harmonia,Nix binary cache implemented in Rust.,development,https://github.com/nix-community/harmonia,https://github.com/nix-community/harmonia,MIT,2023-01-22 21:22:29,2025-06-26 02:06:06,2025-06-23 18:22:17,957,54.0,23.0,2,542.0,7.0,14.0,260,25.0,16,True,2,2025-04-24 09:17:39,harmonia-v2.1.0,22.0,,,,,,,,
90,nix-cargo-integration,yusdacra/nix-cargo-integration,Library to easily and effortlessly integrate Cargo projects with Nix.,programming-languages,https://github.com/90-008/nix-cargo-integration,https://github.com/90-008/nix-cargo-integration,MIT,2021-04-10 22:16:35,2025-06-29 06:17:51,2025-06-29 06:17:50,2200,89.0,24.0,4,74.0,2.0,83.0,200,15.0,16,True,2,,,,,,,,['rust'],,,90-008/nix-cargo-integration
91,haskell-flake,srid/haskell-flake,A `flake-parts` Nix module for Haskell development.,programming-languages,https://github.com/srid/haskell-flake,https://github.com/srid/haskell-flake,MIT,2022-05-30 13:01:57,2025-06-29 00:39:10,2025-06-05 06:34:04,435,13.0,24.0,9,251.0,35.0,88.0,196,17.0,16,True,2,2024-06-24 17:17:26,0.5.0,5.0,,,,,['haskell'],,,
92,nixdoc,nix-community/nixdoc,Tool to generate documentation for Nix library functions.,development,https://github.com/nix-community/nixdoc,https://github.com/nix-community/nixdoc,GPL-3.0,2018-10-25 16:07:24,2025-05-05 22:17:10,2025-02-11 21:34:07,223,,16.0,7,122.0,5.0,21.0,149,14.0,16,True,2,2025-02-11 21:35:04,3.1.0,14.0,12.0,12.0,,,,,,
93,nixos-generators,nix-community/nixos-generators,"Take a NixOS config and build multiple different images types including VirtualBox VMs, Azure images, and installation..",installation-media,https://github.com/nix-community/nixos-generators,https://github.com/nix-community/nixos-generators,MIT,2018-04-28 10:16:02,2025-06-30 01:09:32,2025-05-19 13:59:45,482,1.0,144.0,27,267.0,82.0,87.0,2174,68.0,15,True,2,,,,,,,,,,,
94,Nixery,tazjin/nixery,A Docker-compatible container registry which builds images ad-hoc via Nix.,deployment-tools,https://github.com/tazjin/nixery,https://github.com/tazjin/nixery,Apache-2.0,2019-07-29 19:39:48,2025-04-20 11:52:03,2025-04-20 11:46:53,249,1.0,71.0,28,92.0,31.0,48.0,1890,11.0,15,True,2,,,,5.0,5.0,,,,,,
95,deploy-rs,serokell/deploy-rs,A simple multi-profile Nix-flake deploy tool.,deployment-tools,https://github.com/serokell/deploy-rs,https://github.com/serokell/deploy-rs,,2020-09-28 17:46:15,2025-06-23 02:00:50,2025-06-05 06:37:47,340,12.0,110.0,26,136.0,88.0,108.0,1654,39.0,15,True,2,,,,,,,,,,,
96,impermanence,nix-community/impermanence,Lets you choose what files and directories you want to keep between reboots.,nixos-modules,https://github.com/nix-community/impermanence,https://github.com/nix-community/impermanence,MIT,2020-06-04 19:42:40,2025-05-26 13:55:47,2025-01-25 18:51:23,179,,103.0,18,110.0,73.0,87.0,1442,35.0,15,True,2,,,,,,,,,,,
97,flake-utils,numtide/flake-utils,Pure Nix flake utility functions to help with writing flakes.,development,https://github.com/numtide/flake-utils,https://github.com/numtide/flake-utils,MIT,2020-04-11 13:21:34,2024-11-13 21:27:18,2024-11-13 21:27:16,102,,81.0,21,81.0,16.0,24.0,1397,28.0,15,True,2,2022-05-21 09:05:05,1.0.0,1.0,,,,,,,,
98,devshell,numtide/devshell,`mkShell` with extra bits and a toml config option to be able to onboard non-nix users.,development,https://github.com/numtide/devshell,https://github.com/numtide/devshell,MIT,2020-08-04 20:29:01,2025-03-17 10:38:59,2025-03-08 22:32:38,345,,91.0,26,194.0,69.0,70.0,1386,40.0,15,True,2,,,,,,,,,,,
99,nix-output-monitor,maralorn/nix-output-monitor,A tool to produce useful graphs and statistics when building derivations.,command-line-tools,https://github.com/maralorn/nix-output-monitor,https://github.com/maralorn/nix-output-monitor,AGPL-3.0,2020-10-03 14:25:34,2025-06-20 05:02:03,2025-06-20 04:03:43,539,24.0,32.0,11,32.0,77.0,81.0,1151,17.0,15,True,2,2022-10-15 10:21:00,2.0.0.0,18.0,,,,,,,,
100,System Manager,numtide/system-manager,A non-NixOS Linux system configuration tool built on Nix.,overlays,https://github.com/numtide/system-manager,https://github.com/numtide/system-manager,MIT,2023-03-22 16:38:41,2025-06-23 04:02:42,2025-05-26 09:34:52,645,14.0,33.0,18,184.0,31.0,26.0,1055,21.0,15,True,2,,,,,,,,,,,
101,Zero to Nix,DeterminateSystems/zero-to-nix,"A beginners guide to Nix, providing step-by-step tutorials and explanations.",learning,https://github.com/DeterminateSystems/zero-to-nix,https://github.com/DeterminateSystems/zero-to-nix,,2022-11-07 18:38:33,2025-06-29 00:23:13,2025-06-18 17:39:21,1493,68.0,77.0,13,338.0,33.0,70.0,1052,53.0,15,True,2,,,,,,,,,,,
102,flake.parts,hercules-ci/flake-parts,Minimal Nix modules framework for Flakes: split your flakes into modules and get things done with community modules.,development,https://github.com/hercules-ci/flake-parts,https://github.com/hercules-ci/flake-parts,MIT,2021-10-27 09:03:42,2025-06-08 15:59:34,2025-06-08 15:59:32,379,10.0,51.0,21,165.0,53.0,51.0,942,18.0,15,True,2,,,,,,,,,,,
103,KuberNix,saschagrunert/kubernix,Single-dependency Kubernetes clusters via Nix packages.,deployment-tools,https://github.com/saschagrunert/kubernix,https://github.com/saschagrunert/kubernix,MIT,2019-09-22 16:33:58,2023-01-25 11:05:38,2021-11-16 12:25:22,1036,,26.0,10,1179.0,17.0,8.0,784,8.0,15,False,2,2019-11-14 10:07:35,0.2.0,3.0,51.0,51.0,72.0,1.0,,,,
104,rnix-lsp,nix-community/rnix-lsp,A syntax-checking language server for Nix.,development,https://github.com/nix-community/rnix-lsp,https://github.com/nix-community/rnix-lsp,MIT,2018-08-19 08:43:21,2024-01-15 11:53:04,2022-11-27 13:18:38,176,,38.0,13,75.0,17.0,21.0,715,24.0,15,False,2,,,,36.0,36.0,,,,,,
105,nix2container,nlewo/nix2container,An archive-less dockerTools.buildImage implementation.,deployment-tools,https://github.com/nlewo/nix2container,https://github.com/nlewo/nix2container,Apache-2.0,2021-12-23 09:45:34,2025-06-05 21:19:36,2025-06-05 21:19:36,201,10.0,59.0,13,77.0,49.0,48.0,669,28.0,15,True,2,,,,,,,,,,,
106,git-hooks.nix,cachix/git-hooks.nix,Seamless integration of git hooks with Nix.,development,https://github.com/cachix/git-hooks.nix,https://github.com/cachix/git-hooks.nix,Apache-2.0,2019-08-16 13:01:11,2025-06-24 15:44:48,2025-06-24 15:44:48,1031,9.0,176.0,5,428.0,49.0,124.0,661,131.0,15,True,2,,,,,,,,,,,
107,nixos-cosmic,lilyinstarlight/nixos-cosmic,Flake for using COSMIC on NixOS.,nixos-modules,https://github.com/lilyinstarlight/nixos-cosmic,https://github.com/lilyinstarlight/nixos-cosmic,MIT,2024-02-27 23:59:10,2025-06-29 23:21:36,2025-06-29 11:08:26,946,102.0,45.0,11,696.0,45.0,111.0,613,20.0,15,True,2,,,,,,,,,True,,
108,flake-utils-plus,gytis-ivaskevicius/flake-utils-plus,A lightweight Nix library flake for painless NixOS flake configuration.,development,https://github.com/gytis-ivaskevicius/flake-utils-plus,https://github.com/gytis-ivaskevicius/flake-utils-plus,MIT,2021-03-13 13:37:12,2025-02-03 13:57:30,2025-02-03 13:57:20,317,,43.0,6,94.0,4.0,56.0,515,23.0,15,True,2,2024-07-02 21:31:57,1.5.1,9.0,,,,,,,,
109,treefmt-nix,numtide/treefmt-nix,A Nix configuration for `treefmt`.,development,https://github.com/numtide/treefmt-nix,https://github.com/numtide/treefmt-nix,MIT,2022-09-23 09:13:45,2025-06-26 09:51:09,2025-06-26 09:51:09,450,41.0,112.0,10,279.0,34.0,60.0,415,104.0,15,True,2,,,,,,,,,,,
110,nix-pills,NixOS/nix-pills,Guided introduction to Nix fundamentals from basic concepts to advanced use cases.,learning,https://github.com/NixOS/nix-pills,https://github.com/NixOS/nix-pills,CC-BY-SA-4.0,2017-08-14 09:08:14,2025-06-29 04:35:58,2025-06-29 04:35:57,395,9.0,122.0,84,188.0,39.0,38.0,414,112.0,15,True,2,,,,,,,,,,,
111,neovim-nightly-overlay,nix-community/neovim-nightly-overlay,Bleeding edge Neovim overlay.,overlays,https://github.com/nix-community/neovim-nightly-overlay,https://github.com/nix-community/neovim-nightly-overlay,,2020-08-23 18:25:45,2025-06-30 00:01:13,2025-06-29 08:04:26,1992,87.0,63.0,6,849.0,1.0,84.0,362,25.0,15,True,2,,,,,,,,,,,
112,donovanglover/nix-config,donovanglover/nix-config,"NixOS configuration with Nix Flakes, Home Manager, Stylix, and Hyprland.",learning,https://github.com/donovanglover/nix-config,https://github.com/donovanglover/nix-config,MIT,2017-10-21 09:31:19,2025-06-03 20:59:44,2025-06-03 20:59:17,3775,35.0,10.0,3,,,4.0,347,,15,True,2,2018-12-13 04:54:01,0.2.0,2.0,,,,,,,,
113,agenix-rekey,oddlama/agenix-rekey,An agenix extension adding secret generation and automatic rekeying using a YubiKey or master-identity.,security,https://github.com/oddlama/agenix-rekey,https://github.com/oddlama/agenix-rekey,MIT,2023-01-30 15:44:34,2025-06-07 09:48:13,2025-06-07 09:48:13,218,10.0,32.0,6,44.0,18.0,46.0,307,21.0,15,True,2,,,,,,,,,,,
114,Self Host Blocks,ibizaman/selfhostblocks,Modular server management based on NixOS modules and focused on best practices.,nixos-modules,https://github.com/ibizaman/selfhostblocks,https://github.com/ibizaman/selfhostblocks,AGPL-3.0,2022-12-17 23:39:16,2025-06-29 01:58:39,2025-06-26 01:54:49,729,32.0,11.0,10,378.0,73.0,31.0,294,10.0,15,True,2,2025-06-25 05:43:13,0.3.1,12.0,,,,,,,,
115,Typix,loqusion/typix,Deterministic Typst compilation with Nix.,development,https://github.com/loqusion/typix,https://github.com/loqusion/typix,MIT,2023-12-24 03:37:43,2025-06-27 08:35:44,2025-06-27 08:34:13,415,33.0,10.0,5,49.0,3.0,7.0,200,7.0,15,True,2,2025-06-27 08:35:45,0.3.2,13.0,,,,,,,,
116,nix-openwrt-imagebuilder,astro/nix-openwrt-imagebuilder,Build OpenWRT images in Nix derivations.,installation-media,https://github.com/astro/nix-openwrt-imagebuilder,https://github.com/astro/nix-openwrt-imagebuilder,MIT,2022-04-27 20:38:30,2025-06-29 08:55:08,2025-06-29 08:23:50,1264,99.0,22.0,6,35.0,6.0,16.0,196,11.0,15,True,2,,,,,,,,,,,
117,nix-idea,NixOS/nix-idea,Nix plugin for the IntelliJ IDEA IDE.,nixos-modules,https://github.com/NixOS/nix-idea,https://github.com/NixOS/nix-idea,Apache-2.0,2016-09-08 08:44:59,2025-06-22 16:16:00,2025-06-20 17:51:13,300,5.0,29.0,45,59.0,11.0,23.0,195,17.0,15,True,2,2025-01-29 21:05:22,0.4.0.17,27.0,,,309.0,2.0,,True,,
118,niv,nmattia/niv,Easy dependency management for Nix projects with package pinning.,development,https://github.com/nmattia/niv,https://github.com/nmattia/niv,MIT,2019-01-17 21:00:18,2025-03-02 23:46:25,2025-03-02 23:46:23,465,,77.0,18,221.0,79.0,113.0,1729,38.0,14,True,2,,,,,,,,,,,
119,nixos-infect,elitak/nixos-infect,Replace a running non-NixOS Linux host with NixOS.,installation-media,https://github.com/elitak/nixos-infect,https://github.com/elitak/nixos-infect,GPL-3.0,2016-04-18 22:10:28,2024-07-04 02:41:41,2024-03-11 15:41:57,165,,256.0,16,158.0,46.0,35.0,1566,86.0,14,False,3,,,,,,,,,,,
120,proxmox-nixos,SaumonNet/proxmox-nixos,"The Proxmox Hypervisor, on NixOS.",virtualisation,https://github.com/SaumonNet/proxmox-nixos,https://github.com/SaumonNet/proxmox-nixos,AGPL-3.0,2024-02-18 13:54:11,2025-06-29 10:40:34,2025-06-29 10:40:33,424,72.0,48.0,20,120.0,19.0,39.0,938,15.0,14,True,2,,,,,,,,,,,
121,cachix,cachix/cachix,Command line client for Nix binary cache hosting.,development,https://github.com/cachix/cachix,https://github.com/cachix/cachix,,2018-02-25 19:55:01,2025-06-02 17:10:48,2025-06-02 17:01:05,1211,27.0,49.0,11,329.0,120.0,239.0,912,20.0,14,True,2,,,,,,,,,,,
122,tvix,tvlfyi/tvix,Tvix - A Rust implementation of Nix.,programming-languages,https://github.com/tvlfyi/tvix,https://github.com/tvlfyi/tvix,GPL-3.0,2023-02-01 16:57:15,2025-06-22 19:38:28,2025-06-22 19:31:35,3193,43.0,13.0,19,3.0,,,865,50.0,14,True,2,,,,,,,,['rust'],True,,
123,naersk,nix-community/naersk,Build Rust packages directly from `Cargo.lock`.,programming-languages,https://github.com/nix-community/naersk,https://github.com/nix-community/naersk,MIT,2019-06-13 11:27:21,2025-04-29 11:24:10,2025-04-29 11:24:10,359,5.0,91.0,7,190.0,55.0,111.0,835,52.0,14,True,2,,,,,,,,['rust'],,,
124,Arion,hercules-ci/arion,Run `docker-compose` with help from Nix/NixOS.,development,https://github.com/hercules-ci/arion,https://github.com/hercules-ci/arion,Apache-2.0,2018-12-17 16:25:48,2025-04-20 16:35:56,2025-04-20 16:15:25,435,2.0,52.0,14,125.0,92.0,52.0,767,30.0,14,True,2,2024-12-11 12:03:22,0.2.2.0,3.0,,,,,,,,
