,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,new_addition,trending,updated_github_id
135,nix-minecraft,Infinidoge/nix-minecraft,An attempt to better support Minecraft-related content for the Nix ecosystem.,nixos-modules,https://github.com/Infinidoge/nix-minecraft,https://github.com/Infinidoge/nix-minecraft,MIT,2022-04-25 05:15:48,2025-06-29 02:24:14,2025-06-29 02:24:13,926,74.0,48.0,2,59.0,23.0,50.0,379,19.0,14,True,2,,,,,,,,,,,
136,KubeNix,hall/kubenix,A Kubernetes resource builder using Nix.,deployment-tools,https://github.com/hall/kubenix,https://github.com/hall/kubenix,MIT,2022-08-12 02:40:33,2024-06-26 05:41:48,2024-06-25 11:00:14,407,,29.0,11,36.0,16.0,20.0,361,21.0,14,True,3,2024-05-06 23:34:26,0.3.0,3.0,,,,,,,,
137,raspberry-pi-nix,nix-community/raspberry-pi-nix,NixOS modules to aid in configuring NixOS for Raspberry PI products.,installation-media,https://github.com/nix-community/raspberry-pi-nix,https://github.com/nix-community/raspberry-pi-nix,MIT,2022-05-21 01:16:06,2025-03-23 01:24:31,2025-03-17 14:59:51,165,,80.0,10,46.0,13.0,53.0,303,14.0,14,True,3,2024-11-05 03:51:57,0.4.1,7.0,,,,,,,,
138,gomod2nix,nix-community/gomod2nix,Convert applications using Go modules to Nix expressions.,programming-languages,https://github.com/nix-community/gomod2nix,https://github.com/nix-community/gomod2nix,MIT,2020-12-03 13:56:10,2025-06-19 07:03:16,2025-06-19 06:23:14,298,2.0,62.0,2,126.0,34.0,41.0,267,23.0,14,True,2,2024-10-20 18:50:38,1.6.0,7.0,,,,,,True,,
139,NixOS Configuration Examples,NobbZ/nixos-config,An example of NixOS system configuration with home-manager integration.,learning,https://github.com/NobbZ/nixos-config,https://github.com/NobbZ/nixos-config,MIT,2020-10-28 15:25:22,2025-06-29 02:53:54,2025-06-29 02:53:53,4646,186.0,6.0,3,1247.0,11.0,4.0,259,8.0,14,True,2,,,,,,,,,,,
140,nixarr,rasmus-kirk/nixarr,The Media Server Nixos Module.,nixos-modules,https://github.com/rasmus-kirk/nixarr,https://github.com/rasmus-kirk/nixarr,GPL-3.0,2024-02-21 09:34:24,2025-06-26 08:17:58,2025-06-26 08:17:58,320,61.0,25.0,4,31.0,5.0,40.0,241,14.0,14,True,2,,,,,,,,,True,,
141,cached-nix-shell,xzfc/cached-nix-shell,A `nix-shell` replacement that uses caching to open subsequent shells quickly.,development,https://github.com/xzfc/cached-nix-shell,https://github.com/xzfc/cached-nix-shell,Unlicense,2019-09-18 14:23:00,2024-11-24 23:00:19,2024-06-23 18:47:25,182,,15.0,7,7.0,7.0,21.0,221,6.0,14,True,2,2024-06-23 19:21:14,0.1.6,3.0,8.0,8.0,,,,,,
142,nixpkgs-esp-dev,mirrexagon/nixpkgs-esp-dev,Nix flake and overlay for ESP8266 and ESP32 development.,overlays,https://github.com/mirrexagon/nixpkgs-esp-dev,https://github.com/mirrexagon/nixpkgs-esp-dev,CC0-1.0,2019-06-01 04:00:43,2025-05-08 07:57:19,2025-05-08 07:45:06,168,21.0,80.0,10,51.0,15.0,30.0,207,26.0,14,True,2,,,,,,,,,,,
143,omnix,juspay/omnix,A Nix companion to improve developer experience.,development,https://github.com/juspay/omnix,https://github.com/juspay/omnix,AGPL-3.0,2023-05-27 01:08:11,2025-06-26 05:21:44,2025-06-26 05:21:40,826,8.0,18.0,14,279.0,29.0,132.0,205,14.0,14,True,2,2025-03-18 19:52:55,1.0.3,5.0,,,,,,True,,
144,tree-sitter-nix,nix-community/tree-sitter-nix,Nix grammar for tree-sitter.,development,https://github.com/nix-community/tree-sitter-nix,https://github.com/nix-community/tree-sitter-nix,MIT,2019-03-22 10:12:10,2025-06-13 15:54:29,2025-03-10 21:49:48,174,,42.0,2,96.0,18.0,29.0,200,17.0,14,True,2,,,,17.0,17.0,,,,True,,
145,nixidy,arnarg/nixidy,Kubernetes GitOps with Nix and Argo CD.,devops,https://github.com/arnarg/nixidy,https://github.com/arnarg/nixidy,MIT,2023-12-11 11:40:00,2025-06-25 08:03:55,2025-06-25 08:02:52,138,14.0,6.0,4,10.0,3.0,19.0,182,3.0,14,True,2,2025-06-24 14:49:21,0.13.0,14.0,2.0,2.0,,,,,,
146,sbomnix,tiiuae/sbomnix,A suite of utilities to help with software supply chain challenges on nix targets.,security,https://github.com/tiiuae/sbomnix,https://github.com/tiiuae/sbomnix,,2022-12-08 10:45:27,2025-06-25 07:12:51,2025-06-25 07:12:44,314,20.0,26.0,8,156.0,11.0,13.0,179,16.0,14,True,2,2025-03-21 09:32:33,1.7.2,17.0,,,384.0,13.0,,,,
147,clj-nix,jlesquembre/clj-nix,Nix helper functions for Clojure projects.,programming-languages,https://github.com/jlesquembre/clj-nix,https://github.com/jlesquembre/clj-nix,EPL-2.0,2022-04-02 19:16:53,2025-06-23 04:11:32,2025-06-18 15:27:17,252,8.0,24.0,6,100.0,24.0,46.0,164,16.0,14,True,2,2024-11-20 01:44:18,0.4.0,1.0,,,,,,,,
148,MCP-NixOS,utensils/mcp-nixos,"An MCP server that provides AI assistants with accurate information about NixOS packages, options, Home Manager, and..",development,https://github.com/utensils/mcp-nixos,https://github.com/utensils/mcp-nixos,MIT,2025-03-20 05:05:00,2025-06-22 06:17:10,2025-06-22 06:17:10,330,157.0,11.0,4,25.0,1.0,7.0,161,4.0,14,True,2,2025-05-26 22:43:15,1.0.0,1.0,,,,,,,,
149,NixNeovimPlugins,NixNeovim/NixNeovimPlugins,Makes all neovim plugins available in nix (Auto updated).,overlays,https://github.com/NixNeovim/NixNeovimPlugins,https://github.com/NixNeovim/NixNeovimPlugins,MIT,2022-08-13 14:50:55,2025-06-29 14:26:10,2025-06-29 14:26:09,1387,30.0,27.0,2,94.0,1.0,43.0,136,35.0,14,True,2,,,,1.0,1.0,,,,,,
150,nix-super,privatevoid-net/nix-super,A fork of the Nix package manager.,development,https://github.com/privatevoid-net/nix-super,https://github.com/privatevoid-net/nix-super,LGPL-2.1,2022-08-25 22:06:01,2025-06-27 18:01:36,2025-06-27 18:01:11,20452,646.0,2.0,4,16.0,1.0,2.0,85,822.0,14,True,2,,,,,,,,,,4.0,
151,lon,nikstur/lon,Lock & update Nix dependencies.,command-line-tools,https://github.com/nikstur/lon,https://github.com/nikstur/lon,MIT,2024-08-09 17:21:27,2025-06-16 12:45:31,2025-06-16 12:41:39,109,101.0,3.0,4,35.0,1.0,4.0,26,4.0,14,True,2,2025-06-16 12:45:52,0.8.0,8.0,,,,,,True,,
152,Nix Starter Config,Misterio77/nix-starter-configs,A few simple Nix Flake templates for getting started with NixOS + home-manager.,learning,https://github.com/Misterio77/nix-starter-configs,https://github.com/Misterio77/nix-starter-configs,CC0-1.0,2021-12-16 20:29:26,2024-09-07 01:05:58,2024-09-07 01:05:58,97,,156.0,48,21.0,21.0,50.0,3208,10.0,13,True,3,,,,,,,,,,,
153,dev-templates,the-nix-way/dev-templates,Dev environments for numerous languages based on Nix flakes.,learning,https://github.com/the-nix-way/dev-templates,https://github.com/the-nix-way/dev-templates,,2022-07-12 00:03:07,2025-06-08 16:18:33,2025-06-08 16:18:30,316,21.0,132.0,10,61.0,4.0,20.0,1750,29.0,13,True,3,,,,,,,,,True,,
154,nix-bundle,nix-community/nix-bundle,Bundle Nix derivations to run anywhere!.,command-line-tools,https://github.com/nix-community/nix-bundle,https://github.com/nix-community/nix-bundle,MIT,2016-06-14 19:51:08,2024-10-16 16:12:21,2024-10-16 16:12:21,181,,55.0,27,44.0,45.0,33.0,735,20.0,13,True,2,2018-04-10 19:46:47,0.3.0,1.0,,,105.0,1.0,,,,
155,nix-topology,oddlama/nix-topology,Generate infrastructure and network diagrams directly from your NixOS configuration.,nixos-modules,https://github.com/oddlama/nix-topology,https://github.com/oddlama/nix-topology,MIT,2024-04-03 20:05:49,2025-04-08 19:57:44,2025-04-08 19:57:44,208,4.0,33.0,12,60.0,9.0,13.0,730,21.0,13,True,3,,,,,,,,,,,
156,nixbsd,nixos-bsd/nixbsd,An unofficial NixOS fork with a FreeBSD kernel.,distributions,https://github.com/nixos-bsd/nixbsd,https://github.com/nixos-bsd/nixbsd,MIT,2023-12-24 23:35:29,2025-06-13 05:33:40,2025-03-28 08:58:25,316,,26.0,22,12.0,12.0,18.0,711,6.0,13,True,2,,,,,,,,,,,
157,nix-snapshotter,pdtpartners/nix-snapshotter,Brings native understanding of Nix packages to containerd.,virtualisation,https://github.com/pdtpartners/nix-snapshotter,https://github.com/pdtpartners/nix-snapshotter,MIT,2023-07-05 18:31:50,2024-12-15 19:04:03,2024-12-15 19:04:03,84,,22.0,15,88.0,22.0,49.0,667,10.0,13,True,3,2024-10-24 14:57:35,0.2.1,5.0,,,,,,,,
158,compose2nix,aksiksi/compose2nix,Generate a NixOS config from a Docker Compose project.,development,https://github.com/aksiksi/compose2nix,https://github.com/aksiksi/compose2nix,MIT,2023-11-01 01:22:49,2025-03-16 05:48:11,2025-03-04 03:38:02,240,,8.0,6,40.0,10.0,34.0,591,4.0,13,True,3,2024-10-14 02:50:13,0.3.1,18.0,,,,,,,,
159,nixpkgs-mozilla,mozilla/nixpkgs-mozilla,Mozilla overlay for Nixpkgs.,overlays,https://github.com/mozilla/nixpkgs-mozilla,https://github.com/mozilla/nixpkgs-mozilla,MIT,2016-06-16 22:14:00,2025-04-14 09:54:33,2025-04-14 09:54:33,273,1.0,128.0,15,201.0,50.0,92.0,558,65.0,13,True,3,,,,,,,,,,,
160,rnix-parser,nix-community/rnix-parser,A Nix parser written in Rust.,development,https://github.com/nix-community/rnix-parser,https://github.com/nix-community/rnix-parser,MIT,2018-08-11 12:29:05,2025-01-09 22:07:46,2025-01-09 22:07:46,362,,46.0,8,116.0,9.0,46.0,396,26.0,13,True,3,,,,2.0,2.0,,,,,,
161,flakelight,nix-community/flakelight,A modular flake framework aiming to minimize boilerplate.,development,https://github.com/nix-community/flakelight,https://github.com/nix-community/flakelight,MIT,2023-04-09 00:56:54,2025-06-23 12:51:51,2025-06-23 12:51:27,262,19.0,7.0,6,7.0,3.0,23.0,304,5.0,13,True,3,,,,,,,,,,,
162,nix-mineral,cynicsketch/nix-mineral,Conveniently and reasonably harden NixOS.,nixos-modules,https://github.com/cynicsketch/nix-mineral,https://github.com/cynicsketch/nix-mineral,GPL-3.0,2024-05-10 21:02:28,2025-06-11 14:20:58,2025-06-11 14:20:58,185,30.0,14.0,4,25.0,26.0,22.0,286,6.0,13,True,3,,,7.0,,,,,,,,
163,NixVirt,AshleyYakeley/NixVirt,LibVirt domain management for Nix.,virtualisation,https://github.com/AshleyYakeley/NixVirt,https://github.com/AshleyYakeley/NixVirt,MIT,2024-01-27 19:54:59,2025-05-25 04:01:24,2025-05-25 02:26:43,407,6.0,33.0,3,49.0,5.0,35.0,262,19.0,13,True,3,,,,,,,,,,,
164,pyproject.nix,pyproject-nix/pyproject.nix,A collection of Nix utilities to work with Python projects.,programming-languages,https://github.com/pyproject-nix/pyproject.nix,https://github.com/pyproject-nix/pyproject.nix,MIT,2023-07-17 10:21:45,2025-06-21 09:58:14,2025-06-21 09:58:13,485,5.0,25.0,10,278.0,4.0,35.0,238,13.0,13,True,2,,,,,,,,['python'],,,
165,nvfetcher,berberman/nvfetcher,Generate nix sources expr for the latest version of packages.,development,https://github.com/berberman/nvfetcher,https://github.com/berberman/nvfetcher,MIT,2021-04-20 04:07:58,2024-11-25 04:41:30,2024-11-25 02:19:45,178,,17.0,3,72.0,19.0,46.0,228,15.0,13,True,3,2024-11-21 07:05:00,0.7.0,9.0,,,,,,True,,
166,Easy PureScript Nix,justinwoo/easy-purescript-nix,A project to easily use PureScript and other tools with Nix.,programming-languages,https://github.com/justinwoo/easy-purescript-nix,https://github.com/justinwoo/easy-purescript-nix,MIT,2018-10-21 15:16:08,2024-03-11 12:52:49,2024-03-11 12:52:49,456,,53.0,8,193.0,7.0,31.0,203,31.0,13,False,2,,,,,,,,,,,
167,rippkgs,replit/rippkgs,A CLI for indexing and searching packages in Nix expressions.,command-line-tools,https://github.com/replit/rippkgs,https://github.com/replit/rippkgs,MIT,2024-02-08 16:38:09,2025-05-17 04:12:44,2025-05-17 04:12:43,53,2.0,4.0,21,35.0,6.0,4.0,158,4.0,13,True,2,2025-02-11 22:56:58,1.2.0,5.0,,,,,,,,
168,ghc.nix,alpmestan/ghc.nix,Nix (shell) expression for working on GHC.,programming-languages,https://github.com/alpmestan/ghc.nix,https://github.com/alpmestan/ghc.nix,BSD-3-Clause,2018-04-18 19:54:21,2025-06-29 01:28:09,2024-06-10 15:01:25,271,,51.0,14,135.0,27.0,29.0,145,29.0,13,True,2,,,,,,,,['haskell'],True,,
169,nix-phps,fossar/nix-phps,Flake containing old and unmaintained PHP versions (intended for CI use).,programming-languages,https://github.com/fossar/nix-phps,https://github.com/fossar/nix-phps,MIT,2021-01-09 21:40:06,2025-06-29 06:58:44,2025-06-23 20:37:45,437,26.0,21.0,3,414.0,5.0,25.0,75,17.0,13,True,2,,,,,,,,['php'],,,
170,attic,zhaofengli/attic,Multi-tenant Nix Binary Cache.,development,https://github.com/zhaofengli/attic,https://github.com/zhaofengli/attic,,2022-12-31 23:43:41,2025-06-26 22:18:28,2025-05-29 15:25:42,365,2.0,110.0,13,95.0,105.0,53.0,1395,28.0,12,True,3,,,,,,,,,,,
171,haskell-nix,Gabriella439/haskell-nix,Nix and Haskell in production.,programming-languages,https://github.com/Gabriella439/haskell-nix,https://github.com/Gabriella439/haskell-nix,,2017-01-02 18:59:50,2023-09-22 15:53:46,2023-09-22 15:53:46,82,,114.0,32,35.0,26.0,38.0,1158,23.0,12,False,3,,,,,,,,['haskell'],True,,
172,nix-tree,utdemir/nix-tree,Interactively browse the dependency graph of Nix derivations.,command-line-tools,https://github.com/utdemir/nix-tree,https://github.com/utdemir/nix-tree,BSD-3-Clause,2020-06-24 22:41:51,2025-06-24 20:29:06,2025-06-24 20:29:06,231,5.0,16.0,6,70.0,15.0,37.0,872,12.0,12,True,2,,,,,,,,,,,
173,nix-alien,thiagokokada/nix-alien,Run unpatched binaries on Nix/NixOS easily.,command-line-tools,https://github.com/thiagokokada/nix-alien,https://github.com/thiagokokada/nix-alien,MIT,2021-10-27 00:26:44,2025-06-15 08:39:41,2025-06-15 08:39:39,401,7.0,10.0,5,99.0,1.0,36.0,662,9.0,12,True,2,,,,,,,,,,,
174,deadnix,astro/deadnix,Scan Nix files for dead code.,command-line-tools,https://github.com/astro/deadnix,https://github.com/astro/deadnix,GPL-3.0,2021-12-05 23:06:43,2025-06-29 01:45:31,2025-03-09 15:43:01,277,,18.0,3,78.0,4.0,21.0,607,18.0,12,True,2,,,,7.0,7.0,,,,,,
175,NixOps4,nixops4/nixops4,Deploy with Nix and manage resources declaratively.,deployment-tools,https://github.com/nixops4/nixops4,https://github.com/nixops4/nixops4,LGPL-2.1,2024-03-18 14:07:58,2025-06-02 01:23:56,2025-06-02 01:22:50,346,42.0,13.0,32,69.0,22.0,7.0,592,6.0,12,True,3,,,,,,,,,,,
176,RFCs,NixOS/rfcs,The Nix community RFCs.,learning,https://github.com/NixOS/rfcs,https://github.com/NixOS/rfcs,CC-BY-SA-4.0,2017-02-11 15:41:27,2025-05-26 15:49:46,2025-05-26 15:49:41,76,2.0,141.0,131,185.0,,,588,39.0,12,True,3,,,,,,,,,,,
177,Standard,divnix/std,"An opinionated Nix Flakes framework to keep Nix code in large projects organized, accompanied by a friendly CLI/TUI..",devops,https://github.com/divnix/std,https://github.com/divnix/std,,2021-11-14 10:56:16,2025-05-16 07:09:15,2025-05-16 07:00:12,812,6.0,48.0,16,238.0,36.0,126.0,443,42.0,12,True,2,,,,,,,,,,,
178,Home Manager Option Search,mipmip/home-manager-option-search,Search through all 2000+ Home Manager options and read how to use them.,discovery,https://github.com/mipmip/home-manager-option-search,https://github.com/mipmip/home-manager-option-search,Apache-2.0,2022-01-04 22:27:08,2025-06-29 04:48:35,2025-05-24 07:19:35,149,5.0,17.0,1,22.0,11.0,21.0,324,15.0,12,True,3,2023-12-12 22:53:06,1.4,4.0,,,,,,,,
179,nix-mode,NixOS/nix-mode,An Emacs major mode for editing Nix expressions.,development,https://github.com/NixOS/nix-mode,https://github.com/NixOS/nix-mode,LGPL-2.1,2016-08-17 20:46:39,2024-06-25 16:56:44,2023-04-21 20:36:55,564,,76.0,17,114.0,37.0,57.0,313,39.0,12,False,3,,,,,,,,,True,,
180,appvm,jollheef/appvm,Nix-based app VMs.,virtualisation,https://github.com/jollheef/appvm,https://github.com/jollheef/appvm,GPL-3.0,2018-06-30 22:15:18,2025-04-21 17:49:19,2025-04-21 17:49:02,234,8.0,19.0,13,12.0,8.0,11.0,264,5.0,12,True,3,2025-04-21 17:52:13,0.6,4.0,,,,,,True,,
181,schizofox,schizofox/schizofox,Hardened Firefox flake for the delusional and the schizophrenics.,security,https://github.com/schizofox/schizofox,https://github.com/schizofox/schizofox,,2023-08-23 18:59:04,2025-04-17 12:29:49,2025-04-17 12:29:49,286,11.0,18.0,5,95.0,14.0,24.0,248,15.0,12,True,2,2023-10-06 14:20:19,0.0.1,1.0,,,,,,,,
182,styx,styx-static/styx,Static site generator in Nix expression language.,development,https://github.com/styx-static/styx,https://github.com/styx-static/styx,MIT,2016-10-02 22:24:18,2023-01-13 16:06:57,2023-01-13 16:06:53,338,,24.0,11,51.0,15.0,35.0,221,13.0,12,False,3,,,,,,,,,,,
183,Nix Templates,jonringer/nix-template,Collection of Nix templates for different types of projects.,learning,https://github.com/jonringer/nix-template,https://github.com/jonringer/nix-template,CC0-1.0,2020-07-17 00:41:15,2024-11-20 19:15:33,2024-11-20 19:15:29,149,,8.0,8,22.0,9.0,26.0,215,6.0,12,True,3,2022-12-17 17:56:21,0.4.1,9.0,,,,,,,,
184,nixpkgs-python,cachix/nixpkgs-python,"All Python versions, kept up-to-date on hourly basis using Nix.",programming-languages,https://github.com/cachix/nixpkgs-python,https://github.com/cachix/nixpkgs-python,Apache-2.0,2023-05-29 13:12:25,2025-06-24 17:15:15,2025-06-12 20:35:16,172,28.0,16.0,3,61.0,7.0,13.0,210,14.0,12,True,3,,,,,,,,['python'],True,,
185,Bundix,nix-community/bundix,Generates a Nix expression for your Bundler-managed application.,programming-languages,https://github.com/nix-community/bundix,https://github.com/nix-community/bundix,,2016-01-24 20:36:56,2024-07-01 18:19:19,2023-11-08 07:54:39,118,,54.0,4,56.0,37.0,26.0,173,18.0,12,False,3,2021-04-01 08:26:58,2.5.1,5.0,3.0,3.0,,,['ruby'],,,
186,nix-shell,loophp/nix-shell,Nix shells for PHP development.,programming-languages,https://github.com/loophp/nix-shell,https://github.com/loophp/nix-shell,MIT,2021-06-20 06:59:35,2025-06-30 01:10:13,2025-06-23 05:24:38,642,22.0,13.0,5,270.0,3.0,12.0,170,8.0,12,True,3,,,,,,,,['php'],,,
187,nixos-rk3588,ryan4yin/nixos-rk3588,"Minimal NixOS running on RK3588/RK3588s based SBC(Orange Pi 5 Plus, Orange Pi 5, Rock 5A, etc).",distributions,https://github.com/ryan4yin/nixos-rk3588,https://github.com/ryan4yin/nixos-rk3588,MIT,2023-06-02 03:05:44,2025-06-02 15:58:26,2025-06-02 15:58:19,121,1.0,31.0,10,35.0,12.0,25.0,164,10.0,12,True,3,2024-03-24 10:25:24,2024032400,2.0,,,434.0,19.0,,,,
188,process-compose-flake,Platonic-Systems/process-compose-flake,A flake-parts module to spin up processes for development by leveraging process-compose.,devops,https://github.com/Platonic-Systems/process-compose-flake,https://github.com/Platonic-Systems/process-compose-flake,MIT,2022-12-08 17:19:30,2025-06-09 09:23:17,2025-06-08 21:35:57,159,1.0,23.0,9,55.0,12.0,22.0,147,15.0,12,True,2,2023-06-12 20:46:17,0.1.0,1.0,,,,,,,,
189,NüschtOS Search,NuschtOS/search,Simple and fast static-page NixOS option search.,discovery,https://github.com/NuschtOS/search,https://github.com/NuschtOS/search,MIT,2024-06-23 20:04:47,2025-06-29 16:54:23,2025-06-12 12:20:55,216,21.0,5.0,4,190.0,15.0,25.0,105,9.0,12,True,3,,,,,,,,,,,
190,zmk-nix,lilyinstarlight/zmk-nix,Build system and configuration files for generating and building ZMK firmware with Nix.,development,https://github.com/lilyinstarlight/zmk-nix,https://github.com/lilyinstarlight/zmk-nix,MIT,2023-11-27 21:50:04,2025-06-29 00:44:41,2025-06-29 00:43:56,271,23.0,22.0,3,192.0,3.0,5.0,99,9.0,12,True,3,,,,,,,,,,,
191,hydra-check,nix-community/hydra-check,Check hydra for the build status of a package.,command-line-tools,https://github.com/nix-community/hydra-check,https://github.com/nix-community/hydra-check,MIT,2020-03-05 18:26:56,2025-04-26 08:34:04,2025-04-26 08:34:03,128,7.0,11.0,3,63.0,1.0,13.0,94,10.0,12,True,2,2025-03-23 06:22:26,2.0.4,10.0,,,,,,True,,
192,bombon,nikstur/bombon,Nix CycloneDX Software Bills of Materials (SBOMs).,security,https://github.com/nikstur/bombon,https://github.com/nikstur/bombon,MIT,2022-08-18 23:06:53,2025-06-01 23:00:47,2025-06-01 23:00:46,400,9.0,11.0,4,147.0,9.0,12.0,85,8.0,12,True,2,2024-10-23 16:12:33,0.3.0,3.0,,,,,,,,
193,nixcasks,jcszymansk/nixcasks,"Homebrew casks, nixified.",overlays,https://github.com/jcszymansk/nixcasks,https://github.com/jcszymansk/nixcasks,MIT,2023-07-24 21:17:33,2025-06-29 21:40:03,2025-06-29 21:40:01,783,90.0,4.0,4,4.0,4.0,5.0,83,3.0,12,True,3,,,,,,,,,True,,
194,nixpkgs-firefox-darwin,bandithedoge/nixpkgs-firefox-darwin,Automatically updated Firefox binary packages for macOS.,overlays,https://github.com/bandithedoge/nixpkgs-firefox-darwin,https://github.com/bandithedoge/nixpkgs-firefox-darwin,MIT,2021-12-12 17:28:12,2025-06-30 01:12:30,2025-06-30 01:12:30,825,91.0,8.0,3,11.0,3.0,6.0,67,10.0,12,True,3,,,,,,,,,,,
195,amis,NixOS/amis,Home for NixOS AMI automation.,devops,https://github.com/NixOS/amis,https://github.com/NixOS/amis,MIT,2023-11-24 12:54:23,2025-06-27 12:30:46,2025-06-23 06:39:21,271,41.0,12.0,5,253.0,11.0,27.0,62,11.0,12,True,2,,,,,,,,,True,,
196,not-os,cleverca22/not-os,"An operating system generator, based on NixOS, that outputs a small read-only squashfs for a runit-based operating..",distributions,https://github.com/cleverca22/not-os,https://github.com/cleverca22/not-os,MIT,2016-06-03 05:40:23,2025-01-12 16:03:40,2025-01-12 16:03:38,98,,38.0,37,24.0,6.0,4.0,892,5.0,11,True,3,,,,,,,,,,,
197,nixGL,nix-community/nixGL,A wrapper tool for nix OpenGL application.,nixos-modules,https://github.com/nix-community/nixGL,https://github.com/nix-community/nixGL,,2017-09-16 10:18:56,2024-04-22 13:14:30,2024-04-19 16:17:20,173,,106.0,15,76.0,72.0,56.0,819,26.0,11,False,3,,,,,,,,,,,
198,nix-colors,Misterio77/nix-colors,Modules and schemes to make theming with Nix awesome.,nixos-modules,https://github.com/Misterio77/nix-colors,https://github.com/Misterio77/nix-colors,GPL-3.0,2021-10-01 19:43:28,2024-05-23 18:39:21,2024-02-13 11:51:18,97,,42.0,8,28.0,15.0,19.0,559,12.0,11,False,3,2023-04-21 20:19:53,4.0.0,4.0,,,,,,,,
199,nixos-vscode-server,nix-community/nixos-vscode-server,Visual Studio Code Server support in NixOS.,development,https://github.com/nix-community/nixos-vscode-server,https://github.com/nix-community/nixos-vscode-server,MIT,2020-04-02 12:49:32,2025-06-19 17:10:31,2025-06-19 17:10:31,90,1.0,71.0,10,38.0,13.0,44.0,491,18.0,11,True,3,,,,,,,,,,,
200,nix-du,symphorien/nix-du,Visualise which gc-roots to delete to free some space in your Nix store.,command-line-tools,https://github.com/symphorien/nix-du,https://github.com/symphorien/nix-du,LGPL-3.0,2018-01-15 21:42:01,2025-05-12 18:23:16,2025-05-12 12:00:00,300,12.0,6.0,6,11.0,3.0,15.0,436,3.0,11,True,2,,,,,,,,,,,
201,terraform-nixos,nix-community/terraform-nixos,A set of Terraform modules designed to deploy NixOS.,deployment-tools,https://github.com/nix-community/terraform-nixos,https://github.com/nix-community/terraform-nixos,Apache-2.0,2018-12-05 17:07:26,2024-08-04 10:19:37,2021-08-26 20:33:37,76,,59.0,36,54.0,23.0,10.0,369,16.0,11,False,3,,,,,,,,,,,
202,Nix Package Versions,lazamar/nix-package-versions,Find all versions of a package that were available in a channel and the revision you can download it from.,discovery,https://github.com/lazamar/nix-package-versions,https://github.com/lazamar/nix-package-versions,,2020-02-11 23:23:47,2025-06-19 13:42:50,2025-06-19 13:42:45,318,5.0,30.0,8,19.0,9.0,29.0,364,12.0,11,True,3,,,,,,,,,,,
203,haumea,nix-community/haumea,"Filesystem-based module system for the Nix language similar to traditional programming languages, with support for..",development,https://github.com/nix-community/haumea,https://github.com/nix-community/haumea,MPL-2.0,2023-04-01 00:50:18,2024-06-05 05:11:22,2024-02-19 20:38:18,93,,8.0,5,37.0,10.0,4.0,347,4.0,11,False,3,2023-05-26 20:34:06,0.2.2,5.0,,,,,,,,
204,any-nix-shell,haslersn/any-nix-shell,fish and zsh support for the nix run and nix-shell environments of the Nix package manager.,development,https://github.com/haslersn/any-nix-shell,https://github.com/haslersn/any-nix-shell,MIT,2018-09-10 16:36:27,2024-09-01 22:49:17,2024-09-01 22:49:17,51,,14.0,8,18.0,6.0,15.0,311,10.0,11,True,3,2024-07-23 16:03:52,2.0.1,7.0,,,,,,,,
205,nix-security-box,fabaff/nix-security-box,Tool set for Information security professionals and all others.,security,https://github.com/fabaff/nix-security-box,https://github.com/fabaff/nix-security-box,MIT,2020-12-22 22:36:28,2025-06-28 22:44:57,2025-06-28 22:44:38,656,8.0,23.0,7,4.0,2.0,2.0,308,,11,True,2,,,,,,,,,,,
206,nixpkgs-hammering,jtojnar/nixpkgs-hammering,An opinionated linter for Nixpkgs package expressions.,command-line-tools,https://github.com/jtojnar/nixpkgs-hammering,https://github.com/jtojnar/nixpkgs-hammering,MIT,2020-04-26 04:27:10,2025-06-09 18:53:58,2025-04-14 22:55:05,216,2.0,17.0,6,79.0,48.0,37.0,292,13.0,11,True,2,,,,,,,,,,,
207,nix-melt,nix-community/nix-melt,A ranger-like flake.,command-line-tools,https://github.com/nix-community/nix-melt,https://github.com/nix-community/nix-melt,MPL-2.0,2023-04-25 22:20:20,2024-12-13 23:10:06,2024-09-16 15:27:16,347,,2.0,3,221.0,2.0,3.0,272,3.0,11,True,2,2024-09-16 15:29:34,0.1.3,4.0,1.0,1.0,308.0,11.0,,,,
208,base16.nix,SenchoPens/base16.nix,"Flake way to theme programs in base16 colorschemes, mustache template support included.",nixos-modules,https://github.com/SenchoPens/base16.nix,https://github.com/SenchoPens/base16.nix,MIT,2021-05-06 15:19:06,2025-05-06 20:21:28,2025-05-06 20:21:28,67,4.0,10.0,2,8.0,2.0,14.0,241,7.0,11,True,3,2024-02-27 10:09:57,2.2.1,7.0,,,,,,,,
209,extra-container,erikarvstedt/extra-container,Run declarative NixOS containers from the command line.,virtualisation,https://github.com/erikarvstedt/extra-container,https://github.com/erikarvstedt/extra-container,MIT,2018-07-14 13:32:14,2025-06-09 13:15:41,2025-06-09 13:03:41,152,1.0,18.0,11,7.0,2.0,27.0,236,3.0,11,True,3,,,,,,,,,,,
