,name,github_id,description,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,trending
63,nixos-shell,Mic92/nixos-shell,Simple headless VM configuration using Nix (similar to Vagrant).,virtualisation,{},,,26.0,1,False,2.0,,,,,,,,,,
64,NixVirt,AshleyYakeley/NixVirt,LibVirt domain management for Nix.,virtualisation,{},,,30.0,1,False,2.0,,,,,,,,,,
65,comma,nix-community/comma,Quickly run any binary; wraps together `nix run` and `nix-index`.,command-line-tools,{},,,29.0,1,False,2.0,,,,,,,,,,
66,deadnix,astro/deadnix,Scan Nix files for dead code.,command-line-tools,{},7.0,7.0,19.0,1,False,2.0,,,,,,,,,,
67,nh,nix-community/nh,"Better output for `nix`, `nixos-rebuild`, `home-manager` and nix-darwin CLI leveraging `dix` and `nix-output-monitor`.",command-line-tools,{},,,56.0,1,False,2.0,,,,,,,,,,
68,nix-bundle,nix-community/nix-bundle,Bundle Nix derivations to run anywhere.,command-line-tools,{},,,21.0,1,False,2.0,,,,,,,,,,
69,nix-eval-jobs,nix-community/nix-eval-jobs,Parallel nix evaluator with a streamable json output.,command-line-tools,{},,,33.0,1,False,2.0,,,,,,,,,,
70,nix-index-database,nix-community/nix-index-database,Weekly updated nix-index database.,command-line-tools,{},,,40.0,1,False,2.0,,,,,,,,,,
71,nix-output-monitor,maralorn/nix-output-monitor,A tool to produce useful graphs and statistics when building derivations.,command-line-tools,{},,,30.0,1,False,2.0,,,,,,,,,,
72,nix-uri,a-kenji/nix-uri,Parse the nix-uri scheme.,command-line-tools,{},3.0,3.0,3.0,1,False,2.0,,,,,,,,,,
73,nixfmt,NixOS/nixfmt,"A formatter for Nix code, intended to easily apply a uniform style.",command-line-tools,{},,,48.0,1,False,2.0,,,,,,,,,,
74,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,{},,,104.0,1,False,2.0,,,,,,,,,,-26.0
