,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,new_addition,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id
109,deploy-rs,serokell/deploy-rs,A simple multi-profile Nix-flake deploy tool.,deployment-tools,https://github.com/serokell/deploy-rs,https://github.com/serokell/deploy-rs,,2020-09-28 17:46:15,2025-06-02 10:49:25,2024-09-27 14:26:09,328,,108.0,25,129.0,87.0,106.0,1624,37.0,14,True,3,,,,,,,,,,,
110,nixos-infect,elitak/nixos-infect,Replace a running non-NixOS Linux host with NixOS.,installation-media,https://github.com/elitak/nixos-infect,https://github.com/elitak/nixos-infect,GPL-3.0,2016-04-18 22:10:28,2024-07-04 02:41:41,2024-03-11 15:41:57,165,,254.0,16,158.0,45.0,35.0,1545,86.0,14,False,3,,,,,,,,,,,
111,proxmox-nixos,SaumonNet/proxmox-nixos,"The Proxmox Hypervisor, on NixOS.",virtualisation,https://github.com/SaumonNet/proxmox-nixos,https://github.com/SaumonNet/proxmox-nixos,AGPL-3.0,2024-02-18 13:54:11,2025-06-04 11:07:33,2025-06-04 11:07:33,388,38.0,45.0,21,90.0,15.0,37.0,907,15.0,14,True,2,True,,,,,,,,,,
112,cachix,cachix/cachix,Command line client for Nix binary cache hosting.,development,https://github.com/cachix/cachix,https://github.com/cachix/cachix,,2018-02-25 19:55:01,2025-06-02 17:10:48,2025-06-02 17:01:05,1211,31.0,48.0,11,329.0,120.0,239.0,904,20.0,14,True,3,True,,,,,,,,,,
113,naersk,nix-community/naersk,Build Rust packages directly from `Cargo.lock`.,programming-languages,https://github.com/nix-community/naersk,https://github.com/nix-community/naersk,MIT,2019-06-13 11:27:21,2025-04-29 11:24:10,2025-04-29 11:24:10,359,6.0,90.0,7,190.0,55.0,111.0,825,52.0,14,True,2,,,,,,,,,['rust'],,
114,Arion,hercules-ci/arion,Run `docker-compose` with help from Nix/NixOS.,development,https://github.com/hercules-ci/arion,https://github.com/hercules-ci/arion,Apache-2.0,2018-12-17 16:25:48,2025-04-20 16:35:56,2025-04-20 16:15:25,435,2.0,53.0,14,131.0,93.0,51.0,763,31.0,14,True,3,,2024-12-11 12:03:22,0.2.2.0,3.0,,,,,,,
115,nixos-shell,Mic92/nixos-shell,Simple headless VM configuration using Nix (similar to Vagrant).,virtualisation,https://github.com/Mic92/nixos-shell,https://github.com/Mic92/nixos-shell,MIT,2018-04-03 21:46:23,2025-05-16 14:48:26,2025-05-16 14:48:23,145,8.0,37.0,19,40.0,9.0,44.0,743,19.0,14,True,2,,2024-08-14 06:20:05,2.0.0,5.0,,,,,,,
116,musnix,musnix/musnix,Do real-time audio work in NixOS.,nixos-modules,https://github.com/musnix/musnix,https://github.com/musnix/musnix,BSD-3-Clause,2014-12-22 20:57:55,2025-06-01 01:51:37,2025-03-06 23:27:52,416,,57.0,16,156.0,11.0,54.0,733,37.0,14,True,3,,,,,,,,,,,
117,nixbsd,nixos-bsd/nixbsd,An unofficial NixOS fork with a FreeBSD kernel.,distributions,https://github.com/nixos-bsd/nixbsd,https://github.com/nixos-bsd/nixbsd,MIT,2023-12-24 23:35:29,2025-05-28 18:59:03,2025-03-28 08:58:25,316,37.0,25.0,23,12.0,12.0,18.0,696,6.0,14,True,2,,,,,,,,,,,
118,robotnix,nix-community/robotnix,A declarative and reproducible build system for Android (AOSP) images.,development,https://github.com/nix-community/robotnix,https://github.com/nix-community/robotnix,,2019-06-20 15:20:44,2025-04-19 07:48:35,2025-04-19 07:48:35,1839,28.0,72.0,13,167.0,55.0,71.0,688,27.0,14,True,3,,,,,,,,,,,
119,statix,oppiliappan/statix,A linter/fixer to check for and fix antipatterns in Nix code.,command-line-tools,https://github.com/oppiliappan/statix,https://github.com/oppiliappan/statix,MIT,2021-10-24 12:42:29,2025-03-04 02:58:13,2025-03-04 02:58:13,152,,24.0,7,33.0,27.0,34.0,656,16.0,14,True,2,,2023-09-09 11:41:50,0.5.8,6.0,,,,,,,
120,nix2container,nlewo/nix2container,An archive-less dockerTools.buildImage implementation.,deployment-tools,https://github.com/nlewo/nix2container,https://github.com/nlewo/nix2container,Apache-2.0,2021-12-23 09:45:34,2025-06-03 21:42:41,2025-04-15 06:50:37,191,3.0,56.0,13,75.0,49.0,47.0,634,25.0,14,True,3,True,,,,,,,,,,
121,nurl,nix-community/nurl,Generate Nix fetcher calls from repository URLs.,command-line-tools,https://github.com/nix-community/nurl,https://github.com/nix-community/nurl,MPL-2.0,2022-12-30 02:06:33,2024-12-11 15:58:07,2024-09-16 16:53:16,701,,9.0,5,370.0,12.0,6.0,566,2.0,14,True,2,,2023-07-21 21:21:31,0.3.13,18.0,16.0,16.0,739.0,24.0,,,
122,nixpkgs-update,nix-community/nixpkgs-update,Semi-automatic updating of nixpkgs packages.,development,https://github.com/nix-community/nixpkgs-update,https://github.com/nix-community/nixpkgs-update,CC0-1.0,2017-11-03 02:25:28,2025-06-01 01:48:05,2025-05-20 23:46:17,1070,5.0,80.0,16,195.0,101.0,176.0,502,48.0,14,True,3,,,,,,,,,,,
123,kclejeune/system,kclejeune/system,"Declarative system configurations using nixOS, nix-darwin, and home-manager.",learning,https://github.com/kclejeune/system,https://github.com/kclejeune/system,MIT,2020-07-02 06:19:11,2025-06-04 08:07:11,2025-05-27 16:20:05,1164,16.0,44.0,6,361.0,,11.0,485,9.0,14,True,2,True,,,,,,,,,,
124,noogle,nix-community/noogle,Nix function exploring.,discovery,https://github.com/nix-community/noogle,https://github.com/nix-community/noogle,MIT,2022-11-26 09:35:35,2025-06-04 02:46:31,2025-06-04 02:46:31,896,122.0,14.0,3,650.0,19.0,43.0,442,14.0,14,True,2,True,,,1.0,,,,,,,
125,nix-pills,NixOS/nix-pills,Guided introduction to Nix fundamentals from basic concepts to advanced use cases.,learning,https://github.com/NixOS/nix-pills,https://github.com/NixOS/nix-pills,CC-BY-SA-4.0,2017-08-14 09:08:14,2025-03-17 05:47:30,2025-03-17 05:47:30,386,6.0,120.0,85,183.0,39.0,38.0,413,109.0,14,True,2,,,,,,,,,,,
126,nix-minecraft,Infinidoge/nix-minecraft,An attempt to better support Minecraft-related content for the Nix ecosystem.,nixos-modules,https://github.com/Infinidoge/nix-minecraft,https://github.com/Infinidoge/nix-minecraft,MIT,2022-04-25 05:15:48,2025-06-03 02:05:47,2025-06-03 02:05:47,903,70.0,44.0,2,57.0,25.0,44.0,368,18.0,14,True,3,True,,,,,,,,,,
127,KubeNix,hall/kubenix,A Kubernetes resource builder using Nix.,deployment-tools,https://github.com/hall/kubenix,https://github.com/hall/kubenix,MIT,2022-08-12 02:40:33,2024-06-26 05:41:48,2024-06-25 11:00:14,407,,29.0,11,36.0,15.0,20.0,355,21.0,14,True,3,,2024-05-06 23:34:26,0.3.0,3.0,,,,,,,
128,pyproject.nix,pyproject-nix/pyproject.nix,A collection of Nix utilities to work with Python projects.,programming-languages,https://github.com/pyproject-nix/pyproject.nix,https://github.com/pyproject-nix/pyproject.nix,MIT,2023-07-17 10:21:45,2025-05-06 14:02:26,2025-05-06 14:02:26,484,16.0,24.0,10,271.0,5.0,34.0,234,12.0,14,True,2,True,,,,,,,,['python'],,
129,cached-nix-shell,xzfc/cached-nix-shell,A `nix-shell` replacement that uses caching to open subsequent shells quickly.,development,https://github.com/xzfc/cached-nix-shell,https://github.com/xzfc/cached-nix-shell,Unlicense,2019-09-18 14:23:00,2024-11-24 23:00:19,2024-06-23 18:47:25,182,,15.0,7,7.0,7.0,21.0,219,6.0,14,True,3,,2024-06-23 19:21:14,0.1.6,3.0,8.0,8.0,,,,,
130,nixpkgs-esp-dev,mirrexagon/nixpkgs-esp-dev,Nix flake and overlay for ESP8266 and ESP32 development.,overlays,https://github.com/mirrexagon/nixpkgs-esp-dev,https://github.com/mirrexagon/nixpkgs-esp-dev,CC0-1.0,2019-06-01 04:00:43,2025-05-08 07:57:19,2025-05-08 07:45:06,168,23.0,77.0,10,48.0,15.0,29.0,199,26.0,14,True,3,True,,,,,,,,,,
131,sbomnix,tiiuae/sbomnix,A suite of utilities to help with software supply chain challenges on nix targets.,security,https://github.com/tiiuae/sbomnix,https://github.com/tiiuae/sbomnix,,2022-12-08 10:45:27,2025-06-04 06:23:55,2025-05-28 12:18:16,310,23.0,26.0,8,152.0,11.0,13.0,174,16.0,14,True,2,True,2025-03-21 09:32:33,1.7.2,17.0,,,383.0,13.0,,,
132,Nix Starter Config,Misterio77/nix-starter-configs,A few simple Nix Flake templates for getting started with NixOS + home-manager.,learning,https://github.com/Misterio77/nix-starter-configs,https://github.com/Misterio77/nix-starter-configs,CC0-1.0,2021-12-16 20:29:26,2024-09-07 01:05:58,2024-09-07 01:05:58,97,,157.0,48,21.0,21.0,50.0,3165,10.0,13,True,3,,,,,,,,,,,
133,nix-bundle,nix-community/nix-bundle,Bundle Nix derivations to run anywhere!.,command-line-tools,https://github.com/nix-community/nix-bundle,https://github.com/nix-community/nix-bundle,MIT,2016-06-14 19:51:08,2024-10-16 16:12:21,2024-10-16 16:12:21,181,,55.0,27,44.0,45.0,33.0,722,20.0,13,True,2,True,2018-04-10 19:46:47,0.3.0,1.0,,,101.0,1.0,,,
134,nix-topology,oddlama/nix-topology,Generate infrastructure and network diagrams directly from your NixOS configuration.,nixos-modules,https://github.com/oddlama/nix-topology,https://github.com/oddlama/nix-topology,MIT,2024-04-03 20:05:49,2025-04-08 19:57:44,2025-04-08 19:57:44,208,7.0,32.0,12,58.0,9.0,13.0,717,21.0,13,True,3,,,,,,,,,,,
135,nix-snapshotter,pdtpartners/nix-snapshotter,Brings native understanding of Nix packages to containerd.,virtualisation,https://github.com/pdtpartners/nix-snapshotter,https://github.com/pdtpartners/nix-snapshotter,MIT,2023-07-05 18:31:50,2024-12-15 19:04:03,2024-12-15 19:04:03,84,,21.0,15,88.0,22.0,49.0,660,10.0,13,True,3,True,2024-10-24 14:57:35,0.2.1,5.0,,,,,,,
136,RFCs,NixOS/rfcs,The Nix community RFCs.,learning,https://github.com/NixOS/rfcs,https://github.com/NixOS/rfcs,CC-BY-SA-4.0,2017-02-11 15:41:27,2025-05-26 15:49:46,2025-05-26 15:49:41,76,3.0,141.0,130,185.0,,,584,39.0,13,True,3,True,,,,,,,,,,
137,compose2nix,aksiksi/compose2nix,Generate a NixOS config from a Docker Compose project.,development,https://github.com/aksiksi/compose2nix,https://github.com/aksiksi/compose2nix,MIT,2023-11-01 01:22:49,2025-03-16 05:48:11,2025-03-04 03:38:02,240,,8.0,6,40.0,10.0,34.0,578,4.0,13,True,3,,2024-10-14 02:50:13,0.3.1,18.0,,,,,,,
138,NixOps4,nixops4/nixops4,Deploy with Nix and manage resources declaratively.,deployment-tools,https://github.com/nixops4/nixops4,https://github.com/nixops4/nixops4,LGPL-2.1,2024-03-18 14:07:58,2025-06-02 01:23:56,2025-06-02 01:22:50,346,44.0,13.0,32,69.0,22.0,7.0,575,6.0,13,True,3,True,,,,,,,,,,
139,nixpkgs-mozilla,mozilla/nixpkgs-mozilla,Mozillas overlay with Rust toolchains and Firefox.,programming-languages,https://github.com/mozilla/nixpkgs-mozilla,https://github.com/mozilla/nixpkgs-mozilla,MIT,2016-06-16 22:14:00,2025-04-14 09:54:33,2025-04-14 09:54:33,273,1.0,126.0,15,200.0,50.0,92.0,557,65.0,13,True,2,,,,,,,,,['rust'],,
140,rnix-parser,nix-community/rnix-parser,A Nix parser written in Rust.,development,https://github.com/nix-community/rnix-parser,https://github.com/nix-community/rnix-parser,MIT,2018-08-11 12:29:05,2025-01-09 22:07:46,2025-01-09 22:07:46,362,,46.0,8,116.0,9.0,46.0,396,26.0,13,True,3,True,,,,2.0,2.0,,,,,
141,agenix-rekey,oddlama/agenix-rekey,An agenix extension adding secret generation and automatic rekeying using a YubiKey or master-identity.,security,https://github.com/oddlama/agenix-rekey,https://github.com/oddlama/agenix-rekey,MIT,2023-01-30 15:44:34,2025-04-28 15:46:34,2025-04-28 15:46:34,212,9.0,30.0,6,43.0,17.0,45.0,304,20.0,13,True,2,True,,,,,,,,,,
142,raspberry-pi-nix,nix-community/raspberry-pi-nix,NixOS modules to aid in configuring NixOS for Raspberry PI products.,installation-media,https://github.com/nix-community/raspberry-pi-nix,https://github.com/nix-community/raspberry-pi-nix,MIT,2022-05-21 01:16:06,2025-03-23 01:24:31,2025-03-17 14:59:51,165,2.0,80.0,10,46.0,13.0,53.0,299,14.0,13,True,3,True,2024-11-05 03:51:57,0.4.1,7.0,,,,,,,
143,flakelight,nix-community/flakelight,A modular flake framework aiming to minimize boilerplate.,development,https://github.com/nix-community/flakelight,https://github.com/nix-community/flakelight,MIT,2023-04-09 00:56:54,2025-06-02 12:50:09,2025-06-02 12:49:45,254,15.0,6.0,6,7.0,4.0,22.0,298,5.0,13,True,3,,,,,,,,,,,
144,nixpkgs-hammering,jtojnar/nixpkgs-hammering,An opinionated linter for Nixpkgs package expressions.,command-line-tools,https://github.com/jtojnar/nixpkgs-hammering,https://github.com/jtojnar/nixpkgs-hammering,MIT,2020-04-26 04:27:10,2025-06-02 18:51:34,2025-04-14 22:55:05,216,27.0,17.0,6,78.0,48.0,37.0,288,13.0,13,True,2,,,,,,,,,,,
145,NixVirt,AshleyYakeley/NixVirt,LibVirt domain management for Nix.,virtualisation,https://github.com/AshleyYakeley/NixVirt,https://github.com/AshleyYakeley/NixVirt,MIT,2024-01-27 19:54:59,2025-05-25 04:01:24,2025-05-25 02:26:43,407,8.0,31.0,3,48.0,4.0,36.0,253,19.0,13,True,3,True,,,,,,,,,,
146,Easy PureScript Nix,justinwoo/easy-purescript-nix,A project to easily use PureScript and other tools with Nix.,programming-languages,https://github.com/justinwoo/easy-purescript-nix,https://github.com/justinwoo/easy-purescript-nix,MIT,2018-10-21 15:16:08,2024-03-11 12:52:49,2024-03-11 12:52:49,456,,54.0,8,195.0,7.0,32.0,201,31.0,13,False,2,,,,,,,,,,,
147,clj-nix,jlesquembre/clj-nix,Nix helper functions for Clojure projects.,programming-languages,https://github.com/jlesquembre/clj-nix,https://github.com/jlesquembre/clj-nix,EPL-2.0,2022-04-02 19:16:53,2025-06-02 04:03:35,2025-05-17 16:18:58,246,2.0,24.0,6,95.0,23.0,46.0,163,16.0,13,True,2,,2024-11-20 01:44:18,0.4.0,1.0,,,,,,,
148,rippkgs,replit/rippkgs,A CLI for indexing and searching packages in Nix expressions.,command-line-tools,https://github.com/replit/rippkgs,https://github.com/replit/rippkgs,MIT,2024-02-08 16:38:09,2025-05-17 04:12:44,2025-05-17 04:12:43,53,2.0,4.0,21,35.0,6.0,4.0,157,4.0,13,True,2,True,2025-02-11 22:56:58,1.2.0,5.0,,,,,,,
149,nixidy,arnarg/nixidy,Kubernetes GitOps with Nix and Argo CD.,devops,https://github.com/arnarg/nixidy,https://github.com/arnarg/nixidy,MIT,2023-12-11 11:40:00,2025-05-13 08:01:33,2025-05-13 07:55:28,125,4.0,6.0,5,10.0,3.0,18.0,157,3.0,13,True,2,,2025-02-28 13:12:41,0.10.0,11.0,2.0,2.0,,,,,
150,MCP-NixOS,utensils/mcp-nixos,"An MCP server that provides AI assistants with accurate information about NixOS packages, options, Home Manager, and..",development,https://github.com/utensils/mcp-nixos,https://github.com/utensils/mcp-nixos,MIT,2025-03-20 05:05:00,2025-05-27 01:58:21,2025-05-26 22:30:13,325,325.0,8.0,4,22.0,,7.0,128,2.0,13,True,3,,2025-05-26 22:43:15,1.0.0,1.0,,,,,,,
151,bombon,nikstur/bombon,Nix CycloneDX Software Bills of Materials (SBOMs).,security,https://github.com/nikstur/bombon,https://github.com/nikstur/bombon,MIT,2022-08-18 23:06:53,2025-06-01 23:00:47,2025-06-01 23:00:46,400,12.0,11.0,4,147.0,6.0,12.0,81,8.0,13,True,2,True,2024-10-23 16:12:33,0.3.0,3.0,,,,,,,
152,nix-phps,fossar/nix-phps,Flake containing old and unmaintained PHP versions (intended for CI use).,programming-languages,https://github.com/fossar/nix-phps,https://github.com/fossar/nix-phps,MIT,2021-01-09 21:40:06,2025-06-02 05:54:49,2025-06-02 05:54:47,432,30.0,21.0,3,407.0,5.0,25.0,74,17.0,13,True,2,,,,,,,,,['php'],,
153,attic,zhaofengli/attic,Multi-tenant Nix Binary Cache.,development,https://github.com/zhaofengli/attic,https://github.com/zhaofengli/attic,,2022-12-31 23:43:41,2025-06-03 16:27:08,2025-05-29 15:25:42,365,2.0,103.0,13,93.0,105.0,53.0,1364,28.0,12,True,3,,,,,,,,,,,
154,nix-tree,utdemir/nix-tree,Interactively browse the dependency graph of Nix derivations.,command-line-tools,https://github.com/utdemir/nix-tree,https://github.com/utdemir/nix-tree,BSD-3-Clause,2020-06-24 22:41:51,2025-06-01 00:37:01,2025-05-17 04:10:01,230,5.0,16.0,6,70.0,14.0,37.0,865,12.0,12,True,2,,,,,,,,,,,
155,nix-alien,thiagokokada/nix-alien,Run unpatched binaries on Nix/NixOS easily.,command-line-tools,https://github.com/thiagokokada/nix-alien,https://github.com/thiagokokada/nix-alien,MIT,2021-10-27 00:26:44,2025-05-22 10:10:02,2025-05-22 10:10:01,400,7.0,10.0,4,98.0,1.0,36.0,651,9.0,12,True,2,,,,,,,,,,,
