,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,updated_github_id,trending,labels,gitlab_id,gitlab_url
21,Athena,Athena-OS/athena,Arch/Nix-based distro focused on Cybersecurity.,distributions,https://github.com/Athena-OS/athena,https://github.com/Athena-OS/athena,MIT,2022-06-14 21:39:15,2026-03-22 06:36:24,2026-03-20 06:44:20,809.0,218.0,97.0,29.0,149.0,9.0,141.0,1198,22,True,1,2025-10-14 16:48:02,25.11,16006.0,355.0,14.0,10.0,,,,,,,
22,update-flake-lock,DeterminateSystems/update-flake-lock,This is a GitHub Action that updates the flake.lock file for your Nix flake whenever it is run.,github-actions,https://github.com/DeterminateSystems/update-flake-lock,https://github.com/DeterminateSystems/update-flake-lock,MIT,2021-10-18 18:39:57,2026-03-22 00:02:48,2026-02-25 16:58:06,326.0,21.0,41.0,5.0,199.0,27.0,29.0,381,22,True,2,2025-11-26 21:23:21,28,,,28.0,28.0,3491.0,3491.0,,,,,
23,nix.dev,NixOS/nix.dev,Official documentation for getting things done with Nix.,learning,https://github.com/NixOS/nix.dev,https://github.com/NixOS/nix.dev,CC-BY-SA-4.0,2016-05-04 10:32:21,2026-03-21 03:24:48,2026-03-18 20:01:27,1936.0,18.0,317.0,41.0,888.0,129.0,192.0,3688,21,True,1,,,,,,194.0,,,,,,,
24,NixVim,nix-community/nixvim,A NeoVim distribution built with Nix modules and Nixpkgs.,editors-and-ides,https://github.com/nix-community/nixvim,https://github.com/nix-community/nixvim,MIT,2020-12-30 01:08:04,2026-03-22 12:23:46,2026-03-01 21:57:38,4395.0,108.0,371.0,12.0,3068.0,154.0,773.0,2713,21,True,1,,,,,,277.0,,,,,,,
25,Stylix,nix-community/stylix,System-wide colorscheming and typography for NixOS.,theming,https://github.com/nix-community/stylix,https://github.com/nix-community/stylix,MIT,2020-12-21 15:50:00,2026-03-22 15:41:33,2026-03-21 20:26:04,1377.0,60.0,312.0,13.0,1482.0,195.0,457.0,2193,21,True,1,,,,,,192.0,,,,,,,
26,nixd,nix-community/nixd,"Nix language server, based on Nix libraries.",development,https://github.com/nix-community/nixd,https://github.com/nix-community/nixd,LGPL-3.0,2023-05-10 08:41:17,2026-03-16 04:08:40,2026-03-16 04:07:59,1376.0,64.0,58.0,8.0,509.0,60.0,224.0,1338,21,True,1,2026-02-07 17:46:48,2.9.0,,,32.0,49.0,,,,,,,
27,nix-init,nix-community/nix-init,"Generate Nix packages from URLs with hash prefetching, dependency inference, license detection, and more.",command-line-tools,https://github.com/nix-community/nix-init,https://github.com/nix-community/nix-init,MPL-2.0,2023-01-18 19:45:48,2026-03-21 15:46:46,2026-03-21 15:46:44,1276.0,201.0,39.0,4.0,688.0,23.0,43.0,1337,21,True,1,2026-03-11 02:25:42,0.3.4,,,12.0,14.0,1.0,1.0,,,,,
28,nix-bitcoin,fort-nix/nix-bitcoin,Modules and packages for Bitcoin nodes with higher-layer protocols with an emphasis on security.,nixos-modules,https://github.com/fort-nix/nix-bitcoin,https://github.com/fort-nix/nix-bitcoin,MIT,2018-12-06 16:06:42,2026-02-12 06:39:53,2026-02-12 06:39:46,2196.0,19.0,124.0,19.0,604.0,37.0,178.0,600,21,True,2,2026-01-06 17:50:51,0.0.135,8409.0,137.0,100.0,31.0,,,,,,,
29,nix-index-database,nix-community/nix-index-database,Weekly updated nix-index database.,command-line-tools,https://github.com/nix-community/nix-index-database,https://github.com/nix-community/nix-index-database,MIT,2020-12-09 08:37:01,2026-03-22 05:09:04,2026-03-22 05:09:04,570.0,13.0,47.0,3.0,131.0,3.0,41.0,536,21,True,1,2026-03-22 05:03:33,2026-03-22-044453,539142.0,22464.0,100.0,37.0,,,,,,,
30,nix-installer-action,DeterminateSystems/nix-installer-action,"The fast, friendly, and reliable GitHub Action to install Nix with Flakes.",github-actions,https://github.com/DeterminateSystems/nix-installer-action,https://github.com/DeterminateSystems/nix-installer-action,LGPL-2.1,2023-01-13 18:03:12,2026-03-20 13:57:39,2026-03-20 13:57:34,367.0,13.0,27.0,3.0,195.0,16.0,26.0,230,21,True,2,2025-11-12 14:16:39,21,,,21.0,15.0,8182.0,8182.0,,,,,
31,NixOS & Flakes Book,ryan4yin/nixos-and-flakes-book,An unofficial and opinionated NixOS & Flakes book for beginners.,learning,https://github.com/ryan4yin/nixos-and-flakes-book,https://github.com/ryan4yin/nixos-and-flakes-book,CC-BY-SA-4.0,2023-06-23 05:59:01,2026-03-10 06:06:23,2026-03-10 06:06:23,645.0,10.0,142.0,17.0,153.0,3.0,50.0,3060,20,True,1,2026-02-11 05:43:48,0.7.0,1891.0,61.0,43.0,88.0,,,,,,,
32,nixos-anywhere,nix-community/nixos-anywhere,Install NixOS everywhere via SSH.,installation-media,https://github.com/nix-community/nixos-anywhere,https://github.com/nix-community/nixos-anywhere,MIT,2022-11-09 12:36:38,2026-03-22 03:45:43,2026-02-01 14:29:00,880.0,15.0,196.0,17.0,410.0,72.0,144.0,2964,20,True,2,2025-11-13 15:01:46,1.13.0,,,16.0,80.0,,,,,,,
33,microvm,astro/microvm.nix,NixOS-based MicroVMs.,virtualisation,https://github.com/microvm-nix/microvm.nix,https://github.com/microvm-nix/microvm.nix,MIT,2021-06-24 00:35:04,2026-03-18 22:21:27,2026-03-18 22:20:47,1089.0,50.0,180.0,21.0,267.0,48.0,174.0,2400,20,True,1,,,,,,94.0,,,microvm-nix/microvm.nix,,,,
34,ryan4yin/nix-config,ryan4yin/nix-config,Nix config for both desktops(NixOS+macOS) and homelab servers(NixOS).,nix-configurations,https://github.com/ryan4yin/nix-config,https://github.com/ryan4yin/nix-config,MIT,2023-04-22 17:29:16,2026-03-22 16:41:50,2026-03-22 16:22:21,2070.0,128.0,92.0,11.0,188.0,,65.0,1857,20,True,1,2026-01-05 05:30:48,0.15.0,,,33.0,15.0,,,,,,,
