,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,trending,updated_github_id,labels,new_addition,gitlab_id,gitlab_url
224,extra-container,erikarvstedt/extra-container,Run declarative NixOS containers from the command line.,virtualisation,https://github.com/erikarvstedt/extra-container,https://github.com/erikarvstedt/extra-container,MIT,2018-07-14 13:32:14,2026-01-10 20:57:00,2025-12-19 14:48:47,155.0,2.0,19.0,10.0,7.0,3.0,29.0,280,11,True,3,,,,,,3.0,,,,,,,,
225,nixpkgs-python,cachix/nixpkgs-python,"All Python versions, kept up-to-date on hourly basis using Nix.",programming-languages,https://github.com/cachix/nixpkgs-python,https://github.com/cachix/nixpkgs-python,Apache-2.0,2023-05-29 13:12:25,2026-02-26 18:55:19,2026-02-24 13:07:38,269.0,15.0,20.0,2.0,88.0,9.0,14.0,222,11,True,3,,,,,,16.0,,,,,['python'],,,
226,nix-search-cli,peterldowns/nix-search-cli,CLI for searching packages on search.nixos.org.,discovery,https://github.com/peterldowns/nix-search-cli,https://github.com/peterldowns/nix-search-cli,MIT,2023-02-19 19:14:30,2025-11-03 16:36:04,2025-11-03 16:35:37,82.0,,8.0,2.0,8.0,3.0,15.0,214,11,True,3,2025-11-03 16:36:04,0.3+commit.ab0d515,826.0,22.0,34.0,2.0,6.0,6.0,,,,,,
227,nixsa,noamraph/nixsa,A Nix Standalone Environment.,installation-media,https://github.com/noamraph/nixsa,https://github.com/noamraph/nixsa,LGPL-2.1,2024-08-05 19:57:39,2026-01-01 08:08:25,2025-04-01 21:30:56,69.0,,4.0,2.0,21.0,4.0,9.0,190,11,True,3,2024-11-17 20:35:16,0.2.0,480.0,25.0,6.0,4.0,,,,,,,,
228,nix-shell,loophp/nix-shell,Nix shells for PHP development.,programming-languages,https://github.com/loophp/nix-shell,https://github.com/loophp/nix-shell,MIT,2021-06-20 06:59:35,2026-01-24 19:11:36,2026-01-24 19:11:20,671.0,8.0,14.0,4.0,279.0,4.0,12.0,178,11,True,3,,,,,,9.0,,,,,['php'],,,
229,nixos-facter-modules,nix-community/nixos-facter-modules,A series of NixOS modules to be used in conjunction with nixos-facter.,nixos-modules,https://github.com/nix-community/nixos-facter-modules,https://github.com/nix-community/nixos-facter-modules,MIT,2024-07-25 10:32:17,2026-02-16 04:26:22,2025-12-24 06:35:41,202.0,8.0,20.0,8.0,74.0,16.0,14.0,176,11,True,3,,,,,,16.0,,,,,,,,
230,nixpkgs-lint,nix-community/nixpkgs-lint,A fast semantic linter for Nix using tree-sitter.,command-line-tools,https://github.com/nix-community/nixpkgs-lint,https://github.com/nix-community/nixpkgs-lint,MIT,2022-03-31 03:02:17,2025-11-27 17:08:59,2025-11-27 17:08:51,134.0,,8.0,4.0,27.0,3.0,6.0,168,11,True,2,2023-06-02 21:31:33,0.3.0,,,3.0,6.0,,,,,,,,
231,rippkgs,replit/rippkgs,A CLI for indexing and searching packages in Nix expressions.,discovery,https://github.com/replit/rippkgs,https://github.com/replit/rippkgs,MIT,2024-02-08 16:38:09,2025-05-17 04:12:44,2025-05-17 04:12:43,53.0,,5.0,20.0,35.0,6.0,4.0,163,11,True,3,2025-02-11 22:56:58,1.2.0,,,5.0,4.0,,,,,,,,
232,npmlock2nix,nix-community/npmlock2nix,"Generate Nix expressions from a `package-lock.json` (in-memory), primarily for web projects.",programming-languages,https://github.com/nix-community/npmlock2nix,https://github.com/nix-community/npmlock2nix,Apache-2.0,2020-07-22 14:21:40,2025-09-17 09:20:11,2025-09-17 09:20:11,289.0,,38.0,3.0,137.0,37.0,20.0,149,11,True,3,,,,,,16.0,,,,,,,,
233,zmk-nix,lilyinstarlight/zmk-nix,Build system and configuration files for generating and building ZMK firmware with Nix.,development,https://github.com/lilyinstarlight/zmk-nix,https://github.com/lilyinstarlight/zmk-nix,MIT,2023-11-27 21:50:04,2026-03-01 00:56:35,2026-03-01 00:55:59,331.0,22.0,27.0,2.0,254.0,6.0,5.0,135,11,True,3,,,,,,9.0,,,,,,,,
