,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,updated_github_id,trending,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2026-05-04 00:08:41,2026-05-04 00:02:37,991554.0,48745.0,18515.0,274.0,459638.0,9006.0,46196.0,24566,33,True,1,,,,,,,,,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2026-04-22 19:20:56,2026-04-20 22:40:28,1746.0,23.0,307.0,42.0,1983.0,399.0,439.0,11509,29,True,1,2026-04-21 16:02:02,0.17.2,2226284.0,76768.0,100.0,102.0,,,,,,
2,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2026-05-04 00:19:52,2026-05-03 19:43:34,6479.0,1112.0,482.0,26.0,1345.0,294.0,1135.0,6737,28,True,1,2026-03-22 08:42:56,2.0.6,,,48.0,279.0,1.0,1.0,,,,
3,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2026-05-03 23:51:35,2026-05-03 23:50:49,6677.0,494.0,2346.0,49.0,6044.0,669.0,2478.0,9724,27,True,1,,,,,,1619.0,,,,,,
4,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/nickel-lang/nickel,https://github.com/nickel-lang/nickel,MIT,2019-01-08 21:43:11,2026-05-03 19:28:54,2026-05-02 10:21:31,5056.0,92.0,112.0,26.0,1756.0,141.0,561.0,2905,26,True,1,2026-02-27 01:18:35,1.16.0,161234.0,3224.0,29.0,95.0,,,nickel-lang/nickel,,,
5,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2026-05-02 14:40:49,2026-05-02 14:38:19,765.0,48.0,156.0,25.0,710.0,35.0,226.0,2891,26,True,1,2026-03-01 15:30:53,2511.7.1,73676.0,1169.0,11.0,54.0,,,,,,
6,llm-agents.nix,numtide/llm-agents.nix,Nix packages for AI coding agents and development tools. Automatically updated daily.,ai-tooling,https://github.com/numtide/llm-agents.nix,https://github.com/numtide/llm-agents.nix,MIT,2025-07-18 10:29:06,2026-05-03 21:49:32,2026-05-03 21:46:07,8359.0,4411.0,120.0,4.0,4405.0,2.0,155.0,1151,26,True,1,2025-10-28 07:09:55,assets,9050.0,1292.0,1.0,88.0,,,,2.0,,
7,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2026-04-28 01:22:54,2026-04-13 10:46:50,404.0,16.0,84.0,10.0,157.0,16.0,100.0,673,25,True,1,2026-04-22 10:37:40,31.10.5,,,58.0,34.0,37522.0,37522.0,,,,
8,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2026-05-03 00:15:19,2026-04-29 01:05:33,820.0,20.0,94.0,13.0,903.0,392.0,523.0,3545,24,True,1,2026-04-29 01:05:39,3.19.0,1298374.0,41883.0,100.0,35.0,3.0,3.0,,,,
9,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2026-05-03 23:52:18,2026-05-03 01:18:35,4218.0,106.0,251.0,18.0,1520.0,159.0,815.0,625,24,True,1,2026-05-03 23:52:19,nix-tools-0.4.3,26379.0,1014.0,18.0,164.0,,,,,,
10,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-12-15 01:02:35,2025-11-11 16:03:03,981.0,,512.0,74.0,344.0,114.0,175.0,4196,23,True,1,2025-08-13 03:38:12,0.15.5,10538638.0,152733.0,32.0,99.0,,,,,,
11,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,https://github.com/NixOS/nixos-hardware,https://github.com/NixOS/nixos-hardware,CC0-1.0,2016-02-08 10:50:14,2026-05-03 08:29:01,2026-05-03 08:14:06,2727.0,132.0,899.0,60.0,1422.0,187.0,239.0,3076,23,True,1,2021-05-29 08:24:13,mnt-reform2-nitrogen8m-v1,1671.0,27.0,2.0,543.0,,,,,,
12,NUR,nix-community/NUR,Nix User Repositories.,overlays,https://github.com/nix-community/NUR,https://github.com/nix-community/NUR,MIT,2018-02-28 18:49:50,2026-05-04 00:21:45,2026-05-04 00:18:18,42510.0,3502.0,489.0,15.0,994.0,31.0,102.0,1832,23,True,1,,,,,,611.0,,,,,,
13,nixfmt,NixOS/nixfmt,"A formatter for Nix code, intended to easily apply a uniform style.",command-line-tools,https://github.com/NixOS/nixfmt,https://github.com/NixOS/nixfmt,MPL-2.0,2018-08-02 12:33:51,2026-04-14 18:25:40,2026-04-14 18:25:38,644.0,15.0,71.0,28.0,187.0,24.0,173.0,1495,23,True,1,2026-01-09 09:50:43,1.2.0,15771.0,192.0,10.0,42.0,,,,,,
14,nvf,notashelf/nvf,"Highly modular, configurable, extensible and easy to use Neovim configuration in Nix.",editors-and-ides,https://github.com/NotAShelf/nvf,https://github.com/NotAShelf/nvf,MIT,2023-02-01 17:13:58,2026-05-03 19:45:11,2026-05-03 19:37:45,3310.0,398.0,217.0,6.0,964.0,102.0,360.0,1482,23,True,1,2025-12-12 12:21:36,0.8,,,7.0,146.0,,,,,,
15,treefmt,numtide/treefmt,"One CLI to format the code tree, using formatters such as alejandra, prettier, etc.",command-line-tools,https://github.com/numtide/treefmt,https://github.com/numtide/treefmt,MIT,2020-12-18 10:30:54,2026-05-03 20:23:34,2026-04-15 15:55:34,842.0,42.0,53.0,12.0,457.0,58.0,165.0,993,23,True,1,2026-04-07 20:05:42,2.5.0,119018.0,1983.0,31.0,23.0,8.0,8.0,,-1.0,,
