,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,labels,trending
100,nix-phps,fossar/nix-phps,Flake containing old and unmaintained PHP versions (intended for CI use).,programming-languages,https://github.com/fossar/nix-phps,https://github.com/fossar/nix-phps,MIT,2021-01-09 21:40:06,2025-05-12 03:09:56,2025-05-12 03:09:55,425,28.0,21.0,3,400.0,5.0,25.0,73,,,,,,17.0,13,True,2,,,['php'],
101,nix-tree,utdemir/nix-tree,Interactively browse the dependency graph of Nix derivations.,command-line-tools,https://github.com/utdemir/nix-tree,https://github.com/utdemir/nix-tree,BSD-3-Clause,2020-06-24 22:41:51,2025-05-01 00:35:02,2025-05-01 00:35:01,227,6.0,16.0,6,68.0,15.0,36.0,849,,,,,,12.0,12,True,3,,,,
102,deadnix,astro/deadnix,Scan Nix files for dead code.,command-line-tools,https://github.com/astro/deadnix,https://github.com/astro/deadnix,GPL-3.0,2021-12-05 23:06:43,2025-05-11 01:36:58,2025-03-09 15:43:01,277,6.0,18.0,3,77.0,3.0,21.0,583,,,,7.0,7.0,18.0,12,True,3,,,,
103,Standard,divnix/std,"An opinionated Nix Flakes framework to keep Nix code in large projects organized, accompanied by a friendly CLI/TUI..",devops,https://github.com/divnix/std,https://github.com/divnix/std,,2021-11-14 10:56:16,2025-05-13 10:54:44,2025-05-13 10:45:34,810,5.0,48.0,16,238.0,34.0,126.0,439,,,,,,42.0,12,True,3,,,,
104,flakelight,nix-community/flakelight,A modular flake framework aiming to minimize boilerplate.,development,https://github.com/nix-community/flakelight,https://github.com/nix-community/flakelight,MIT,2023-04-09 00:56:54,2025-05-12 12:49:55,2025-05-12 12:49:32,250,14.0,7.0,6,7.0,3.0,20.0,289,,,,,,5.0,12,True,3,,,,
105,Nix Templates,jonringer/nix-template,Collection of Nix templates for different types of projects.,learning,https://github.com/jonringer/nix-template,https://github.com/jonringer/nix-template,CC0-1.0,2020-07-17 00:41:15,2024-11-20 19:15:33,2024-11-20 19:15:29,149,,8.0,8,22.0,9.0,26.0,213,2022-12-17 17:56:21,0.4.1,9.0,,,6.0,12,True,3,,,,
106,Bundix,nix-community/bundix,Generates a Nix expression for your Bundler-managed application.,programming-languages,https://github.com/nix-community/bundix,https://github.com/nix-community/bundix,,2016-01-24 20:36:56,2024-07-01 18:19:19,2023-11-08 07:54:39,118,,54.0,4,56.0,37.0,27.0,171,2021-04-01 08:26:58,2.5.1,5.0,3.0,3.0,18.0,12,False,2,,,['ruby'],
107,nix-shell,loophp/nix-shell,Nix shells for PHP development.,programming-languages,https://github.com/loophp/nix-shell,https://github.com/loophp/nix-shell,MIT,2021-06-20 06:59:35,2025-05-12 01:04:57,2025-05-12 01:04:55,632,30.0,13.0,5,262.0,3.0,12.0,167,,,,,,8.0,12,True,2,,,['php'],
108,NüschtOS Search,NuschtOS/search,Simple and fast static-page NixOS option search.,discovery,https://github.com/NuschtOS/search,https://github.com/NuschtOS/search,MIT,2024-06-23 20:04:47,2025-04-19 07:01:17,2025-04-19 07:01:15,203,17.0,4.0,4,179.0,15.0,25.0,100,,,,,,8.0,12,True,1,,,,
109,zon2nix,nix-community/zon2nix,Convert the dependencies in `build.zig.zon` to a Nix expression.,programming-languages,https://github.com/nix-community/zon2nix,https://github.com/nix-community/zon2nix,MPL-2.0,2023-08-08 19:18:56,2025-04-24 12:54:05,2025-03-20 22:10:34,80,40.0,13.0,4,33.0,4.0,7.0,93,2023-09-03 23:31:23,0.1.2,3.0,,,7.0,12,True,2,,,,
