,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id,new_addition
63,lanzaboote,nix-community/lanzaboote,Secure Boot for NixOS.,nixos-modules,https://github.com/nix-community/lanzaboote,https://github.com/nix-community/lanzaboote,GPL-3.0,2022-11-21 11:10:07,2025-08-11 00:23:01,2025-08-04 08:55:45,844,19.0,69.0,19,328.0,46.0,101.0,1285,36.0,17,True,2,2025-01-23 13:56:40,0.4.2,6.0,,,,,,,,
64,dream2nix,nix-community/dream2nix,A framework for automatically converting packages from other build systems to Nix.,development,https://github.com/nix-community/dream2nix,https://github.com/nix-community/dream2nix,MIT,2021-09-03 15:30:51,2025-08-23 18:37:11,2025-08-12 06:02:19,2438,37.0,141.0,13,815.0,172.0,127.0,1161,80.0,17,True,2,,,,,,,,,,,
65,mach-nix,DavHau/mach-nix,Create highly reproducible python environments.,programming-languages,https://github.com/DavHau/mach-nix,https://github.com/DavHau/mach-nix,MIT,2020-04-22 09:32:18,2024-05-20 21:27:05,2024-05-09 13:40:43,564,,108.0,10,148.0,208.0,227.0,894,47.0,17,False,2,2022-06-01 12:00:53,3.5.0,19.0,3.0,3.0,,,['python'],,,
66,fenix,nix-community/fenix,Rust toolchains and Rust analyzer nightly for nix.,programming-languages,https://github.com/nix-community/fenix,https://github.com/nix-community/fenix,MPL-2.0,2021-01-02 22:51:56,2025-08-24 06:38:24,2025-08-19 06:39:59,2361,85.0,57.0,10,103.0,34.0,56.0,874,23.0,17,True,2,,,,,,,,['rust'],,,
67,srvos,nix-community/srvos,NixOS profiles for servers.,nixos-modules,https://github.com/nix-community/srvos,https://github.com/nix-community/srvos,MIT,2022-12-01 16:34:50,2025-08-21 16:00:31,2025-08-21 10:01:15,1213,64.0,47.0,19,645.0,14.0,24.0,772,39.0,17,True,2,,,,,,,,,,,
68,nixos-shell,Mic92/nixos-shell,Simple headless VM configuration using Nix (similar to Vagrant).,virtualisation,https://github.com/Mic92/nixos-shell,https://github.com/Mic92/nixos-shell,MIT,2018-04-03 21:46:23,2025-08-24 03:21:43,2025-08-21 13:49:04,157,12.0,38.0,19,47.0,9.0,44.0,756,23.0,17,True,1,2024-08-14 06:20:05,2.0.0,5.0,,,,,,4.0,,
69,Jovian-NixOS,Jovian-Experiments/Jovian-NixOS,NixOS modules for gaming with Steam Deck compatibility.,nixos-modules,https://github.com/Jovian-Experiments/Jovian-NixOS,https://github.com/Jovian-Experiments/Jovian-NixOS,MIT,2022-03-23 02:29:23,2025-08-23 06:41:48,2025-08-23 06:40:29,1356,100.0,69.0,23,339.0,38.0,106.0,747,20.0,17,True,2,,,,,,,,,,,
70,jupyenv,tweag/jupyenv,Declarative and reproducible Jupyter environments - powered by Nix.,development,https://github.com/tweag/jupyenv,https://github.com/tweag/jupyenv,MIT,2018-12-18 10:10:58,2025-08-24 00:14:35,2024-12-03 01:17:10,594,,145.0,32,365.0,38.0,170.0,721,39.0,17,True,2,2023-01-31 21:35:49,0.1.0,1.0,,,,,,,,
71,statix,oppiliappan/statix,A linter/fixer to check for and fix antipatterns in Nix code.,command-line-tools,https://github.com/oppiliappan/statix,https://github.com/oppiliappan/statix,MIT,2021-10-24 12:42:29,2025-08-23 15:46:50,2025-08-23 15:42:55,221,69.0,28.0,7,58.0,33.0,37.0,706,20.0,17,True,2,2023-09-09 11:41:50,0.5.8,6.0,,,,,,,,
72,Makes,fluidattacks/makes,"A Nix-based CI/CD pipeline framework for building, testing, and releasing projects in any language, from anywhere.",devops,https://github.com/fluidattacks/makes,https://github.com/fluidattacks/makes,MIT,2021-06-21 17:03:36,2025-07-30 22:07:23,2025-07-30 20:07:31,1434,4.0,45.0,9,1003.0,27.0,408.0,498,28.0,17,True,1,2024-08-12 19:34:11,24.09,25.0,,,168.0,3.0,,,,
