,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,trending,updated_github_id,gitlab_id,gitlab_url
366,nix-dart,tadfisher/nix-dart,Nix builder for Dart packages.,programming-languages,https://github.com/tadfisher/nix-dart,https://github.com/tadfisher/nix-dart,Apache-2.0,2021-01-23 00:01:53,2023-03-21 11:48:36,2022-05-10 20:13:35,310.0,,3.0,1.0,3.0,7.0,1.0,15,6,False,3,,,,,,,,,,,,
367,atom,ekala-project/atom,Efficient source archive format with deterministic properties.,development,https://github.com/nrdxp/atom,https://github.com/nrdxp/atom,MPL-2.0,2024-08-01 05:57:50,2025-11-22 22:28:12,2025-11-22 22:27:42,161.0,,,1.0,26.0,7.0,18.0,5,6,True,3,,,,,,3.0,,,,nrdxp/atom,,
368,nix-wallpaper,lunik1/nix-wallpaper,A configurable wallpaper for nix systems.,theming,https://github.com/lunik1/nix-wallpaper,https://github.com/lunik1/nix-wallpaper,,2023-02-03 15:25:57,2026-01-31 01:12:52,2026-01-31 01:12:44,44.0,,8.0,2.0,9.0,1.0,3.0,91,5,True,3,,,,,,4.0,,,,,,
369,nix-remarkable,pl-semiotics/nix-remarkable,Nix expressions for tools for the reMarkable tablet.,command-line-tools,https://github.com/pl-semiotics/nix-remarkable,https://github.com/pl-semiotics/nix-remarkable,GPL-2.0,2020-05-02 10:13:27,2021-07-06 01:52:51,2021-07-06 01:52:42,3.0,,6.0,5.0,2.0,3.0,1.0,70,5,False,3,,,,,,,,,,,,
370,redoxpkgs,nix-community/redoxpkgs,Cross-compile to Redox using Nix.,overlays,https://github.com/nix-community/redoxpkgs,https://github.com/nix-community/redoxpkgs,,2020-07-21 01:01:50,2021-04-07 05:59:59,2021-04-07 05:59:26,63.0,,4.0,8.0,3.0,,2.0,63,5,False,3,,,,,,3.0,,,,,,
371,pinix,remi-dupre/pinix,Progress In Nix - Pacman inspired frontend for Nix.,command-line-tools,https://github.com/remi-dupre/pinix,https://github.com/remi-dupre/pinix,LGPL-3.0,2024-02-04 20:33:57,2026-02-28 22:19:18,2025-08-14 07:29:28,50.0,,5.0,2.0,8.0,4.0,1.0,61,5,True,3,,,,,,4.0,,,,,,
372,Nix Notes,noteed/nix-notes,"A collection of short notes about Nix, each contributing to the same virtual machine image.",learning,https://github.com/noteed/nix-notes,https://github.com/noteed/nix-notes,,2019-12-07 12:43:03,2022-12-10 13:38:00,2020-08-09 16:26:08,19.0,,3.0,3.0,,,,60,5,False,3,,,,,,,,,,,,
373,nix-gleam,arnarg/nix-gleam,Generic Nix builder for Gleam applications.,programming-languages,https://github.com/arnarg/nix-gleam,https://github.com/arnarg/nix-gleam,MIT,2023-04-14 10:10:23,2025-12-25 18:53:15,2025-12-25 18:53:15,12.0,,10.0,2.0,6.0,2.0,1.0,58,5,True,3,,,,,,5.0,,,,,,
374,systemd-nix,serokell/systemd-nix,Generate systemd units from NixOS-style descriptions.,nixos-modules,https://github.com/serokell/systemd-nix,https://github.com/serokell/systemd-nix,MPL-2.0,2020-08-29 19:15:55,2023-07-26 02:00:31,2020-12-17 22:51:56,5.0,,3.0,2.0,2.0,,,50,5,False,3,,,,,,2.0,,,,,,
375,tarnix,puckipedia/tarnix,Who needs NAR files anyways?.,command-line-tools,https://github.com/puckipedia/tarnix,https://github.com/puckipedia/tarnix,EUPL-1.2,2024-10-05 02:48:35,2024-10-31 20:49:44,2024-10-31 20:49:39,7.0,,,3.0,,,,33,5,False,3,,,,,,,,,,,,
376,nix-haskell-mode,matthewbauer/nix-haskell-mode,Automatic Haskell setup in Emacs.,programming-languages,https://github.com/matthewbauer/nix-haskell-mode,https://github.com/matthewbauer/nix-haskell-mode,GPL-3.0,2019-03-29 18:22:31,2019-06-15 01:35:43,2019-06-15 01:35:28,32.0,,2.0,1.0,1.0,2.0,,29,5,False,3,,,,,,,,,,,,
377,get-flake,ursi/get-flake,builtins.getFlake without the restrictions.,command-line-tools,https://github.com/ursi/get-flake,https://github.com/ursi/get-flake,,2022-02-12 17:19:21,2025-04-29 16:47:28,2025-04-29 16:46:15,62.0,,5.0,3.0,2.0,1.0,1.0,28,5,False,3,,,,,,17.0,,,,,,
378,grep-nixos-cache,delroth/grep-nixos-cache,Finds strings in a large list of cached NixOS store paths.,command-line-tools,https://github.com/delroth/grep-nixos-cache,https://github.com/delroth/grep-nixos-cache,MIT,2023-09-15 10:11:38,2024-05-22 15:34:47,2024-02-02 09:48:40,12.0,,1.0,3.0,1.0,2.0,1.0,26,5,False,3,,,,,,,,,,,,
379,composer-plugin-nixify,stephank/composer-plugin-nixify,Composer plugin to help with Nix packaging.,programming-languages,https://github.com/stephank/composer-plugin-nixify,https://github.com/stephank/composer-plugin-nixify,BSD-2-Clause,2020-09-27 09:24:25,2022-05-20 20:06:43,2021-09-05 14:46:45,15.0,,2.0,1.0,3.0,,,17,5,False,3,2021-09-05 14:52:13,1.1.0,,,7.0,2.0,,,,,,
380,nether,krebs/nether,zerotier network configuration as a NixOS flake.,nixos-modules,https://github.com/krebs/nether,https://github.com/krebs/nether,,2024-02-02 02:18:15,2026-05-07 03:28:45,2025-10-01 07:59:54,63.0,,10.0,2.0,15.0,,,14,5,True,3,,,,,,11.0,,,,,,
381,haxix,MadMcCrow/haxix,Nix flake to build haxe/Heaps.,programming-languages,https://github.com/MadMcCrow/haxix,https://github.com/MadMcCrow/haxix,MIT,2023-09-20 17:05:53,2024-09-02 19:05:57,2024-09-02 19:05:36,29.0,,4.0,1.0,8.0,,,5,5,False,3,,,,,,2.0,,,,,,
382,buildxyz,RaitoBezarius/buildxyz,Build your Nix package automatically.,development,https://github.com/RaitoBezarius/buildxyz,https://github.com/RaitoBezarius/buildxyz,GPL-3.0,2023-03-06 10:11:37,2023-08-14 06:39:00,2023-07-24 21:18:20,160.0,,,2.0,53.0,5.0,1.0,64,4,False,3,2023-03-24 07:46:16,assets-0.1.0,111.0,2.0,1.0,4.0,,,,,,
383,rand-nix,figsoda/rand-nix,Eval-time random number generator for Nix without IFD.,development,https://github.com/figsoda/rand-nix,https://github.com/figsoda/rand-nix,Unlicense,2023-05-11 17:31:09,2023-05-11 19:03:04,2023-05-11 19:02:48,2.0,,,2.0,,2.0,,62,4,False,3,,,,,,,,,,,,
384,nix-forall,o-santi/nix-forall,Nix bindings for all languages.,command-line-tools,https://github.com/o-santi/nix-forall,https://github.com/o-santi/nix-forall,,2024-05-13 20:51:59,2025-06-09 02:56:24,2025-06-09 02:56:08,103.0,,2.0,5.0,,1.0,,44,4,True,3,,,,,,2.0,,,,,,
385,talon-nix,nix-community/talon-nix,Auto packaging for Talon Voice.,overlays,https://github.com/nix-community/talon-nix,https://github.com/nix-community/talon-nix,,2022-09-29 23:59:35,2026-04-16 09:36:47,2026-04-15 09:18:36,40.0,2.0,8.0,1.0,24.0,2.0,1.0,36,4,True,3,,,,,,6.0,,,,,,
386,pkgs-modules,DavHau/pkgs-modules,The Ideal interface for configuring packages.,development,https://github.com/DavHau/pkgs-modules,https://github.com/DavHau/pkgs-modules,,2022-10-05 12:09:23,2022-11-22 15:04:16,2022-10-06 08:35:01,3.0,,1.0,4.0,,1.0,,32,4,False,3,,,,,,,,,,,,
387,POP,divnix/POP,Pure Object Prototypes.,development,https://github.com/divnix/POP,https://github.com/divnix/POP,MIT,2022-05-27 07:51:03,2025-12-10 03:09:47,2025-12-10 03:09:22,20.0,,1.0,4.0,7.0,3.0,1.0,30,4,True,3,,,,,,2.0,,,,,,
388,hamnix,MatthewCroughan/hamnix,A collection of Amateur Radio software packaged for Nix.,overlays,https://github.com/MatthewCroughan/hamnix,https://github.com/MatthewCroughan/hamnix,,2021-12-06 13:40:14,2023-04-13 23:16:33,2022-01-11 00:51:54,5.0,,1.0,4.0,,,,27,4,False,3,,,,,,,,,,,,
389,nixbuntu-samples,lheckemann/nixbuntu-samples,Sample configurations for NixOS.,nix-configurations,https://github.com/lheckemann/nixbuntu-samples,https://github.com/lheckemann/nixbuntu-samples,,2023-11-04 12:13:34,2023-11-12 16:04:03,2023-11-12 16:03:51,12.0,,4.0,3.0,,,,20,4,False,3,,,,,,,,,,,,
390,nix-steam-servers,scottbot95/nix-steam-servers,Nix packages and NixOS modules for managing Steam game servers.,nixos-modules,https://github.com/scottbot95/nix-steam-servers,https://github.com/scottbot95/nix-steam-servers,MIT,2023-10-31 02:25:00,2026-05-10 10:28:21,2024-04-06 00:47:08,73.0,,,1.0,10.0,1.0,1.0,18,4,False,3,,,,,,2.0,,,,,,
391,nixpkgs-using,uncenter/nixpkgs-using,Find packages that you use that are currently being updated in Nixpkgs.,command-line-tools,https://github.com/uncenter/nixpkgs-using,https://github.com/uncenter/nixpkgs-using,MIT,2024-05-09 20:29:20,2025-12-15 15:25:40,2025-12-15 15:25:36,53.0,,1.0,1.0,20.0,2.0,2.0,17,4,True,3,,,,,,3.0,,,,,,
392,composition-c4,fossar/composition-c4,Support for building composer packages from a `composer.lock` (using IFD).,programming-languages,https://github.com/fossar/composition-c4,https://github.com/fossar/composition-c4,MIT,2021-05-31 01:00:50,2023-05-22 12:14:59,2023-05-19 21:51:55,29.0,,,1.0,6.0,1.0,,12,4,False,3,,,,,,2.0,,,,,,
393,netproxrc,timbertson/netproxrc,netrc-enabled https proxy for nix.,command-line-tools,https://github.com/timbertson/netproxrc,https://github.com/timbertson/netproxrc,MIT,2023-11-10 10:51:35,2024-04-28 01:41:01,2024-04-28 01:40:56,17.0,,,1.0,,,,9,4,False,3,,,,,,,,,,,,
394,kakapo,adisbladis/kakapo,A Nix web bundler because why not.,development,https://github.com/adisbladis/kakapo,https://github.com/adisbladis/kakapo,,2024-03-10 11:19:08,2024-03-10 12:55:49,2024-03-10 12:55:40,4.0,,1.0,1.0,,,,56,3,False,3,,,,,,,,,,,,
395,buildNodeModules,adisbladis/buildNodeModules,An experiment in improving node packaging for nix. Dead simple.,development,https://github.com/adisbladis/buildNodeModules,https://github.com/adisbladis/buildNodeModules,,2023-11-17 02:12:06,2024-09-04 10:41:17,2024-09-04 10:41:10,27.0,,2.0,1.0,2.0,4.0,3.0,43,3,False,3,,,,,,2.0,,,,,,
396,laurn,baloo/laurn,Dev environment isolation.,development,https://github.com/baloo/laurn,https://github.com/baloo/laurn,,2020-05-20 22:14:30,2021-05-07 15:20:44,2021-05-07 15:20:43,31.0,,1.0,1.0,2.0,6.0,2.0,38,3,False,3,,,,,,,,,,,,
397,clonix,tulilirockz/clonix,Declaratively manage rsync deployments in NixOS/Home-manager.,deployment-tools,https://github.com/tulilirockz/clonix,https://github.com/tulilirockz/clonix,,2024-01-09 23:47:17,2024-01-13 20:30:14,2024-01-13 20:30:12,13.0,,1.0,1.0,2.0,,4.0,31,3,False,3,,,,,,,,,,,,
398,attr-cmd,fricklerhandwerk/attr-cmd,Build shell commands from Nix attribute sets.,development,https://github.com/fricklerhandwerk/attr-cmd,https://github.com/fricklerhandwerk/attr-cmd,,2024-02-10 00:40:24,2024-05-23 01:47:04,2024-05-23 01:42:21,22.0,,1.0,1.0,,,,18,3,False,3,,,,,,,,,,,,
399,CppNix,roberth/CppNix,a Nix-based C preprocessor.,programming-languages,https://github.com/roberth/CppNix,https://github.com/roberth/CppNix,MIT,2024-08-11 13:46:45,2024-08-11 13:47:34,2024-08-11 13:47:13,2.0,,,2.0,,,,15,3,False,3,,,,,,,,,,,,
400,Nix Durability Tests,squalus/nix-durability-tests,Tests to reproduce Nix durablity problems.,development,https://github.com/squalus/nix-durability-tests,https://github.com/squalus/nix-durability-tests,GPL-3.0,2022-09-19 16:54:55,2022-09-19 17:04:37,2022-09-19 17:04:37,3.0,,,1.0,,,,12,3,False,3,,,,,,,,,,,,
401,Nixtest,,"Testing framework for Nix, with snapshot and unit test support, JUnit generation etc.",development,,https://gitlab.com/TECHNOFAB/nixtest,,2025-05-03 20:09:22,2025-05-03 20:09:22,,,,0.0,,,1.0,9.0,4,3,True,3,,,,,5.0,,,,,,TECHNOFAB/nixtest,https://gitlab.com/TECHNOFAB/nixtest
402,nix-lowlevel-experiments,svanderburg/nix-lowlevel-experiments,"Exploring low-level Nix, NixOS and system concepts.",learning,https://github.com/svanderburg/nix-lowlevel-experiments,https://github.com/svanderburg/nix-lowlevel-experiments,,2018-07-26 20:56:43,2019-11-11 22:41:53,2018-09-17 20:28:56,4.0,,1.0,1.0,1.0,,,23,2,False,3,,,,,,2.0,,,,,,
403,native-access-nix,yusefnapora/native-access-nix,A nixy way to install Native Instruments plugins using wine.,nixos-modules,https://github.com/yusefnapora/native-access-nix,https://github.com/yusefnapora/native-access-nix,,2023-11-04 23:43:16,2023-11-06 00:57:55,2023-11-06 00:57:55,3.0,,1.0,1.0,,1.0,,16,2,False,3,,,,,,,,,,,,
404,nix-dissector,picnoir/nix-dissector,Wireshark dissector for the Nix daemon protocol.,command-line-tools,https://github.com/picnoir/nix-dissector,https://github.com/picnoir/nix-dissector,GPL-3.0,2023-09-14 13:02:24,2025-09-11 19:37:17,2025-09-11 19:37:03,13.0,,1.0,1.0,,,1.0,15,2,True,3,,,,,,,,,,,,
405,nix-difflog,Artturin/nix-difflog,Diff nix build logs with less clutter.,command-line-tools,https://github.com/Artturin/nix-difflog,https://github.com/Artturin/nix-difflog,,2024-11-07 00:07:41,2024-11-07 00:18:00,2024-11-07 00:17:53,6.0,,,1.0,,,,14,2,False,3,,,,,,,,,,,,
406,nix-wtf-depends,Lassulus/nix-wtf-depends,nix why-depends for dummies or lazy people.,command-line-tools,https://github.com/Lassulus/nix-wtf-depends,https://github.com/Lassulus/nix-wtf-depends,,2024-09-01 09:05:27,2024-09-01 09:52:45,2024-09-01 09:52:42,4.0,,,1.0,,,,6,2,False,3,,,,,,,,,,,,
407,pushnix,arnarg/pushnix,Simple cli utility that pushes NixOS configuration and triggers a rebuild using ssh.,deployment-tools,https://github.com/arnarg/pushnix,https://github.com/arnarg/pushnix,,2020-07-15 18:53:59,2020-12-30 17:36:49,2020-12-30 17:16:00,7.0,,2.0,1.0,2.0,,2.0,34,1,False,3,,,,,,2.0,,,,,,
408,hackpkgs,applePrincess/hackpkgs,"nixpkgs aiming for exploiting tools, which may include non-official package or difficult to push to mainstream.",overlays,https://github.com/applePrincess/hackpkgs,https://github.com/applePrincess/hackpkgs,,2020-12-20 12:38:08,2022-07-25 10:33:37,2022-07-25 10:33:37,50.0,,1.0,2.0,1.0,,1.0,13,1,False,3,,,,,,2.0,,,,,,
409,Nixlets,,"Like Helm but using only Nix, uses Kubenix under the hood.",deployment-tools,,https://gitlab.com/TECHNOFAB/nixlets,,2024-03-06 10:17:25,2024-03-06 10:17:25,,,,0.0,,,1.0,2.0,4,1,False,3,,,,,0.0,,,,,,TECHNOFAB/nixlets,https://gitlab.com/TECHNOFAB/nixlets
