,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,labels,updated_github_id,gitlab_id,gitlab_url
123,cargo2nix,cargo2nix/cargo2nix,Granular builds of Rust projects for Nix.,programming-languages,https://github.com/cargo2nix/cargo2nix,https://github.com/cargo2nix/cargo2nix,MIT,2019-05-13 03:27:27,2025-06-19 20:24:21,2025-06-19 20:19:13,637.0,,84.0,12.0,218.0,70.0,119.0,444,15,True,2,,2025-06-19 20:23:17,0.12.0,,,15.0,42.0,,,['rust'],,,
124,nix-mineral,cynicsketch/nix-mineral,Conveniently and reasonably harden NixOS.,nixos-modules,https://github.com/cynicsketch/nix-mineral,https://github.com/cynicsketch/nix-mineral,GPL-3.0,2024-05-10 21:02:28,2026-01-06 21:47:21,2026-01-06 21:47:20,389.0,136.0,22.0,8.0,40.0,25.0,38.0,421,15,True,2,,,,,,9.0,12.0,,,,,,
125,terranix,terranix/terranix,Use Nix and the NixOS module system to write your Terraform code.,deployment-tools,https://github.com/terranix/terranix,https://github.com/terranix/terranix,GPL-3.0,2018-12-09 17:51:29,2025-11-06 23:37:06,2025-11-06 23:37:06,458.0,4.0,50.0,11.0,91.0,17.0,28.0,407,15,True,2,,2024-10-15 02:32:47,2.8.0,,,15.0,31.0,,,,,,
126,neovim-nightly-overlay,nix-community/neovim-nightly-overlay,Bleeding edge Neovim overlay.,overlays,https://github.com/nix-community/neovim-nightly-overlay,https://github.com/nix-community/neovim-nightly-overlay,,2020-08-23 18:25:45,2026-01-12 00:05:03,2026-01-12 00:05:02,2195.0,92.0,67.0,5.0,1043.0,2.0,89.0,398,15,True,2,,,,,,,26.0,,,,,,
127,MCP-NixOS,utensils/mcp-nixos,"An MCP server that provides AI assistants with accurate information about NixOS packages, options, Home Manager, and..",development,https://github.com/utensils/mcp-nixos,https://github.com/utensils/mcp-nixos,MIT,2025-03-20 05:05:00,2026-01-07 21:46:20,2026-01-07 21:46:02,376.0,16.0,19.0,5.0,44.0,4.0,20.0,390,15,True,2,,2026-01-07 21:46:46,2.1.0,,,7.0,6.0,1.0,1.0,,,,
128,donovanglover/nix-config,donovanglover/nix-config,"NixOS configuration with Nix Flakes, Home Manager, Stylix, and Hyprland.",nix-configurations,https://github.com/donovanglover/nix-config,https://github.com/donovanglover/nix-config,MIT,2017-10-21 09:31:19,2025-12-17 19:51:29,2025-12-17 19:38:23,3826.0,22.0,13.0,3.0,2.0,1.0,4.0,377,15,True,3,,2018-12-13 04:54:01,0.2.0,,,2.0,,,,,,,
129,harmonia,nix-community/harmonia,Nix binary cache implemented in Rust.,development,https://github.com/nix-community/harmonia,https://github.com/nix-community/harmonia,,2023-01-22 21:22:29,2026-01-08 02:21:16,2026-01-08 02:20:24,1422.0,325.0,28.0,2.0,734.0,10.0,18.0,368,15,True,2,,2025-04-24 09:17:39,harmonia-v2.1.0,,,22.0,28.0,,,,,,
130,omnix,juspay/omnix,A Nix companion to improve developer experience.,development,https://github.com/juspay/omnix,https://github.com/juspay/omnix,AGPL-3.0,2023-05-27 01:08:11,2026-01-05 20:13:29,2026-01-05 20:03:12,848.0,7.0,25.0,12.0,301.0,35.0,137.0,252,15,True,2,,2026-01-05 20:09:06,1.3.2,,,8.0,16.0,,,,,,
131,nix-openwrt-imagebuilder,astro/nix-openwrt-imagebuilder,Build OpenWRT images in Nix derivations.,installation-media,https://github.com/astro/nix-openwrt-imagebuilder,https://github.com/astro/nix-openwrt-imagebuilder,MIT,2022-04-27 20:38:30,2026-01-11 09:04:36,2026-01-11 08:27:11,1487.0,106.0,25.0,5.0,39.0,7.0,18.0,223,15,True,3,,,,,,,12.0,,,,,,
132,tree-sitter-nix,nix-community/tree-sitter-nix,Nix grammar for tree-sitter.,development,https://github.com/nix-community/tree-sitter-nix,https://github.com/nix-community/tree-sitter-nix,MIT,2019-03-22 10:12:10,2026-01-09 09:57:06,2025-12-03 17:15:50,188.0,3.0,46.0,2.0,114.0,19.0,29.0,218,15,True,2,,,,,,,21.0,17.0,17.0,,,,
