,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,trending,updated_github_id,dependent_project_count,github_dependent_project_count,labels,new_addition,gitlab_id,gitlab_url
193,nix-mode,NixOS/nix-mode,An Emacs major mode for editing Nix expressions.,editors-and-ides,https://github.com/NixOS/nix-mode,https://github.com/NixOS/nix-mode,LGPL-2.1,2016-08-17 20:46:39,2024-06-25 16:56:44,2023-04-21 20:36:55,564.0,,75.0,15.0,114.0,37.0,57.0,329,12,False,3,,,,,,39.0,,,,,,,,
194,nixpkgs-hammering,jtojnar/nixpkgs-hammering,An opinionated linter for Nixpkgs package expressions.,command-line-tools,https://github.com/jtojnar/nixpkgs-hammering,https://github.com/jtojnar/nixpkgs-hammering,MIT,2020-04-26 04:27:10,2025-11-24 19:07:20,2025-09-10 23:35:19,222.0,,19.0,6.0,101.0,49.0,38.0,324,12,True,2,,,,,,14.0,,,,,,,,
195,sbomnix,tiiuae/sbomnix,A suite of utilities to help with software supply chain challenges on nix targets.,security,https://github.com/tiiuae/sbomnix,https://github.com/tiiuae/sbomnix,,2022-12-08 10:45:27,2025-11-12 04:57:24,2025-11-12 04:56:41,357.0,2.0,29.0,7.0,215.0,10.0,19.0,235,12,True,2,2025-10-13 07:22:52,1.7.4,409.0,11.0,19.0,18.0,,,,,,,,
196,styx,styx-static/styx,Static site generator in Nix expression language.,development,https://github.com/styx-static/styx,https://github.com/styx-static/styx,MIT,2016-10-02 22:24:18,2023-01-13 16:06:57,2023-01-13 16:06:53,338.0,,25.0,11.0,51.0,15.0,35.0,234,12,False,3,,,,,,13.0,,,,,,,,
197,nixpkgs-python,cachix/nixpkgs-python,"All Python versions, kept up-to-date on hourly basis using Nix.",programming-languages,https://github.com/cachix/nixpkgs-python,https://github.com/cachix/nixpkgs-python,Apache-2.0,2023-05-29 13:12:25,2025-12-31 17:28:40,2025-12-06 20:24:16,258.0,13.0,19.0,3.0,83.0,9.0,14.0,221,12,True,3,,,,,,15.0,,,,,['python'],,,
198,Nix Templates,jonringer/nix-template,Collection of Nix templates for different types of projects.,learning,https://github.com/jonringer/nix-template,https://github.com/jonringer/nix-template,CC0-1.0,2020-07-17 00:41:15,2024-11-20 19:15:33,2024-11-20 19:15:29,149.0,,8.0,8.0,22.0,9.0,26.0,218,12,False,2,2022-12-17 17:56:21,0.4.1,,,9.0,6.0,,,,,,,,
199,Bundix,nix-community/bundix,Generates a Nix expression for your Bundler-managed application.,programming-languages,https://github.com/nix-community/bundix,https://github.com/nix-community/bundix,,2016-01-24 20:36:56,2024-07-01 18:19:19,2023-11-08 07:54:39,118.0,,55.0,3.0,57.0,38.0,26.0,180,12,False,3,2021-04-01 08:26:58,2.5.1,,,5.0,18.0,,,3.0,3.0,['ruby'],,,
200,nix-shell,loophp/nix-shell,Nix shells for PHP development.,programming-languages,https://github.com/loophp/nix-shell,https://github.com/loophp/nix-shell,MIT,2021-06-20 06:59:35,2026-01-24 19:11:36,2026-01-24 19:11:20,671.0,21.0,14.0,4.0,279.0,4.0,12.0,177,12,True,3,,,,,,9.0,,,,,['php'],,,
201,nixos-facter-modules,nix-community/nixos-facter-modules,A series of NixOS modules to be used in conjunction with nixos-facter.,nixos-modules,https://github.com/nix-community/nixos-facter-modules,https://github.com/nix-community/nixos-facter-modules,MIT,2024-07-25 10:32:17,2025-12-24 06:36:33,2025-12-24 06:35:41,202.0,16.0,19.0,8.0,72.0,16.0,14.0,175,12,True,3,,,,,,16.0,,,,,,,,
202,dns.nix,nix-community/dns.nix,A Nix DSL for DNS zone files.,nixos-modules,https://github.com/nix-community/dns.nix,https://github.com/nix-community/dns.nix,MPL-2.0,2019-03-08 17:27:59,2026-01-11 15:04:14,2026-01-11 15:04:14,104.0,1.0,30.0,5.0,33.0,10.0,9.0,173,12,True,3,2021-10-26 18:34:12,1.1.2,,,4.0,15.0,,,,,,,,
203,nixos-rk3588,ryan4yin/nixos-rk3588,"Minimal NixOS running on RK3588/RK3588s based SBC(Orange Pi 5 Plus, Orange Pi 5, Rock 5A, etc).",distributions,https://github.com/ryan4yin/nixos-rk3588,https://github.com/ryan4yin/nixos-rk3588,MIT,2023-06-02 03:05:44,2025-06-02 15:58:26,2025-06-02 15:58:19,121.0,,30.0,9.0,35.0,12.0,24.0,168,12,True,3,2024-03-24 10:25:24,2024032400,501.0,17.0,2.0,10.0,,,,,,,,
204,nixpkgs-lint,nix-community/nixpkgs-lint,A fast semantic linter for Nix using tree-sitter.,command-line-tools,https://github.com/nix-community/nixpkgs-lint,https://github.com/nix-community/nixpkgs-lint,MIT,2022-03-31 03:02:17,2025-11-27 17:08:59,2025-11-27 17:08:51,134.0,3.0,8.0,4.0,27.0,3.0,6.0,166,12,True,2,2023-06-02 21:31:33,0.3.0,,,3.0,6.0,,,,,,,,
205,nixcasks,jcszymansk/nixcasks,"Homebrew casks, nixified.",overlays,https://github.com/jcszymansk/nixcasks,https://github.com/jcszymansk/nixcasks,MIT,2023-07-24 21:17:33,2026-01-25 21:40:50,2026-01-25 21:40:49,1004.0,92.0,4.0,3.0,7.0,5.0,7.0,90,12,True,3,,,,,,5.0,,,,,,,,
206,nixpkgs-xr,nix-community/nixpkgs-xr,Automated packages for XR/AR/VR tools and apps for NixOS.,overlays,https://github.com/nix-community/nixpkgs-xr,https://github.com/nix-community/nixpkgs-xr,,2024-01-01 14:10:58,2026-01-25 01:59:08,2026-01-25 01:59:07,1495.0,169.0,10.0,3.0,593.0,7.0,22.0,86,12,True,3,,,,,,11.0,,,,,,,,
207,nix-phps,fossar/nix-phps,Flake containing old and unmaintained PHP versions (intended for CI use).,programming-languages,https://github.com/fossar/nix-phps,https://github.com/fossar/nix-phps,MIT,2021-01-09 21:40:06,2026-01-25 04:07:31,2025-12-28 15:27:52,466.0,8.0,24.0,3.0,458.0,5.0,27.0,81,12,True,3,,,,,,17.0,,,,,['php'],,,
208,purs-nix,purs-nix/purs-nix,CLI and library combo designed for managing PureScript projects using Nix.,programming-languages,https://github.com/purs-nix/purs-nix,https://github.com/purs-nix/purs-nix,MIT,2021-02-25 04:10:19,2026-01-07 19:46:07,2026-01-07 19:44:22,612.0,23.0,28.0,2.0,21.0,6.0,33.0,79,12,True,3,,,,,,7.0,,,,,,,,
