,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,labels,updated_github_id,gitlab_id,gitlab_url
140,nurl,nix-community/nurl,Generate Nix fetcher calls from repository URLs.,command-line-tools,https://github.com/nix-community/nurl,https://github.com/nix-community/nurl,MPL-2.0,2022-12-30 02:06:33,2024-12-11 15:58:07,2024-09-16 16:53:16,701.0,,9.0,5.0,370.0,12.0,6.0,620,2.0,14,False,2,,2023-07-21 21:21:31,0.3.13,817.0,24.0,18.0,16.0,16.0,,,,
141,noogle,nix-community/noogle,Nix function exploring.,discovery,https://github.com/nix-community/noogle,https://github.com/nix-community/noogle,MIT,2022-11-26 09:35:35,2025-10-26 02:40:00,2025-10-24 02:24:13,1152.0,161.0,14.0,2.0,1113.0,20.0,45.0,485,15.0,14,True,2,,,,,,1.0,,,,,,
142,nix-pills,NixOS/nix-pills,Guided introduction to Nix fundamentals from basic concepts to advanced use cases.,learning,https://github.com/NixOS/nix-pills,https://github.com/NixOS/nix-pills,CC-BY-SA-4.0,2017-08-14 09:08:14,2025-08-25 18:50:18,2025-08-25 18:50:18,398.0,2.0,122.0,78.0,190.0,39.0,38.0,439,114.0,14,True,2,-1.0,,,,,,,,,,,
143,spicetify-nix,Gerg-L/spicetify-nix,A nix library for modifying spotify with spicetify.,theming,https://github.com/Gerg-L/spicetify-nix,https://github.com/Gerg-L/spicetify-nix,GPL-3.0,2023-11-30 23:44:32,2025-10-26 04:29:01,2025-10-26 04:29:01,920.0,20.0,26.0,4.0,253.0,9.0,55.0,350,25.0,14,True,2,,2025-04-29 21:27:19,24.11,,,1.0,,,,,,
144,nixos-unified,srid/nixos-unified,"Unify NixOS + nix-darwin + home-manager configuration in a single flake, while providing a consistent interface at DX..",nixos-modules,https://github.com/srid/nixos-unified,https://github.com/srid/nixos-unified,MIT,2023-03-15 17:35:12,2025-10-09 00:08:00,2025-10-09 00:07:59,185.0,8.0,33.0,2.0,68.0,18.0,38.0,324,9.0,14,True,2,-1.0,2024-10-03 15:42:09,0.2.0,,,2.0,,,,,,
145,raspberry-pi-nix,nix-community/raspberry-pi-nix,NixOS modules to aid in configuring NixOS for Raspberry PI products.,installation-media,https://github.com/nix-community/raspberry-pi-nix,https://github.com/nix-community/raspberry-pi-nix,MIT,2022-05-21 01:16:06,2025-03-23 01:24:31,2025-03-17 14:59:51,165.0,,82.0,8.0,46.0,13.0,53.0,308,14.0,14,True,3,,2024-11-05 03:51:57,0.4.1,,,7.0,,,,,,
146,pyproject.nix,pyproject-nix/pyproject.nix,A collection of Nix utilities to work with Python projects.,programming-languages,https://github.com/pyproject-nix/pyproject.nix,https://github.com/pyproject-nix/pyproject.nix,MIT,2023-07-17 10:21:45,2025-10-14 00:43:47,2025-10-14 00:43:44,512.0,16.0,30.0,7.0,340.0,2.0,45.0,263,16.0,14,True,2,,,,,,,,,['python'],,,
147,nixpkgs-esp-dev,mirrexagon/nixpkgs-esp-dev,Nix flake and overlay for ESP8266 and ESP32 development.,overlays,https://github.com/mirrexagon/nixpkgs-esp-dev,https://github.com/mirrexagon/nixpkgs-esp-dev,CC0-1.0,2019-06-01 04:00:43,2025-10-16 20:50:34,2025-10-16 20:50:34,198.0,19.0,83.0,9.0,56.0,18.0,31.0,251,29.0,14,True,2,,,,,,,,,,,,
148,cached-nix-shell,xzfc/cached-nix-shell,A `nix-shell` replacement that uses caching to open subsequent shells quickly.,development,https://github.com/xzfc/cached-nix-shell,https://github.com/xzfc/cached-nix-shell,Unlicense,2019-09-18 14:23:00,2024-11-24 23:00:19,2024-06-23 18:47:25,182.0,,15.0,6.0,7.0,7.0,21.0,225,6.0,14,False,2,,2024-06-23 19:21:14,0.1.6,,,3.0,8.0,8.0,,,,
149,sbomnix,tiiuae/sbomnix,A suite of utilities to help with software supply chain challenges on nix targets.,security,https://github.com/tiiuae/sbomnix,https://github.com/tiiuae/sbomnix,,2022-12-08 10:45:27,2025-10-23 11:06:34,2025-10-23 11:06:33,355.0,33.0,29.0,7.0,209.0,10.0,17.0,210,18.0,14,True,2,,2025-10-13 07:22:52,1.7.4,397.0,12.0,19.0,,,,,,
