,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,labels,updated_github_id,gitlab_id,gitlab_url
185,RFCs,NixOS/rfcs,The Nix community RFCs.,learning,https://github.com/NixOS/rfcs,https://github.com/NixOS/rfcs,CC-BY-SA-4.0,2017-02-11 15:41:27,2025-05-26 15:49:46,2025-05-26 15:49:41,76.0,,141.0,131.0,188.0,,,605,39.0,12,True,2,,,,,,,,,,,,
186,nixos-facter,nix-community/nixos-facter,Declarative hardware configuration for NixOS.,nixos-modules,https://github.com/nix-community/nixos-facter,https://github.com/nix-community/nixos-facter,,2024-06-12 08:51:04,2025-08-29 18:04:33,2025-08-29 17:59:16,339.0,2.0,11.0,12.0,128.0,41.0,48.0,470,10.0,12,True,3,,2025-05-12 13:37:17,0.4.0,,,3.0,,,,,,
187,nix-security-box,fabaff/nix-security-box,Tool set for Information security professionals and all others.,security,https://github.com/fabaff/nix-security-box,https://github.com/fabaff/nix-security-box,MIT,2020-12-22 22:36:28,2025-10-10 07:45:52,2025-10-10 07:45:38,668.0,10.0,23.0,7.0,4.0,2.0,2.0,340,,12,True,2,,,,,,,,,,,,
188,nix-mode,NixOS/nix-mode,An Emacs major mode for editing Nix expressions.,editors-and-ides,https://github.com/NixOS/nix-mode,https://github.com/NixOS/nix-mode,LGPL-2.1,2016-08-17 20:46:39,2024-06-25 16:56:44,2023-04-21 20:36:55,564.0,,76.0,15.0,114.0,37.0,57.0,320,39.0,12,False,3,,,,,,,,,,,,
189,nixpkgs-hammering,jtojnar/nixpkgs-hammering,An opinionated linter for Nixpkgs package expressions.,command-line-tools,https://github.com/jtojnar/nixpkgs-hammering,https://github.com/jtojnar/nixpkgs-hammering,MIT,2020-04-26 04:27:10,2025-10-13 18:28:56,2025-09-10 23:35:19,222.0,6.0,19.0,6.0,98.0,49.0,38.0,312,14.0,12,True,2,,,,,,,,,,,,
190,styx,styx-static/styx,Static site generator in Nix expression language.,development,https://github.com/styx-static/styx,https://github.com/styx-static/styx,MIT,2016-10-02 22:24:18,2023-01-13 16:06:57,2023-01-13 16:06:53,338.0,,25.0,11.0,51.0,15.0,35.0,231,13.0,12,False,3,,,,,,,,,,,,
191,Nix Templates,jonringer/nix-template,Collection of Nix templates for different types of projects.,learning,https://github.com/jonringer/nix-template,https://github.com/jonringer/nix-template,CC0-1.0,2020-07-17 00:41:15,2024-11-20 19:15:33,2024-11-20 19:15:29,149.0,,8.0,8.0,22.0,9.0,26.0,219,6.0,12,True,2,,2022-12-17 17:56:21,0.4.1,,,9.0,,,,,,
192,Bundix,nix-community/bundix,Generates a Nix expression for your Bundler-managed application.,programming-languages,https://github.com/nix-community/bundix,https://github.com/nix-community/bundix,,2016-01-24 20:36:56,2024-07-01 18:19:19,2023-11-08 07:54:39,118.0,,53.0,3.0,56.0,37.0,26.0,179,18.0,12,False,3,,2021-04-01 08:26:58,2.5.1,,,5.0,3.0,3.0,['ruby'],,,
193,nixos-rk3588,ryan4yin/nixos-rk3588,"Minimal NixOS running on RK3588/RK3588s based SBC(Orange Pi 5 Plus, Orange Pi 5, Rock 5A, etc).",distributions,https://github.com/ryan4yin/nixos-rk3588,https://github.com/ryan4yin/nixos-rk3588,MIT,2023-06-02 03:05:44,2025-06-02 15:58:26,2025-06-02 15:58:19,121.0,,30.0,9.0,35.0,12.0,25.0,165,10.0,12,True,2,,2024-03-24 10:25:24,2024032400,482.0,18.0,2.0,,,,,,
194,nixos-facter-modules,nix-community/nixos-facter-modules,A series of NixOS modules to be used in conjunction with nixos-facter.,nixos-modules,https://github.com/nix-community/nixos-facter-modules,https://github.com/nix-community/nixos-facter-modules,MIT,2024-07-25 10:32:17,2025-10-22 12:49:31,2025-10-22 12:47:56,186.0,31.0,17.0,7.0,63.0,15.0,13.0,158,13.0,12,True,3,,,,,,,,,,,,
195,NüschtOS Search,NuschtOS/search,Simple and fast static-page NixOS option search.,discovery,https://github.com/NuschtOS/search,https://github.com/NuschtOS/search,MIT,2024-06-23 20:04:47,2025-10-16 22:07:04,2025-10-16 22:07:02,258.0,34.0,10.0,4.0,227.0,17.0,30.0,125,13.0,12,True,2,,,,,,,,,,,,
196,hydra-check,nix-community/hydra-check,Check hydra for the build status of a package.,command-line-tools,https://github.com/nix-community/hydra-check,https://github.com/nix-community/hydra-check,MIT,2020-03-05 18:26:56,2025-10-11 08:45:42,2025-10-11 08:45:42,149.0,18.0,12.0,2.0,69.0,,15.0,118,10.0,12,True,2,,2025-03-23 06:22:26,2.0.4,,,10.0,,,,,,
197,userborn,nikstur/userborn,Declaratively bear (manage) Linux users and groups.,nixos-modules,https://github.com/nikstur/userborn,https://github.com/nikstur/userborn,MIT,2024-07-22 19:33:25,2025-09-16 19:47:07,2025-09-16 19:47:06,77.0,27.0,3.0,4.0,24.0,4.0,7.0,105,7.0,12,True,3,,2025-03-16 16:15:43,0.4.0,,,4.0,,,,,,
198,nixcasks,jcszymansk/nixcasks,"Homebrew casks, nixified.",overlays,https://github.com/jcszymansk/nixcasks,https://github.com/jcszymansk/nixcasks,MIT,2023-07-24 21:17:33,2025-10-26 21:39:32,2025-10-26 21:39:31,911.0,99.0,4.0,3.0,6.0,4.0,6.0,90,5.0,12,True,3,,,,,,,,,,,,
199,amis,NixOS/amis,Home for NixOS AMI automation.,devops,https://github.com/NixOS/amis,https://github.com/NixOS/amis,MIT,2023-11-24 12:54:23,2025-10-24 22:43:08,2025-09-29 05:48:24,288.0,11.0,16.0,3.0,282.0,13.0,28.0,68,13.0,12,True,2,,,,,,,,,,,,
200,not-os,cleverca22/not-os,"An operating system generator, based on NixOS, that outputs a small read-only squashfs for a runit-based operating..",distributions,https://github.com/cleverca22/not-os,https://github.com/cleverca22/not-os,MIT,2016-06-03 05:40:23,2025-01-12 16:03:40,2025-01-12 16:03:38,98.0,,39.0,36.0,24.0,6.0,4.0,931,5.0,11,True,3,,,,,,,,,,,,
201,deadnix,astro/deadnix,Scan Nix files for dead code.,command-line-tools,https://github.com/astro/deadnix,https://github.com/astro/deadnix,GPL-3.0,2021-12-05 23:06:43,2025-10-26 01:27:14,2025-09-04 17:39:50,291.0,1.0,21.0,2.0,80.0,3.0,23.0,661,18.0,11,True,2,,,,,,,7.0,7.0,,,,
202,nixos-in-production,Gabriella439/nixos-in-production,"Source files for the book NixOS in Production, a practical guide for using NixOS in professional environments.",learning,https://github.com/Gabriella439/nixos-in-production,https://github.com/Gabriella439/nixos-in-production,,2022-09-09 01:41:56,2024-10-06 12:50:20,2024-10-06 12:49:49,127.0,,26.0,29.0,5.0,6.0,21.0,618,6.0,11,True,3,,2024-09-23 06:00:28,0.10,,,10.0,,,,,,
203,nix-colors,Misterio77/nix-colors,Modules and schemes to make theming with Nix awesome.,theming,https://github.com/Misterio77/nix-colors,https://github.com/Misterio77/nix-colors,GPL-3.0,2021-10-01 19:43:28,2024-05-23 18:39:21,2024-02-13 11:51:18,97.0,,43.0,7.0,28.0,16.0,19.0,568,12.0,11,False,3,,2023-04-21 20:19:53,4.0.0,,,4.0,,,,,,
204,nixos-vscode-server,nix-community/nixos-vscode-server,Visual Studio Code Server support in NixOS.,development,https://github.com/nix-community/nixos-vscode-server,https://github.com/nix-community/nixos-vscode-server,MIT,2020-04-02 12:49:32,2025-07-26 14:57:06,2025-07-26 14:57:06,91.0,,80.0,9.0,39.0,12.0,46.0,520,19.0,11,True,3,,,,,,,,,,,,
205,Standard,divnix/std,"An opinionated Nix Flakes framework to keep Nix code in large projects organized, accompanied by a friendly CLI/TUI..",devops,https://github.com/divnix/std,https://github.com/divnix/std,,2021-11-14 10:56:16,2025-08-25 16:03:19,2025-08-17 20:42:10,813.0,1.0,49.0,13.0,247.0,40.0,129.0,465,43.0,11,True,2,,,,,,,,,,,,
206,ragenix,yaxitech/ragenix,age-encrypted secrets for NixOS; drop-in replacement for agenix.,security,https://github.com/yaxitech/ragenix,https://github.com/yaxitech/ragenix,Apache-2.0,2021-05-07 22:41:54,2025-08-31 02:32:16,2025-04-17 13:51:54,167.0,,20.0,6.0,144.0,12.0,6.0,392,13.0,11,True,2,,,,,,,,,,,,
207,terraform-nixos,nix-community/terraform-nixos,A set of Terraform modules designed to deploy NixOS.,deployment-tools,https://github.com/nix-community/terraform-nixos,https://github.com/nix-community/terraform-nixos,Apache-2.0,2018-12-05 17:07:26,2024-08-04 10:19:37,2021-08-26 20:33:37,76.0,,60.0,36.0,54.0,23.0,10.0,387,16.0,11,False,3,,,,,,,,,,,,
208,haumea,nix-community/haumea,"Filesystem-based module system for the Nix language similar to traditional programming languages, with support for..",development,https://github.com/nix-community/haumea,https://github.com/nix-community/haumea,MPL-2.0,2023-04-01 00:50:18,2024-06-05 05:11:22,2024-02-19 20:38:18,93.0,,9.0,5.0,38.0,10.0,4.0,366,4.0,11,False,3,,2023-05-26 20:34:06,0.2.2,,,5.0,,,,,,
209,trustix,nix-community/trustix,Distributed trust and reproducibility tracking for binary caches.,security,https://github.com/nix-community/trustix,https://github.com/nix-community/trustix,,2020-12-03 15:30:40,2024-08-15 14:03:26,2024-08-14 20:49:19,1208.0,,21.0,7.0,353.0,36.0,24.0,348,17.0,11,False,2,,,,,,,,,,,,
210,any-nix-shell,haslersn/any-nix-shell,fish and zsh support for the nix run and nix-shell environments of the Nix package manager.,development,https://github.com/haslersn/any-nix-shell,https://github.com/haslersn/any-nix-shell,MIT,2018-09-10 16:36:27,2024-09-01 22:49:17,2024-09-01 22:49:17,51.0,,15.0,8.0,18.0,5.0,16.0,321,10.0,11,False,3,,2024-07-23 16:03:52,2.0.1,,,7.0,,,,,,
211,NixVirt,AshleyYakeley/NixVirt,LibVirt domain management for Nix.,virtualisation,https://github.com/AshleyYakeley/NixVirt,https://github.com/AshleyYakeley/NixVirt,MIT,2024-01-27 19:54:59,2025-05-25 04:01:24,2025-05-25 02:26:43,407.0,,37.0,2.0,52.0,6.0,36.0,286,19.0,11,True,3,,,,,,,,,,,,
212,gitignore.nix,hercules-ci/gitignore.nix,The most feature-complete and easy-to-use `.gitignore` integration.,development,https://github.com/hercules-ci/gitignore.nix,https://github.com/hercules-ci/gitignore.nix,Unlicense,2019-05-12 11:51:55,2025-08-14 18:44:59,2024-02-28 02:28:52,101.0,,21.0,9.0,35.0,24.0,11.0,273,12.0,11,False,3,,,,,,,,,,,,
213,schizofox,schizofox/schizofox,Hardened Firefox flake for the delusional and the schizophrenics.,security,https://github.com/schizofox/schizofox,https://github.com/schizofox/schizofox,,2023-08-23 18:59:04,2025-08-27 15:22:07,2025-08-27 15:22:07,293.0,6.0,18.0,4.0,97.0,14.0,25.0,261,16.0,11,True,2,,2023-10-06 14:20:19,0.0.1,,,1.0,,,,,,
214,extra-container,erikarvstedt/extra-container,Run declarative NixOS containers from the command line.,virtualisation,https://github.com/erikarvstedt/extra-container,https://github.com/erikarvstedt/extra-container,MIT,2018-07-14 13:32:14,2025-07-09 13:55:54,2025-07-09 13:50:38,153.0,,18.0,10.0,7.0,2.0,28.0,256,3.0,11,True,3,,,,,,,,,,,,
215,nixos-docker-sd-image-builder,Robertof/nixos-docker-sd-image-builder,Build custom SD images of NixOS for your Raspberry Pi (or any other supported AArch64 device) in 5-20 minutes.,installation-media,https://github.com/Robertof/nixos-docker-sd-image-builder,https://github.com/Robertof/nixos-docker-sd-image-builder,MIT,2020-05-04 23:32:19,2024-05-27 17:16:26,2024-05-27 17:16:26,73.0,,34.0,7.0,7.0,5.0,22.0,227,7.0,11,False,3,,,,,,,,,,,,
216,nixpkgs-python,cachix/nixpkgs-python,"All Python versions, kept up-to-date on hourly basis using Nix.",programming-languages,https://github.com/cachix/nixpkgs-python,https://github.com/cachix/nixpkgs-python,Apache-2.0,2023-05-29 13:12:25,2025-10-24 23:53:04,2025-10-24 12:08:20,245.0,16.0,18.0,2.0,76.0,9.0,14.0,215,15.0,11,True,3,-1.0,,,,,,,,['python'],,,
217,nix-your-shell,MercuryTechnologies/nix-your-shell,A nix and nix-shell wrapper for shells other than bash.,command-line-tools,https://github.com/MercuryTechnologies/nix-your-shell,https://github.com/MercuryTechnologies/nix-your-shell,MIT,2023-02-09 22:45:07,2025-08-22 21:43:22,2025-08-22 21:43:22,78.0,1.0,18.0,11.0,70.0,6.0,13.0,210,10.0,11,True,2,,2024-09-24 17:23:11,1.4.6,246.0,7.0,15.0,1.0,1.0,,,,
218,nix-search-cli,peterldowns/nix-search-cli,CLI for searching packages on search.nixos.org.,discovery,https://github.com/peterldowns/nix-search-cli,https://github.com/peterldowns/nix-search-cli,MIT,2023-02-19 19:14:30,2025-07-14 19:44:45,2025-07-14 19:42:35,81.0,,8.0,2.0,7.0,1.0,15.0,198,2.0,11,True,3,,2025-07-14 19:43:00,0.3+commit.8ecb614,795.0,24.0,33.0,6.0,6.0,,,,
219,nixsa,noamraph/nixsa,A Nix Standalone Environment.,installation-media,https://github.com/noamraph/nixsa,https://github.com/noamraph/nixsa,LGPL-2.1,2024-08-05 19:57:39,2025-09-01 15:49:23,2025-04-01 21:30:56,69.0,,4.0,2.0,19.0,3.0,9.0,183,4.0,11,True,3,,2024-11-17 20:35:16,0.2.0,417.0,29.0,6.0,,,,,,
220,nix-shell,loophp/nix-shell,Nix shells for PHP development.,programming-languages,https://github.com/loophp/nix-shell,https://github.com/loophp/nix-shell,MIT,2021-06-20 06:59:35,2025-09-04 18:07:50,2025-09-04 18:07:47,650.0,4.0,14.0,4.0,274.0,3.0,12.0,172,9.0,11,True,3,,,,,,,,,['php'],,,
221,nixpkgs-lint,nix-community/nixpkgs-lint,A fast semantic linter for Nix using tree-sitter.,command-line-tools,https://github.com/nix-community/nixpkgs-lint,https://github.com/nix-community/nixpkgs-lint,MIT,2022-03-31 03:02:17,2025-08-27 21:44:09,2025-08-27 21:44:02,129.0,2.0,8.0,4.0,26.0,4.0,5.0,160,5.0,11,True,2,,2023-06-02 21:31:33,0.3.0,,,3.0,,,,,,
222,rippkgs,replit/rippkgs,A CLI for indexing and searching packages in Nix expressions.,discovery,https://github.com/replit/rippkgs,https://github.com/replit/rippkgs,MIT,2024-02-08 16:38:09,2025-05-17 04:12:44,2025-05-17 04:12:43,53.0,,5.0,20.0,35.0,6.0,4.0,158,4.0,11,True,3,,2025-02-11 22:56:58,1.2.0,,,5.0,,,,,,
223,zmk-nix,lilyinstarlight/zmk-nix,Build system and configuration files for generating and building ZMK firmware with Nix.,development,https://github.com/lilyinstarlight/zmk-nix,https://github.com/lilyinstarlight/zmk-nix,MIT,2023-11-27 21:50:04,2025-10-26 00:40:05,2025-10-26 00:39:26,301.0,22.0,24.0,2.0,222.0,5.0,5.0,113,9.0,11,True,3,,,,,,,,,,,,
224,zon2nix,nix-community/zon2nix,Convert the dependencies in `build.zig.zon` to a Nix expression.,programming-languages,https://github.com/nix-community/zon2nix,https://github.com/nix-community/zon2nix,MPL-2.0,2023-08-08 19:18:56,2025-09-10 12:09:09,2025-03-20 22:10:34,80.0,,16.0,3.0,40.0,8.0,7.0,102,7.0,11,True,3,,2023-09-03 23:31:23,0.1.2,,,3.0,,,,,,
225,opam2nix,timbertson/opam2nix,Generate Nix expressions from opam packages.,programming-languages,https://github.com/timbertson/opam2nix,https://github.com/timbertson/opam2nix,MIT,2015-08-06 10:42:08,2025-01-29 21:52:55,2025-01-29 05:58:48,370.0,,26.0,10.0,29.0,17.0,45.0,92,11.0,11,True,3,,,,,,,,,,,,
226,nixpkgs-firefox-darwin,bandithedoge/nixpkgs-firefox-darwin,Automatically updated Firefox binary packages for macOS.,overlays,https://github.com/bandithedoge/nixpkgs-firefox-darwin,https://github.com/bandithedoge/nixpkgs-firefox-darwin,MIT,2021-12-12 17:28:12,2025-10-26 01:07:17,2025-10-26 01:07:17,945.0,87.0,8.0,2.0,11.0,3.0,6.0,72,10.0,11,True,3,,,,,,,,,,,,
227,nixpkgs-xr,nix-community/nixpkgs-xr,Automated packages for XR/AR/VR tools and apps for NixOS.,overlays,https://github.com/nix-community/nixpkgs-xr,https://github.com/nix-community/nixpkgs-xr,,2024-01-01 14:10:58,2025-10-26 18:29:03,2025-10-26 18:29:01,1321.0,199.0,10.0,2.0,515.0,6.0,12.0,69,10.0,11,True,3,,,,,,,,,,,,
228,hydra-cli,nlewo/hydra-cli,A client for the Hydra Nix CI.,command-line-tools,https://github.com/nlewo/hydra-cli,https://github.com/nlewo/hydra-cli,MIT,2019-06-18 12:48:30,2024-07-22 08:10:00,2023-12-19 22:16:49,208.0,,13.0,4.0,61.0,5.0,6.0,48,5.0,11,False,2,,2020-11-15 08:04:35,0.3.0,,,2.0,,,,,,
229,zellij-nix,a-kenji/zellij-nix,Zellij Nix Environment.,development,https://github.com/a-kenji/zellij-nix,https://github.com/a-kenji/zellij-nix,MIT,2021-02-23 21:35:40,2025-10-26 07:42:03,2025-10-26 07:41:28,1592.0,58.0,3.0,1.0,757.0,3.0,1.0,48,5.0,11,True,3,,,,,,,,,,,,
230,flake-edit,a-kenji/flake-edit,Edit your flake inputs with ease.,development,https://github.com/a-kenji/flake-edit,https://github.com/a-kenji/flake-edit,MIT,2023-10-06 21:58:29,2025-10-20 11:32:46,2025-10-20 11:32:39,886.0,55.0,,1.0,313.0,24.0,13.0,44,2.0,11,True,3,,2024-11-04 14:25:55,0.0.2,,,2.0,,,,,,
231,manix,mlvzk/manix,"Find configuration options and function documentation for Nixpkgs, NixOS, and Home Manager.",command-line-tools,https://github.com/mlvzk/manix,https://github.com/mlvzk/manix,MPL-2.0,2020-08-15 17:14:06,2024-01-28 15:07:18,2021-04-19 23:47:08,82.0,,14.0,14.0,17.0,10.0,7.0,412,3.0,10,False,3,,2021-04-19 23:51:39,0.6.3,123.0,2.0,4.0,,,,,,
232,static-haskell-nix,nh2/static-haskell-nix,Easily build most Haskell programs into fully static Linux executables.,programming-languages,https://github.com/nh2/static-haskell-nix,https://github.com/nh2/static-haskell-nix,,2018-06-13 01:06:17,2024-06-30 13:23:08,2024-06-15 22:58:11,257.0,,35.0,16.0,57.0,19.0,53.0,399,12.0,10,False,3,,2024-06-15 23:02:38,2024-06-16,64.0,0.0,5.0,,,['haskell'],,,
233,Nix Package Versions,lazamar/nix-package-versions,Find all versions of a package that were available in a channel and the revision you can download it from.,discovery,https://github.com/lazamar/nix-package-versions,https://github.com/lazamar/nix-package-versions,,2020-02-11 23:23:47,2025-06-19 13:42:50,2025-06-19 13:42:45,318.0,,30.0,6.0,19.0,9.0,29.0,387,12.0,10,True,3,,,,,,,,,,,,
234,high-quality-nix-content,gytis-ivaskevicius/high-quality-nix-content,GitHub repository containing highest quality Nix/NixOS content.,theming,https://github.com/gytis-ivaskevicius/high-quality-nix-content,https://github.com/gytis-ivaskevicius/high-quality-nix-content,MIT,2021-05-28 18:31:02,2025-06-25 11:51:02,2025-06-25 11:51:02,86.0,,24.0,13.0,25.0,2.0,3.0,348,18.0,10,True,3,,,,,,,,,,,,
235,nix-melt,nix-community/nix-melt,A ranger-like flake.,command-line-tools,https://github.com/nix-community/nix-melt,https://github.com/nix-community/nix-melt,MPL-2.0,2023-04-25 22:20:20,2024-12-13 23:10:06,2024-09-16 15:27:16,347.0,,2.0,2.0,221.0,2.0,3.0,282,3.0,10,False,3,,2024-09-16 15:29:34,0.1.3,310.0,10.0,4.0,1.0,1.0,,,,
236,Nixinate,MatthewCroughan/nixinate,A Nix flake library to provide app outputs for managing existing NixOS hosts over SSH.,deployment-tools,https://github.com/MatthewCroughan/nixinate,https://github.com/MatthewCroughan/nixinate,MIT,2022-01-03 09:39:11,2025-03-23 13:46:49,2025-03-23 13:46:47,59.0,,34.0,11.0,28.0,15.0,15.0,278,7.0,10,True,3,,,,,,,,,,,,
237,appvm,jollheef/appvm,Nix-based app VMs.,virtualisation,https://github.com/jollheef/appvm,https://github.com/jollheef/appvm,GPL-3.0,2018-06-30 22:15:18,2025-04-21 17:49:19,2025-04-21 17:49:02,234.0,,19.0,12.0,12.0,8.0,11.0,268,5.0,10,True,3,,2025-04-21 17:52:13,0.6,,,4.0,,,,,,
238,base16.nix,SenchoPens/base16.nix,"Flake way to theme programs in base16 colorschemes, mustache template support included.",theming,https://github.com/SenchoPens/base16.nix,https://github.com/SenchoPens/base16.nix,MIT,2021-05-06 15:19:06,2025-08-21 23:34:00,2025-08-21 23:34:00,69.0,2.0,11.0,1.0,9.0,2.0,14.0,257,8.0,10,True,3,,2024-02-27 10:09:57,2.2.1,,,7.0,,,,,,
239,nixus,infinisil/nixus,Experimental deployment tool supporting multi-host abstractions.,deployment-tools,https://github.com/infinisil/nixus,https://github.com/infinisil/nixus,GPL-3.0,2019-12-22 04:35:22,2024-12-19 22:06:35,2024-12-19 22:06:35,157.0,,15.0,11.0,29.0,10.0,23.0,224,10.0,10,True,3,,,,,,,,,,,,
240,lf-doc,lf-/nix-doc,An interactive Nix documentation tool providing CLI for function search.,discovery,https://github.com/lf-/nix-doc,https://github.com/lf-/nix-doc,,2020-07-16 08:49:20,2024-05-15 22:15:48,2024-05-15 22:15:48,80.0,,6.0,5.0,4.0,8.0,17.0,222,3.0,10,False,3,,2021-07-09 03:37:24,0.5.1,,,2.0,5.0,5.0,,,,
241,nix-appimage,ralismark/nix-appimage,Convert a nixos derivation into a self-contained binary.,command-line-tools,https://github.com/ralismark/nix-appimage,https://github.com/ralismark/nix-appimage,MIT,2022-08-07 06:20:32,2025-09-15 07:21:53,2025-09-15 07:21:53,42.0,2.0,22.0,5.0,7.0,5.0,15.0,221,4.0,10,True,3,,,,,,,,,,,,
242,nixos-avf,nix-community/nixos-avf,NixOS for Android Terminal (Android Virtualization Framework).,distributions,https://github.com/nix-community/nixos-avf,https://github.com/nix-community/nixos-avf,GPL-3.0,2025-03-24 22:04:05,2025-09-16 18:48:27,2025-09-16 18:48:26,118.0,12.0,8.0,6.0,5.0,5.0,8.0,185,3.0,10,True,3,,2025-03-26 16:56:00,nixos-25.05,12.0,1.0,3.0,,,['android'],,,
243,nixcloud-webservices,nixcloud/nixcloud-webservices,"This nixpkgs extension, called nixcloud-webservices, focuses on ease of deployment of web-related technologies.",deployment-tools,https://github.com/nixcloud/nixcloud-webservices,https://github.com/nixcloud/nixcloud-webservices,,2017-11-17 23:06:20,2024-10-18 11:02:38,2024-10-18 11:02:38,467.0,,25.0,12.0,29.0,18.0,40.0,184,14.0,10,True,3,,,,,,,,,,,,
244,dix,bloxx12/dix,A blazingly fast tool to diff Nix related things.,command-line-tools,https://github.com/faukah/dix,https://github.com/faukah/dix,GPL-3.0,2025-05-04 12:13:11,2025-09-05 16:54:21,2025-09-05 14:06:03,165.0,6.0,2.0,2.0,32.0,1.0,7.0,180,8.0,10,True,3,,2025-08-31 13:00:15,1.3.0,,,9.0,2.0,2.0,,faukah/dix,,
245,buildkit-nix,reproducible-containers/buildkit-nix,Nix derivations as Dockerfiles.,virtualisation,https://github.com/reproducible-containers/buildkit-nix,https://github.com/reproducible-containers/buildkit-nix,Apache-2.0,2021-12-03 12:53:28,2023-09-13 10:51:18,2023-09-13 10:51:18,33.0,,17.0,10.0,15.0,6.0,3.0,178,2.0,10,False,3,,2023-09-13 09:41:32,0.1.1,,,4.0,,,,,,
246,nixiosk,matthewbauer/nixiosk,Declarative Kiosk systems built with NixOS.,nixos-modules,https://github.com/matthewbauer/nixiosk,https://github.com/matthewbauer/nixiosk,MIT,2020-02-22 21:05:04,2023-03-19 01:28:23,2023-03-19 01:28:04,289.0,,13.0,6.0,10.0,13.0,6.0,168,6.0,10,False,3,,,,,,,,,,,,
247,nix-search-tv,3timeslazy/nix-search-tv,"CLI fuzzy finder for packages and options from Nixpkgs, Home Manager, and more.",discovery,https://github.com/3timeslazy/nix-search-tv,https://github.com/3timeslazy/nix-search-tv,GPL-3.0,2025-01-29 09:30:56,2025-10-12 22:12:36,2025-10-12 22:11:24,136.0,25.0,3.0,1.0,2.0,2.0,10.0,144,2.0,10,True,3,,2025-10-12 22:12:36,2.2.3,,,15.0,,,,,,
248,ruby-nix,inscapist/ruby-nix,Generates reproducible ruby/bundler app environment with Nix.,programming-languages,https://github.com/inscapist/ruby-nix,https://github.com/inscapist/ruby-nix,MIT,2022-12-20 08:37:50,2025-08-13 04:24:12,2025-08-13 04:24:12,145.0,2.0,17.0,6.0,45.0,4.0,17.0,143,6.0,10,True,3,,2024-09-07 03:26:11,0.2.2,,,8.0,,,['ruby'],,,
249,npmlock2nix,nix-community/npmlock2nix,"Generate Nix expressions from a `package-lock.json` (in-memory), primarily for web projects.",programming-languages,https://github.com/nix-community/npmlock2nix,https://github.com/nix-community/npmlock2nix,Apache-2.0,2020-07-22 14:21:40,2025-09-17 09:20:11,2025-09-17 09:20:11,289.0,1.0,38.0,3.0,137.0,37.0,20.0,140,16.0,10,True,3,,,,,,,,,,,,
250,gradle2nix,tadfisher/gradle2nix,Generate Nix expressions which build Gradle-based projects.,programming-languages,https://github.com/tadfisher/gradle2nix,https://github.com/tadfisher/gradle2nix,MIT,2019-04-01 16:26:33,2025-08-22 22:43:27,2023-09-30 19:19:09,51.0,,56.0,5.0,35.0,37.0,18.0,138,5.0,10,False,3,,,,,,,,,,,,
251,namaka,nix-community/namaka,Snapshot testing for Nix based on haumea.,development,https://github.com/nix-community/namaka,https://github.com/nix-community/namaka,MPL-2.0,2023-04-09 02:24:14,2025-02-12 16:53:55,2024-11-17 00:47:29,359.0,,4.0,3.0,202.0,3.0,1.0,131,3.0,10,True,3,,2024-11-17 00:47:49,0.2.1,,,4.0,1.0,1.0,,,,
252,elm2nix,cachix/elm2nix,Convert `elm.json` into Nix expressions.,programming-languages,https://github.com/cachix/elm2nix,https://github.com/cachix/elm2nix,BSD-3-Clause,2017-12-14 14:31:58,2025-09-09 11:32:43,2025-09-09 11:32:43,135.0,17.0,17.0,7.0,34.0,4.0,17.0,119,14.0,10,True,3,,,,,,,,,,,,
253,composer2nix,svanderburg/composer2nix,Generate Nix expressions to build composer packages.,programming-languages,https://github.com/svanderburg/composer2nix,https://github.com/svanderburg/composer2nix,MIT,2017-07-07 20:51:06,2022-08-18 10:35:27,2022-03-01 23:41:50,64.0,,26.0,2.0,19.0,10.0,11.0,93,7.0,10,False,3,,2022-03-05 11:16:43,0.0.6,,,6.0,,,,,,
254,purs-nix,purs-nix/purs-nix,CLI and library combo designed for managing PureScript projects using Nix.,programming-languages,https://github.com/purs-nix/purs-nix,https://github.com/purs-nix/purs-nix,MIT,2021-02-25 04:10:19,2025-05-09 21:12:06,2025-05-08 17:27:14,589.0,,27.0,2.0,21.0,7.0,30.0,79,7.0,10,True,3,,,,,,,,,,,,
255,optnix,water-sucks/optnix,"A fast, terminal-based options searcher for Nix module systems.",discovery,https://github.com/water-sucks/optnix,https://github.com/water-sucks/optnix,GPL-3.0,2025-01-15 22:29:57,2025-10-03 15:04:55,2025-10-03 15:04:03,105.0,42.0,2.0,3.0,24.0,2.0,5.0,77,2.0,10,True,3,,2025-08-11 08:55:35,0.3.0,,,5.0,1.0,1.0,,,,
256,hyprland-protocols,hyprwm/hyprland-protocols,Wayland protocol extensions for Hyprland.,nixos-modules,https://github.com/hyprwm/hyprland-protocols,https://github.com/hyprwm/hyprland-protocols,BSD-3-Clause,2022-11-25 19:55:10,2025-10-04 20:37:48,2025-10-04 20:37:23,45.0,3.0,10.0,2.0,19.0,,1.0,75,8.0,10,True,3,,2025-10-04 20:37:48,0.7.0,,,10.0,,,,,,
