,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,updated_github_id,dependent_project_count,github_dependent_project_count,labels,trending,gitlab_id,gitlab_url
263,nixpkgs-track,uncenter/nixpkgs-track,Track where Nixpkgs pull requests have reached.,command-line-tools,https://github.com/uncenter/nixpkgs-track,https://github.com/uncenter/nixpkgs-track,MIT,2024-08-02 21:26:39,2026-01-10 17:06:49,2026-01-10 17:06:47,60.0,14.0,2.0,1.0,11.0,1.0,5.0,45,10,True,3,2026-01-09 16:36:32,nixpkgs-track_lib-v0.5.0,,,4.0,5.0,,1.0,1.0,,,,
264,lila,JulienMalka/lila,"Nix hash collection software, to aggregate build reports from several builders.",devops,https://github.com/nix-community/lila,https://github.com/nix-community/lila,EUPL-1.2,2024-02-24 03:48:03,2026-01-25 11:30:13,2026-01-25 11:30:13,186.0,63.0,2.0,3.0,64.0,29.0,23.0,43,10,True,3,,,,,,2.0,nix-community/lila,,,,,,
265,nix-uri,a-kenji/nix-uri,Parse the nix-uri scheme.,command-line-tools,https://github.com/a-kenji/nix-uri,https://github.com/a-kenji/nix-uri,MIT,2022-05-25 10:02:32,2026-01-27 08:42:53,2026-01-27 08:42:46,470.0,47.0,1.0,2.0,235.0,19.0,15.0,4,10,True,3,,,,,,3.0,,3.0,3.0,,,,
266,Snowfall Lib,snowfallorg/lib,A library that makes it easy to manage your Nix flake by imposing an opinionated file structure.,development,https://github.com/snowfallorg/lib,https://github.com/snowfallorg/lib,,2022-09-08 00:07:34,2025-12-10 10:13:46,2025-12-10 10:13:46,95.0,2.0,67.0,12.0,37.0,38.0,109.0,601,9,True,3,,,,,,13.0,,,,,,,
267,nix-du,symphorien/nix-du,Visualise which gc-roots to delete to free some space in your Nix store.,command-line-tools,https://github.com/symphorien/nix-du,https://github.com/symphorien/nix-du,LGPL-3.0,2018-01-15 21:42:01,2025-05-12 18:23:16,2025-05-12 12:00:00,300.0,,6.0,4.0,11.0,3.0,15.0,459,9,True,3,,,,,,3.0,,,,,,,
268,nix-diff,Gabriella439/nix-diff,A tool to explain why two Nix derivations differ.,command-line-tools,https://github.com/Gabriella439/nix-diff,https://github.com/Gabriella439/nix-diff,BSD-3-Clause,2017-09-30 19:02:53,2025-09-06 14:19:15,2025-09-06 14:19:15,121.0,,20.0,8.0,73.0,12.0,20.0,453,9,True,3,,,,,,17.0,,,,,,,
269,bento,rapenne-s/bento,A KISS deployment tool to keep your NixOS fleet (servers & workstations) up to date.,deployment-tools,https://github.com/rapenne-s/bento,https://github.com/rapenne-s/bento,MIT,2022-09-08 20:16:38,2024-12-29 17:24:56,2024-12-29 17:24:56,157.0,,10.0,7.0,9.0,3.0,2.0,310,9,False,3,,,,,,6.0,,,,,,,
270,nix-systems,nix-systems/nix-systems,Externally extensible flake systems.,development,https://github.com/nix-systems/nix-systems,https://github.com/nix-systems/nix-systems,MIT,2023-04-07 09:55:25,2025-08-11 08:11:13,2025-08-11 08:11:13,26.0,,5.0,12.0,5.0,4.0,6.0,263,9,True,3,,,,,,5.0,,,,,,,
271,nix-filter,numtide/nix-filter,A small self-contained source filtering lib.,development,https://github.com/numtide/nix-filter,https://github.com/numtide/nix-filter,MIT,2021-04-23 12:16:46,2025-09-14 20:36:21,2025-09-14 20:36:21,59.0,,15.0,11.0,35.0,7.0,8.0,233,9,True,3,,,,,,12.0,,,,,,,
272,nix-netboot-serve,DeterminateSystems/nix-netboot-serve,Make any NixOS system netbootable with 10s cycle times.,installation-media,https://github.com/DeterminateSystems/nix-netboot-serve,https://github.com/DeterminateSystems/nix-netboot-serve,MIT,2021-09-01 17:05:39,2025-04-09 16:01:57,2025-04-09 16:01:55,95.0,,13.0,4.0,24.0,5.0,2.0,229,9,True,3,2021-09-03 19:17:30,0.1.0,,,1.0,5.0,,,,,,,
