,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id
189,patsh,nix-community/patsh,A command-line tool for patching shell scripts inspired by resholve.,command-line-tools,https://github.com/nix-community/patsh,https://github.com/nix-community/patsh,MPL-2.0,2022-11-26 03:13:01,2024-05-16 11:25:23,2024-02-19 21:21:25,262,,1.0,3,135.0,2.0,,50,2.0,11,False,3,2023-08-18 14:59:05,0.2.1,6.0,19.0,19.0,,,,,
190,nix-security-tracker,Nix-Security-WG/nix-security-tracker,Web service for managing information on vulnerabilities in software distributed through Nixpkgs.,security,https://github.com/Nix-Security-WG/nix-security-tracker,https://github.com/Nix-Security-WG/nix-security-tracker,,2023-08-31 16:49:45,2025-06-18 20:14:05,2025-06-18 20:14:04,480,78.0,10.0,9,338.0,102.0,97.0,50,15.0,11,True,3,,,,,,,,,,
191,genealogos,tweag/genealogos,A Nix sbom generator.,security,https://github.com/tweag/genealogos,https://github.com/tweag/genealogos,MIT,2023-03-10 13:44:54,2025-04-04 20:47:07,2025-02-06 16:37:21,223,,1.0,12,48.0,5.0,18.0,48,9.0,11,True,3,2024-06-13 12:15:00,1.0.0,4.0,,,75.0,4.0,,,
192,hydra-cli,nlewo/hydra-cli,A client for the Hydra Nix CI.,command-line-tools,https://github.com/nlewo/hydra-cli,https://github.com/nlewo/hydra-cli,MIT,2019-06-18 12:48:30,2024-07-22 08:10:00,2023-12-19 22:16:49,208,,13.0,5,61.0,5.0,6.0,46,5.0,11,False,3,2020-11-15 08:04:35,0.3.0,2.0,,,,,,,
193,nixos-in-production,Gabriella439/nixos-in-production,"Source files for the book NixOS in Production, a practical guide for using NixOS in professional environments.",learning,https://github.com/Gabriella439/nixos-in-production,https://github.com/Gabriella439/nixos-in-production,,2022-09-09 01:41:56,2024-10-06 12:50:20,2024-10-06 12:49:49,127,,25.0,31,5.0,7.0,20.0,605,6.0,10,True,3,2024-09-23 06:00:28,0.10,10.0,,,,,,,
194,static-haskell-nix,nh2/static-haskell-nix,Easily build most Haskell programs into fully static Linux executables.,programming-languages,https://github.com/nh2/static-haskell-nix,https://github.com/nh2/static-haskell-nix,,2018-06-13 01:06:17,2024-06-30 13:23:08,2024-06-15 22:58:11,257,,35.0,17,57.0,19.0,53.0,396,12.0,10,True,3,2024-06-15 23:02:38,2024-06-16,5.0,,,63.0,0.0,['haskell'],,
195,manix,mlvzk/manix,"Find configuration options and function documentation for Nixpkgs, NixOS, and Home Manager.",command-line-tools,https://github.com/mlvzk/manix,https://github.com/mlvzk/manix,MPL-2.0,2020-08-15 17:14:06,2024-01-28 15:07:18,2021-04-19 23:47:08,82,,14.0,15,17.0,10.0,7.0,395,3.0,10,False,3,2021-04-19 23:51:39,0.6.3,4.0,,,123.0,2.0,,,
196,ragenix,yaxitech/ragenix,age-encrypted secrets for NixOS; drop-in replacement for agenix.,security,https://github.com/yaxitech/ragenix,https://github.com/yaxitech/ragenix,Apache-2.0,2021-05-07 22:41:54,2025-06-22 02:40:32,2025-04-17 13:51:54,167,1.0,19.0,9,143.0,11.0,6.0,359,13.0,10,True,3,,,,,,,,,,
197,trustix,nix-community/trustix,Distributed trust and reproducibility tracking for binary caches.,security,https://github.com/nix-community/trustix,https://github.com/nix-community/trustix,,2020-12-03 15:30:40,2024-08-15 14:03:26,2024-08-14 20:49:19,1208,,20.0,7,353.0,36.0,24.0,334,17.0,10,True,3,,,,,,,,,,
198,high-quality-nix-content,gytis-ivaskevicius/high-quality-nix-content,GitHub repository containing highest quality Nix/NixOS content.,learning,https://github.com/gytis-ivaskevicius/high-quality-nix-content,https://github.com/gytis-ivaskevicius/high-quality-nix-content,MIT,2021-05-28 18:31:02,2025-02-03 08:10:47,2025-02-03 08:10:47,84,,22.0,13,24.0,,3.0,327,18.0,10,True,3,,,,,,,,,,
