,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2025-07-28 01:20:11,2025-07-28 01:18:46,836125,42093.0,16072.0,272,379150.0,10451.0,38049.0,21235,13468.0,37,True,1,,,,,,,,,,
1,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2025-07-27 20:38:14,2025-07-27 20:38:14,4039,415.0,403.0,26,1018.0,377.0,642.0,5424,226.0,29,True,1,2025-07-18 03:27:50,1.8,32.0,290.0,290.0,,,,,
2,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2025-07-24 09:30:43,2025-07-14 17:08:51,1684,27.0,255.0,42,1892.0,364.0,399.0,10154,88.0,28,True,1,2025-07-10 19:55:09,0.15.0,100.0,,,1226557.0,58407.0,,,
3,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2025-07-27 12:04:47,2025-07-27 12:03:54,5140,508.0,2073.0,51,4787.0,697.0,2041.0,8381,1347.0,27,True,1,,,,,,,,,,
4,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/tweag/nickel,https://github.com/tweag/nickel,MIT,2019-01-08 21:43:11,2025-07-27 00:17:25,2025-07-22 15:15:37,4336,40.0,101.0,35,1556.0,131.0,525.0,2645,88.0,27,True,1,2025-06-25 09:08:52,1.12.2,25.0,20.0,20.0,146625.0,3665.0,,,
5,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2025-07-27 11:59:06,2025-07-27 11:57:55,339,15.0,83.0,12,135.0,17.0,94.0,601,33.0,25,True,1,2025-07-27 11:59:06,31.5.2,41.0,33613.0,33613.0,,,,,
6,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2025-07-27 00:03:53,2025-07-21 05:13:07,760,33.0,78.0,16,802.0,334.0,484.0,3022,31.0,24,True,1,2025-07-12 15:48:31,3.8.2,86.0,3.0,3.0,898354.0,29945.0,,,
7,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2025-07-28 00:52:00,2025-07-28 00:51:59,3899,135.0,239.0,18,1463.0,160.0,793.0,596,159.0,24,True,1,2025-06-25 08:28:33,nix-tools-0.3.8,15.0,,,14084.0,880.0,['haskell'],,
8,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-03-17 01:25:46,2025-02-15 01:40:35,875,,488.0,79,311.0,118.0,167.0,3936,97.0,23,True,1,2023-04-23 11:37:21,0.18.0,27.0,,,6951290.0,117818.0,,,
9,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,https://github.com/NixOS/nixos-hardware,https://github.com/NixOS/nixos-hardware,CC0-1.0,2016-02-08 10:50:14,2025-07-21 18:48:14,2025-07-21 18:32:21,2319,118.0,761.0,66,1194.0,137.0,219.0,2569,465.0,23,True,1,2021-05-29 08:24:13,mnt-reform2-nitrogen8m-v1,2.0,,,1488.0,29.0,,,
10,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2025-07-27 19:02:38,2025-07-27 18:58:29,611,27.0,148.0,28,413.0,37.0,193.0,2390,43.0,23,True,1,2025-02-14 23:50:00,2411.6.0,9.0,,,55982.0,1056.0,,,
11,NUR,nix-community/NUR,Nix User Repositories.,overlays,https://github.com/nix-community/NUR,https://github.com/nix-community/NUR,MIT,2018-02-28 18:49:50,2025-07-28 00:41:16,2025-07-28 00:37:48,33193,2029.0,404.0,18,815.0,28.0,93.0,1562,506.0,23,True,1,,,,,,,,,,
12,treefmt,numtide/treefmt,"One CLI to format the code tree, using formatters such as alejandra, prettier, etc.",command-line-tools,https://github.com/numtide/treefmt,https://github.com/numtide/treefmt,MIT,2020-12-18 10:30:54,2025-07-21 20:34:34,2025-07-21 19:21:26,731,51.0,46.0,13,401.0,49.0,149.0,790,21.0,23,True,1,2025-05-21 12:33:45,2.3.1,28.0,8.0,8.0,18739.0,374.0,,1.0,
13,nix-darwin,nix-darwin/nix-darwin,Manage macOS configuration just like on NixOS.,nixos-modules,https://github.com/nix-darwin/nix-darwin,https://github.com/nix-darwin/nix-darwin,MIT,2016-10-16 14:26:46,2025-06-30 21:06:49,2025-06-30 20:05:18,2227,89.0,529.0,33,819.0,265.0,465.0,4272,256.0,22,True,1,,,,,,,,,,
14,flox,flox/flox,"Manage and share development environments, package projects, and publish artifacts anywhere.",development,https://github.com/flox/flox,https://github.com/flox/flox,GPL-2.0,2022-12-22 15:52:43,2025-07-25 23:28:03,2025-07-25 17:05:16,3413,545.0,92.0,19,1967.0,308.0,1137.0,3331,46.0,22,True,1,2025-07-23 16:47:46,1.6.0,45.0,,,20.0,0.0,,,
15,NixVim,nix-community/nixvim,A NeoVim distribution built with Nix modules and Nixpkgs.,nixos-modules,https://github.com/nix-community/nixvim,https://github.com/nix-community/nixvim,MIT,2020-12-30 01:08:04,2025-07-27 22:46:39,2025-07-27 22:39:32,3587,380.0,342.0,13,2571.0,135.0,673.0,2307,245.0,22,True,1,,,,,,,,,,
16,Stylix,nix-community/stylix,System-wide colorscheming and typography for NixOS.,nixos-modules,https://github.com/nix-community/stylix,https://github.com/nix-community/stylix,MIT,2020-12-21 15:50:00,2025-07-27 19:05:15,2025-07-27 18:40:02,1138,372.0,240.0,13,1150.0,170.0,377.0,1783,150.0,22,True,1,,,,,,,,,,
17,nix-bitcoin,fort-nix/nix-bitcoin,Modules and packages for Bitcoin nodes with higher-layer protocols with an emphasis on security.,nixos-modules,https://github.com/fort-nix/nix-bitcoin,https://github.com/fort-nix/nix-bitcoin,MIT,2018-12-06 16:06:42,2025-07-23 12:39:11,2025-07-21 06:23:57,2148,51.0,113.0,20,583.0,33.0,174.0,565,31.0,22,True,1,2025-07-23 12:39:01,0.0.127,100.0,,,7941.0,144.0,,,
18,update-flake-lock,DeterminateSystems/update-flake-lock,This is a GitHub Action that updates the flake.lock file for your Nix flake whenever it is run.,github-actions,https://github.com/DeterminateSystems/update-flake-lock,https://github.com/DeterminateSystems/update-flake-lock,MIT,2021-10-18 18:39:57,2025-07-27 00:02:01,2025-07-14 22:46:32,256,42.0,36.0,5,152.0,22.0,28.0,319,27.0,22,True,2,2025-07-15 02:37:41,27,27.0,3002.0,3002.0,,,,-1.0,
