,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id
19,nix.dev,NixOS/nix.dev,Official documentation for getting things done with Nix.,learning,https://github.com/NixOS/nix.dev,https://github.com/NixOS/nix.dev,CC-BY-SA-4.0,2016-05-04 10:32:21,2025-07-27 03:19:29,2025-07-14 19:50:16,1902,36.0,289.0,37,848.0,120.0,186.0,3190,183.0,21,True,1,,,,,,,,,,
20,nixos-anywhere,nix-community/nixos-anywhere,Install NixOS everywhere via SSH.,installation-media,https://github.com/nix-community/nixos-anywhere,https://github.com/nix-community/nixos-anywhere,MIT,2022-11-09 12:36:38,2025-07-27 03:29:29,2025-07-25 13:51:10,808,85.0,161.0,16,375.0,59.0,138.0,2323,77.0,21,True,1,2025-06-05 06:49:06,1.11.0,14.0,,,,,,,
21,nixfmt,NixOS/nixfmt,"A formatter for Nix code, intended to easily apply a uniform style.",command-line-tools,https://github.com/NixOS/nixfmt,https://github.com/NixOS/nixfmt,MPL-2.0,2018-08-02 12:33:51,2025-07-14 11:01:33,2025-07-14 10:57:46,584,26.0,59.0,32,151.0,26.0,141.0,1216,30.0,21,True,1,2025-07-14 11:01:33,1.0.0,7.0,,,5883.0,81.0,,,
22,alejandra,kamadorueda/alejandra,An opinionated Nix code formatter optimized for speed and consistency.,command-line-tools,https://github.com/kamadorueda/alejandra,https://github.com/kamadorueda/alejandra,Unlicense,2022-01-26 22:52:25,2025-07-03 03:30:47,2025-07-03 03:30:46,564,1.0,47.0,8,311.0,58.0,97.0,1162,25.0,21,True,1,2025-04-10 22:34:11,4.0.0,19.0,10.0,10.0,25692.0,626.0,,,
23,nixos-apple-silicon,nix-community/nixos-apple-silicon,Resources to install NixOS bare metal on Apple Silicon Macs.,installation-media,https://github.com/nix-community/nixos-apple-silicon,https://github.com/nix-community/nixos-apple-silicon,MIT,2021-12-14 00:25:40,2025-07-22 13:43:24,2025-07-22 09:18:57,596,40.0,119.0,35,129.0,41.0,156.0,1159,37.0,21,True,1,2025-05-31 04:25:56,release-2025-05-30,83.0,,,3334.0,83.0,,,
24,magic-nix-cache-action,DeterminateSystems/magic-nix-cache-action,"Save 30-50%+ of CI time without any effort or cost. Use Magic Nix Cache, a totally free and zero-configuration binary..",github-actions,https://github.com/DeterminateSystems/magic-nix-cache-action,https://github.com/DeterminateSystems/magic-nix-cache-action,MIT,2023-06-23 16:48:28,2025-07-15 02:38:56,2025-07-14 23:13:40,292,14.0,26.0,7,114.0,19.0,11.0,440,13.0,21,True,3,2025-07-15 02:38:56,13,13.0,4793.0,4793.0,,,,,
25,nix-index-database,nix-community/nix-index-database,Weekly updated nix-index database.,command-line-tools,https://github.com/nix-community/nix-index-database,https://github.com/nix-community/nix-index-database,MIT,2020-12-09 08:37:01,2025-07-27 04:19:49,2025-07-27 04:19:48,504,37.0,41.0,4,120.0,2.0,37.0,413,35.0,21,True,1,2025-07-27 04:00:17,2025-07-27-040015,100.0,,,507441.0,23065.0,,,
26,nix-installer-action,DeterminateSystems/nix-installer-action,"The fast, friendly, and reliable GitHub Action to install Nix with Flakes.",github-actions,https://github.com/DeterminateSystems/nix-installer-action,https://github.com/DeterminateSystems/nix-installer-action,LGPL-2.1,2023-01-13 18:03:12,2025-07-22 12:15:43,2025-07-14 22:53:06,332,22.0,22.0,4,153.0,14.0,25.0,204,14.0,21,True,3,2025-07-15 02:39:24,19,19.0,6786.0,6786.0,,,,,
27,NixOS & Flakes Book,ryan4yin/nixos-and-flakes-book,An unofficial and opinionated NixOS & Flakes book for beginners.,learning,https://github.com/ryan4yin/nixos-and-flakes-book,https://github.com/ryan4yin/nixos-and-flakes-book,CC-BY-SA-4.0,2023-06-23 05:59:01,2025-07-05 00:56:55,2025-07-05 00:56:55,610,23.0,121.0,18,133.0,7.0,41.0,2645,74.0,20,True,1,2025-06-16 16:15:06,0.5.2,35.0,,,1337.0,58.0,,,
28,nix-direnv,nix-community/nix-direnv,A fast loader and flake-compliant configuration for the direnv environment auto-loader.,development,https://github.com/nix-community/nix-direnv,https://github.com/nix-community/nix-direnv,MIT,2019-09-27 07:43:47,2025-07-28 00:38:39,2025-07-04 07:32:56,963,36.0,120.0,15,383.0,5.0,206.0,2252,75.0,20,True,1,2025-05-09 15:21:02,3.0.7,37.0,,,,,,,
29,comma,nix-community/comma,Quickly run any binary; wraps together `nix run` and `nix-index`.,command-line-tools,https://github.com/nix-community/comma,https://github.com/nix-community/comma,MIT,2020-04-28 22:00:21,2025-07-26 15:11:41,2025-07-26 15:11:41,185,40.0,56.0,52,65.0,10.0,33.0,1328,25.0,20,True,1,2025-07-24 18:16:44,2.3.0,20.0,,,,,,,
30,nixd,nix-community/nixd,"Nix language server, based on Nix libraries.",development,https://github.com/nix-community/nixd,https://github.com/nix-community/nixd,LGPL-3.0,2023-05-10 08:41:17,2025-06-09 02:51:54,2025-06-09 02:48:27,1295,17.0,40.0,7,452.0,50.0,204.0,1122,41.0,20,True,1,2025-05-09 18:54:40,2.6.4,27.0,,,,,,,
31,crane,ipetkov/crane,A Nix library for building Cargo projects with incremental artifact caching.,programming-languages,https://github.com/ipetkov/crane,https://github.com/ipetkov/crane,MIT,2022-01-16 04:23:52,2025-07-24 00:24:56,2025-07-24 00:24:15,745,16.0,110.0,6,455.0,22.0,259.0,1107,60.0,20,True,1,2025-07-19 17:45:06,0.21.0,53.0,,,,,['rust'],,
32,nvf,notashelf/nvf,"Highly modular, configurable, extensible and easy to use Neovim configuration in Nix.",nixos-modules,https://github.com/NotAShelf/nvf,https://github.com/NotAShelf/nvf,MIT,2023-02-01 17:13:58,2025-07-26 18:34:53,2025-07-26 18:22:23,2443,292.0,142.0,7,655.0,55.0,256.0,992,93.0,20,True,2,2024-12-04 14:22:01,0.7,6.0,,,,,,,
33,poetry2nix,nix-community/poetry2nix,Build Python packages directly from Poetrys `poetry.lock` files.,programming-languages,https://github.com/nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,MIT,2019-06-17 15:26:38,2025-04-03 14:27:04,2025-04-03 14:27:04,3486,,453.0,9,1413.0,170.0,323.0,926,334.0,20,True,1,2025-03-19 15:29:55,2025.3.1955794,100.0,,,,,['python'],,
34,crate2nix,nix-community/crate2nix,rebuild only changed crates in CI with crate2nix and nix.,programming-languages,https://github.com/nix-community/crate2nix,https://github.com/nix-community/crate2nix,Apache-2.0,2019-03-24 22:00:59,2025-07-23 13:22:18,2025-02-13 19:12:43,1357,,94.0,12,190.0,94.0,114.0,425,51.0,20,True,1,2024-06-30 15:14:42,0.14.1,18.0,51.0,51.0,,,,,
35,Colmena,zhaofengli/colmena,"A simple, stateless NixOS deployment tool modeled after NixOps and morph.",deployment-tools,https://github.com/zhaofengli/colmena,https://github.com/zhaofengli/colmena,MIT,2020-12-16 04:21:43,2025-07-26 16:32:57,2025-07-12 02:33:10,620,47.0,83.0,13,96.0,115.0,91.0,1642,35.0,19,True,1,2023-05-15 05:17:28,0.4.0,7.0,,,,,,,
36,Athena,Athena-OS/athena,Arch/Nix-based distro focused on Cybersecurity.,distributions,https://github.com/Athena-OS/athena,https://github.com/Athena-OS/athena,MIT,2022-06-14 21:39:15,2025-07-26 23:39:20,2025-07-26 23:39:08,490,15.0,91.0,30,18.0,10.0,132.0,1145,5.0,19,True,1,2024-01-30 23:39:23,23.11,13.0,,,10157.0,274.0,,,
37,mobile-nixos,mobile-nixos/mobile-nixos,NixOS for mobile devices like phones.,distributions,https://github.com/mobile-nixos/mobile-nixos,https://github.com/mobile-nixos/mobile-nixos,MIT,2018-06-10 01:00:58,2025-07-14 12:58:58,2025-07-14 12:58:57,3088,30.0,197.0,48,525.0,141.0,155.0,1092,50.0,19,True,1,,,,,,,,,,
38,nix-update,Mic92/nix-update,Update versions/source hashes of nix packages.,development,https://github.com/Mic92/nix-update,https://github.com/Mic92/nix-update,MIT,2020-03-05 11:31:09,2025-07-25 11:00:42,2025-07-25 10:56:03,703,63.0,75.0,10,302.0,34.0,78.0,630,57.0,19,True,1,2025-04-04 13:59:20,1.11.0,43.0,,,,,,,
39,emacs-overlay,nix-community/emacs-overlay,Bleeding edge Emacs overlay.,overlays,https://github.com/nix-community/emacs-overlay,https://github.com/nix-community/emacs-overlay,,2018-12-28 10:46:06,2025-07-27 17:07:38,2025-07-27 17:07:37,16816,721.0,170.0,9,207.0,8.0,281.0,561,83.0,19,True,1,,,,,,,,,,
40,nixpkgs-review,Mic92/nixpkgs-review,The best tool to verify that a pull-request in Nixpkgs is building properly.,development,https://github.com/Mic92/nixpkgs-review,https://github.com/Mic92/nixpkgs-review,MIT,2018-03-17 13:30:00,2025-07-25 11:00:19,2025-07-25 10:50:57,857,79.0,81.0,10,338.0,61.0,139.0,510,66.0,19,True,1,2025-06-13 13:27:41,3.4.0,38.0,,,,,,,
41,nixos-images,nix-community/nixos-images,Automatically build (netboot) images for NixOS.,installation-media,https://github.com/nix-community/nixos-images,https://github.com/nix-community/nixos-images,MIT,2021-06-10 04:52:45,2025-07-28 01:16:50,2025-07-21 11:29:44,638,41.0,52.0,6,342.0,6.0,23.0,305,23.0,19,True,2,2025-05-28 16:15:29,nixos-25.05,12.0,,,29885.0,695.0,,,
42,awesome-nix,nix-community/awesome-nix,A curated list of the best resources in the Nix community.,learning,https://github.com/nix-community/awesome-nix,https://github.com/nix-community/awesome-nix,CC0-1.0,2019-05-15 14:59:41,2025-07-02 11:25:58,2025-07-02 11:25:51,330,11.0,174.0,77,249.0,6.0,28.0,4194,113.0,18,True,1,,,,8.0,8.0,,,,,
43,NixOps,NixOS/nixops,"The official Nix deployment tool, compatible with AWS, Hetzner, and more.",deployment-tools,https://github.com/NixOS/nixops,https://github.com/NixOS/nixops,LGPL-3.0,2011-10-24 15:49:58,2025-02-12 08:16:03,2025-02-12 08:16:03,3601,,352.0,58,605.0,311.0,539.0,2014,158.0,18,True,1,,,,,,,,,,
44,nh,nix-community/nh,Yet another Nix CLI helper.,command-line-tools,https://github.com/nix-community/nh,https://github.com/nix-community/nh,EUPL-1.2,2022-02-08 19:42:42,2025-07-26 16:10:11,2025-07-26 16:09:02,679,223.0,63.0,8,144.0,34.0,184.0,1770,32.0,18,True,1,,,,1.0,1.0,,,,,
45,nil,oxalica/nil,"NIx Language server, an incremental analysis assistent for writing in Nix.",development,https://github.com/oxalica/nil,https://github.com/oxalica/nil,Apache-2.0,2022-07-19 08:55:08,2025-07-28 00:10:10,2025-07-28 00:09:52,546,23.0,49.0,8,62.0,23.0,89.0,1612,30.0,18,True,1,2025-06-13 06:48:41,2025-06-13,17.0,,,,,,,
46,nix-ld,nix-community/nix-ld,Run unpatched dynamic binaries on NixOS.,development,https://github.com/nix-community/nix-ld,https://github.com/nix-community/nix-ld,MIT,2020-11-15 09:46:18,2025-07-21 09:10:10,2025-07-21 09:09:05,416,48.0,19.0,14,138.0,10.0,27.0,1300,17.0,18,True,1,2025-07-15 07:22:01,2.0.5,15.0,,,,,,,
47,rust-overlay,oxalica/rust-overlay,Pure and reproducible nix overlay of binary distributed Rust toolchains.,programming-languages,https://github.com/oxalica/rust-overlay,https://github.com/oxalica/rust-overlay,MIT,2021-01-01 12:18:06,2025-07-27 02:52:45,2025-07-27 02:52:21,1862,93.0,74.0,10,71.0,14.0,144.0,1205,25.0,18,True,1,,,,,,,,['rust'],,
48,dream2nix,nix-community/dream2nix,A framework for automatically converting packages from other build systems to Nix.,development,https://github.com/nix-community/dream2nix,https://github.com/nix-community/dream2nix,MIT,2021-09-03 15:30:51,2025-07-26 18:43:57,2025-07-24 14:21:21,2437,45.0,140.0,15,813.0,172.0,127.0,1147,80.0,18,True,1,,,,,,,,,,
49,nix-index,nix-community/nix-index,Quickly locate Nix packages with specific files.,command-line-tools,https://github.com/nix-community/nix-index,https://github.com/nix-community/nix-index,,2017-02-10 15:50:02,2025-07-17 14:30:19,2025-07-17 14:00:07,319,11.0,60.0,8,164.0,66.0,50.0,1045,34.0,18,True,1,2025-07-17 14:30:55,0.1.9,6.0,28.0,28.0,,,,,
50,digga,divnix/digga,"A Nix flake utility library to structure your home, system, and development configurations.",development,https://github.com/divnix/digga,https://github.com/divnix/digga,MIT,2019-11-12 22:28:16,2024-05-17 10:20:04,2024-05-17 10:19:41,1358,,105.0,23,248.0,28.0,172.0,1012,52.0,18,False,1,2022-04-02 22:16:50,0.11.0,4.0,,,,,,,
51,morph,DBCDK/morph,A tool for managing existing NixOS hosts.,deployment-tools,https://github.com/DBCDK/morph,https://github.com/DBCDK/morph,MIT,2018-09-24 08:05:12,2025-07-23 06:09:02,2025-07-23 06:09:02,403,10.0,67.0,27,148.0,52.0,60.0,956,33.0,18,True,1,2024-10-23 08:41:20,1.8.0,10.0,,,,,,1.0,
52,hnix,haskell-nix/hnix,A Haskell re-implementation of the Nix expression language.,programming-languages,https://github.com/haskell-nix/hnix,https://github.com/haskell-nix/hnix,BSD-3-Clause,2014-06-28 23:30:50,2024-03-08 05:48:35,2024-02-18 08:51:56,3676,,113.0,33,590.0,130.0,368.0,799,64.0,18,False,1,2023-11-20 21:43:20,0.17.0,26.0,,,,,['haskell'],,
53,nixpkgs-wayland,nix-community/nixpkgs-wayland,Bleeding-edge Wayland packages.,overlays,https://github.com/nix-community/nixpkgs-wayland,https://github.com/nix-community/nixpkgs-wayland,,2018-10-24 01:30:44,2025-07-27 13:33:56,2025-07-27 13:00:34,10386,246.0,44.0,7,247.0,45.0,186.0,567,33.0,18,True,1,,,,,,,,,,
54,chaotic-nyx,chaotic-cx/nyx,Daily bumped bleeding edge packages like `mesa_git` & others that arent yet in Nixpkgs. Created by the makers of..,overlays,https://github.com/chaotic-cx/nyx,https://github.com/chaotic-cx/nyx,MIT,2023-03-27 20:33:14,2025-07-27 17:13:42,2025-07-27 17:13:42,2195,287.0,57.0,4,1033.0,10.0,87.0,534,45.0,18,True,1,,,,,,,,,,
55,vscode-nix-ide,nix-community/vscode-nix-ide,Nix language support for Visual Studio Code.,development,https://github.com/nix-community/vscode-nix-ide,https://github.com/nix-community/vscode-nix-ide,MIT,2020-07-12 23:06:57,2025-06-29 16:40:53,2025-06-29 16:40:39,428,20.0,36.0,7,417.0,18.0,57.0,395,31.0,18,True,1,2025-06-29 16:41:00,0.4.22,34.0,,,357.0,6.0,,,
56,ngipkgs,ngi-nix/ngipkgs,Nix packages and services for projects supported through the NGI program.,overlays,https://github.com/ngi-nix/ngipkgs,https://github.com/ngi-nix/ngipkgs,MIT,2023-02-14 11:21:46,2025-07-25 11:39:28,2025-07-25 11:39:28,1318,344.0,47.0,9,737.0,243.0,471.0,63,61.0,18,True,1,,,,,,,,,,
57,nixpkgs-vet,NixOS/nixpkgs-vet,"Tool to vet (check) Nixpkgs, including its pkgs/by-name directory.",command-line-tools,https://github.com/NixOS/nixpkgs-vet,https://github.com/NixOS/nixpkgs-vet,MIT,2024-03-16 08:35:08,2025-06-16 23:33:38,2025-06-16 23:33:38,507,22.0,10.0,8,137.0,26.0,8.0,47,11.0,18,True,1,2024-08-29 22:48:06,0.1.4,5.0,,,1135911.0,70994.0,,,
58,hlissner/dotfiles,hlissner/dotfiles,A comprehensive NixOS configuration example with detailed module structure.,learning,https://github.com/hlissner/dotfiles,https://github.com/hlissner/dotfiles,MIT,2013-03-01 08:33:14,2025-05-14 17:05:48,2025-05-14 17:05:11,2621,15.0,101.0,42,10.0,4.0,25.0,1812,7.0,17,True,2,,,,,,,,,,
59,microvm,astro/microvm.nix,NixOS-based MicroVMs.,virtualisation,https://github.com/microvm-nix/microvm.nix,https://github.com/microvm-nix/microvm.nix,MIT,2021-06-24 00:35:04,2025-07-24 20:22:27,2025-07-24 20:22:27,973,64.0,140.0,19,206.0,43.0,144.0,1810,65.0,17,True,1,,,,,,,,,1.0,microvm-nix/microvm.nix
60,nix-on-droid,nix-community/nix-on-droid,Nix-enabled environment for your Android device.,distributions,https://github.com/nix-community/nix-on-droid,https://github.com/nix-community/nix-on-droid,MIT,2019-03-06 18:52:50,2025-07-23 12:54:09,2025-07-21 12:28:15,458,8.0,104.0,31,127.0,95.0,202.0,1690,22.0,17,True,2,,,,,,,,,,
61,lanzaboote,nix-community/lanzaboote,Secure Boot for NixOS.,nixos-modules,https://github.com/nix-community/lanzaboote,https://github.com/nix-community/lanzaboote,GPL-3.0,2022-11-21 11:10:07,2025-07-24 13:17:35,2025-07-24 09:26:51,840,27.0,65.0,18,324.0,45.0,100.0,1228,36.0,17,True,2,2025-01-23 13:56:40,0.4.2,6.0,,,,,,,
62,nix-portable,DavHau/nix-portable,"Nix - Static, Permissionless, Installation-free, Pre-configured.",installation-media,https://github.com/DavHau/nix-portable,https://github.com/DavHau/nix-portable,MIT,2021-02-08 07:12:43,2025-07-28 01:12:47,2025-06-01 05:30:34,177,10.0,44.0,17,81.0,58.0,22.0,1076,13.0,17,True,2,2024-04-15 08:53:22,012,12.0,,,13606.0,256.0,,,
63,mach-nix,DavHau/mach-nix,Create highly reproducible python environments.,programming-languages,https://github.com/DavHau/mach-nix,https://github.com/DavHau/mach-nix,MIT,2020-04-22 09:32:18,2024-05-20 21:27:05,2024-05-09 13:40:43,564,,108.0,10,148.0,208.0,227.0,889,47.0,17,False,2,2022-06-01 12:00:53,3.5.0,19.0,3.0,3.0,,,['python'],,
64,fenix,nix-community/fenix,Rust toolchains and Rust analyzer nightly for nix.,programming-languages,https://github.com/nix-community/fenix,https://github.com/nix-community/fenix,MPL-2.0,2021-01-02 22:51:56,2025-07-27 07:16:15,2025-07-27 06:45:17,2337,91.0,59.0,10,102.0,34.0,55.0,850,22.0,17,True,2,,,,,,,,['rust'],,
65,srvos,nix-community/srvos,NixOS profiles for servers.,nixos-modules,https://github.com/nix-community/srvos,https://github.com/nix-community/srvos,MIT,2022-12-01 16:34:50,2025-07-28 01:13:53,2025-07-28 01:13:08,1199,79.0,47.0,19,635.0,12.0,24.0,759,39.0,17,True,2,,,,,,,,,,
66,Jovian-NixOS,Jovian-Experiments/Jovian-NixOS,NixOS modules for gaming with Steam Deck compatibility.,nixos-modules,https://github.com/Jovian-Experiments/Jovian-NixOS,https://github.com/Jovian-Experiments/Jovian-NixOS,MIT,2022-03-23 02:29:23,2025-07-25 04:37:26,2025-07-25 04:37:12,1326,110.0,69.0,24,338.0,37.0,106.0,728,20.0,17,True,2,,,,,,,,,,
67,jupyenv,tweag/jupyenv,Declarative and reproducible Jupyter environments - powered by Nix.,development,https://github.com/tweag/jupyenv,https://github.com/tweag/jupyenv,MIT,2018-12-18 10:10:58,2025-07-27 00:15:58,2024-12-03 01:17:10,594,,142.0,32,365.0,38.0,170.0,718,39.0,17,True,2,2023-01-31 21:35:49,0.1.0,1.0,,,,,,,
68,vulnix,nix-community/vulnix,Vulnerability (CVE) scanner for Nix/NixOS.,security,https://github.com/nix-community/vulnix,https://github.com/nix-community/vulnix,BSD-3-Clause,2016-06-27 08:08:54,2025-07-14 22:17:19,2025-06-24 19:32:40,349,2.0,39.0,14,54.0,18.0,53.0,588,26.0,17,True,1,2025-03-21 08:52:28,1.11.0,3.0,3.0,3.0,,,,-1.0,
69,services-flake,juspay/services-flake,A NixOS-like service configuration framework for Nix flakes.,development,https://github.com/juspay/services-flake,https://github.com/juspay/services-flake,MIT,2023-06-19 21:44:26,2025-07-27 00:49:58,2025-07-27 00:49:58,559,41.0,52.0,12,427.0,35.0,88.0,557,30.0,17,True,2,2024-12-10 12:11:02,0.4.0,4.0,,,,,,,
