,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,updated_github_id,labels,trending,gitlab_id,gitlab_url
44,System Manager,numtide/system-manager,A non-NixOS Linux system configuration tool built on Nix.,overlays,https://github.com/numtide/system-manager,https://github.com/numtide/system-manager,,2023-03-22 16:38:41,2026-04-03 13:32:01,2026-04-01 18:55:19,950.0,239.0,45.0,20.0,345.0,47.0,45.0,1477,19,True,1,2026-03-12 12:02:51,1.1.0,,,2.0,33.0,,,,,,,
45,rust-overlay,oxalica/rust-overlay,Pure and reproducible nix overlay of binary distributed Rust toolchains.,programming-languages,https://github.com/oxalica/rust-overlay,https://github.com/oxalica/rust-overlay,MIT,2021-01-01 12:18:06,2026-04-05 03:13:16,2026-04-05 03:12:47,2133.0,100.0,86.0,8.0,82.0,15.0,159.0,1438,19,True,2,,,,,,25.0,,,,['rust'],,,
46,KuberNix,saschagrunert/kubernix,Single-dependency Kubernetes clusters via Nix packages.,deployment-tools,https://github.com/saschagrunert/kubernix,https://github.com/saschagrunert/kubernix,Apache-2.0,2019-09-22 16:33:58,2026-04-03 21:27:46,2026-04-03 21:27:44,1066.0,30.0,26.0,9.0,1216.0,1.0,24.0,799,19,True,1,2026-03-30 13:50:41,0.3.1,82.0,1.0,5.0,8.0,51.0,51.0,,,,,
47,git-hooks.nix,cachix/git-hooks.nix,Seamless integration of git hooks with Nix.,development,https://github.com/cachix/git-hooks.nix,https://github.com/cachix/git-hooks.nix,Apache-2.0,2019-08-16 13:01:11,2026-04-01 09:43:04,2026-04-01 09:43:04,1200.0,47.0,218.0,4.0,500.0,62.0,140.0,795,19,True,1,,,,,,162.0,,,,,1.0,,
48,nix-update,Mic92/nix-update,Update versions/source hashes of nix packages.,development,https://github.com/Mic92/nix-update,https://github.com/Mic92/nix-update,MIT,2020-03-05 11:31:09,2026-04-05 04:34:57,2026-04-05 04:34:56,984.0,74.0,97.0,11.0,444.0,45.0,90.0,754,19,True,1,2025-12-11 21:03:54,1.14.0,,,48.0,76.0,,,,,,,
49,catppuccin/nix,catppuccin/nix,Catppuccin for Nix brings the soothing pastel aesthetics of the Catppuccin theme to your NixOS and home-manager..,theming,https://github.com/catppuccin/nix,https://github.com/catppuccin/nix,MIT,2023-03-27 01:56:44,2026-04-03 10:49:36,2026-04-03 10:49:33,624.0,60.0,99.0,5.0,628.0,29.0,206.0,703,19,True,2,2026-01-06 15:38:24,25.11,,,9.0,85.0,,,,,,,
50,emacs-overlay,nix-community/emacs-overlay,Bleeding edge Emacs overlay.,overlays,https://github.com/nix-community/emacs-overlay,https://github.com/nix-community/emacs-overlay,,2018-12-28 10:46:06,2026-04-05 09:30:44,2026-04-05 09:30:44,18630.0,608.0,174.0,10.0,224.0,8.0,293.0,613,19,True,1,,,,,,86.0,,,,,,,
51,nixpkgs-vet,NixOS/nixpkgs-vet,"Tool to vet (check) Nixpkgs, including its pkgs/by-name directory.",command-line-tools,https://github.com/NixOS/nixpkgs-vet,https://github.com/NixOS/nixpkgs-vet,MIT,2024-03-16 08:35:08,2026-04-05 22:28:25,2026-04-05 22:28:25,592.0,60.0,16.0,9.0,174.0,21.0,20.0,67,19,True,2,2026-04-05 01:16:55,0.3.0,1163772.0,46550.0,7.0,15.0,,,,,1.0,,
52,awesome-nix,nix-community/awesome-nix,A curated list of the best resources in the Nix community.,learning,https://github.com/nix-community/awesome-nix,https://github.com/nix-community/awesome-nix,CC0-1.0,2019-05-15 14:59:41,2026-02-26 00:32:49,2026-02-22 03:50:51,406.0,18.0,194.0,77.0,290.0,9.0,29.0,5026,18,True,2,,,,,,124.0,8.0,8.0,,,,,
53,NixOps,NixOS/nixops,"The official Nix deployment tool, compatible with AWS, Hetzner, and more.",deployment-tools,https://github.com/NixOS/nixops,https://github.com/NixOS/nixops,LGPL-3.0,2011-10-24 15:49:58,2025-12-28 16:45:15,2025-12-28 16:45:15,3603.0,,353.0,54.0,606.0,311.0,539.0,2139,18,True,1,,,,,,159.0,,,,,,,
