,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id,gitlab_id,gitlab_url
149,raspberry-pi-nix,nix-community/raspberry-pi-nix,NixOS modules to aid in configuring NixOS for Raspberry PI products.,installation-media,https://github.com/nix-community/raspberry-pi-nix,https://github.com/nix-community/raspberry-pi-nix,MIT,2022-05-21 01:16:06,2025-03-23 01:24:31,2025-03-17 14:59:51,165.0,,80.0,9.0,46.0,13.0,53.0,307,14.0,14,True,3.0,2024-11-05 03:51:57,0.4.1,7.0,,,,,,,,,
150,NobbZ/nixos-config,NobbZ/nixos-config,An example of NixOS system configuration with home-manager integration.,nix-configurations,https://github.com/NobbZ/nixos-config,https://github.com/NobbZ/nixos-config,MIT,2020-10-28 15:25:22,2025-09-14 02:46:43,2025-09-14 02:46:41,4784.0,162.0,6.0,3.0,1313.0,11.0,4.0,261,8.0,14,True,3.0,,,,,,,,,,,,
151,pyproject.nix,pyproject-nix/pyproject.nix,A collection of Nix utilities to work with Python projects.,programming-languages,https://github.com/pyproject-nix/pyproject.nix,https://github.com/pyproject-nix/pyproject.nix,MIT,2023-07-17 10:21:45,2025-09-07 11:58:48,2025-09-07 11:58:47,505.0,21.0,26.0,8.0,321.0,3.0,41.0,254,15.0,14,True,2.0,,,,,,,,['python'],,,,
152,nixpkgs-esp-dev,mirrexagon/nixpkgs-esp-dev,Nix flake and overlay for ESP8266 and ESP32 development.,overlays,https://github.com/mirrexagon/nixpkgs-esp-dev,https://github.com/mirrexagon/nixpkgs-esp-dev,CC0-1.0,2019-06-01 04:00:43,2025-08-19 07:13:37,2025-08-19 07:13:37,193.0,23.0,79.0,10.0,53.0,16.0,31.0,233,27.0,14,True,2.0,,,,,,,,,,,,
153,cached-nix-shell,xzfc/cached-nix-shell,A `nix-shell` replacement that uses caching to open subsequent shells quickly.,development,https://github.com/xzfc/cached-nix-shell,https://github.com/xzfc/cached-nix-shell,Unlicense,2019-09-18 14:23:00,2024-11-24 23:00:19,2024-06-23 18:47:25,182.0,,15.0,7.0,7.0,7.0,21.0,225,6.0,14,False,3.0,2024-06-23 19:21:14,0.1.6,3.0,8.0,8.0,,,,,,,
154,Easy PureScript Nix,justinwoo/easy-purescript-nix,A project to easily use PureScript and other tools with Nix.,programming-languages,https://github.com/justinwoo/easy-purescript-nix,https://github.com/justinwoo/easy-purescript-nix,MIT,2018-10-21 15:16:08,2025-08-03 20:23:24,2025-08-03 20:23:24,460.0,4.0,54.0,8.0,195.0,7.0,31.0,204,32.0,14,True,2.0,,,,,,,,,,,,
155,sbomnix,tiiuae/sbomnix,A suite of utilities to help with software supply chain challenges on nix targets.,security,https://github.com/tiiuae/sbomnix,https://github.com/tiiuae/sbomnix,,2022-12-08 10:45:27,2025-09-11 06:16:59,2025-09-09 08:56:41,345.0,32.0,28.0,8.0,192.0,10.0,16.0,197,17.0,14,True,2.0,2025-09-09 09:11:39,1.7.3,18.0,,,390.0,12.0,,,,,
156,clj-nix,jlesquembre/clj-nix,Nix helper functions for Clojure projects.,programming-languages,https://github.com/jlesquembre/clj-nix,https://github.com/jlesquembre/clj-nix,EPL-2.0,2022-04-02 19:16:53,2025-09-08 03:56:45,2025-09-01 10:33:55,255.0,5.0,23.0,6.0,101.0,27.0,46.0,167,16.0,14,True,2.0,2024-11-20 01:44:18,0.4.0,1.0,,,,,,,,,
157,NixNeovimPlugins,NixNeovim/NixNeovimPlugins,Makes all neovim plugins available in nix (Auto updated).,overlays,https://github.com/NixNeovim/NixNeovimPlugins,https://github.com/NixNeovim/NixNeovimPlugins,MIT,2022-08-13 14:50:55,2025-09-14 14:22:42,2025-09-14 14:22:42,1409.0,26.0,26.0,2.0,95.0,1.0,43.0,140,34.0,14,True,2.0,,,,1.0,1.0,,,,,,,
158,nix-unit,nix-community/nix-unit,Unit testing for Nix code.,development,https://github.com/nix-community/nix-unit,https://github.com/nix-community/nix-unit,GPL-3.0,2023-07-21 05:23:06,2025-09-13 16:45:23,2025-09-13 16:42:04,628.0,14.0,12.0,3.0,256.0,6.0,11.0,102,21.0,14,True,3.0,2025-08-12 07:35:02,2.30.0,4.0,,,,,,,,,
159,Misterio77/nix-starter-configs,Misterio77/nix-starter-configs,A few simple Nix Flake templates for getting started with NixOS + home-manager.,nix-configurations,https://github.com/Misterio77/nix-starter-configs,https://github.com/Misterio77/nix-starter-configs,CC0-1.0,2021-12-16 20:29:26,2024-09-07 01:05:58,2024-09-07 01:05:58,97.0,,157.0,51.0,21.0,22.0,50.0,3339,10.0,13,True,3.0,,,,,,,,,,,,
160,deploy-rs,serokell/deploy-rs,A simple multi-profile Nix-flake deploy tool.,deployment-tools,https://github.com/serokell/deploy-rs,https://github.com/serokell/deploy-rs,,2020-09-28 17:46:15,2025-09-08 02:00:53,2025-09-01 09:39:07,341.0,1.0,118.0,26.0,140.0,90.0,109.0,1780,40.0,13,True,3.0,,,,,,,,,,,,
161,proxmox-nixos,SaumonNet/proxmox-nixos,"The Proxmox Hypervisor, on NixOS.",virtualisation,https://github.com/SaumonNet/proxmox-nixos,https://github.com/SaumonNet/proxmox-nixos,AGPL-3.0,2024-02-18 13:54:11,2025-08-05 21:14:30,2025-08-05 21:14:30,431.0,10.0,53.0,18.0,129.0,22.0,41.0,1013,17.0,13,True,3.0,,,,,,,,,,,,
162,tvix,tvlfyi/tvix,Tvix - A Rust implementation of Nix.,programming-languages,https://github.com/tvlfyi/tvix,https://github.com/tvlfyi/tvix,GPL-3.0,2023-02-01 16:57:15,2025-09-14 09:25:01,2025-09-14 09:18:23,3208.0,16.0,15.0,19.0,3.0,,,891,50.0,13,True,2.0,,,,,,,,['rust'],,,,
163,musnix,musnix/musnix,Do real-time audio work in NixOS.,nixos-modules,https://github.com/musnix/musnix,https://github.com/musnix/musnix,BSD-3-Clause,2014-12-22 20:57:55,2025-09-03 01:20:52,2025-09-02 22:38:50,417.0,1.0,60.0,17.0,156.0,11.0,54.0,779,37.0,13,True,3.0,,,,,,,,,,,,
164,nix-topology,oddlama/nix-topology,Generate infrastructure and network diagrams directly from your NixOS configuration.,nixos-modules,https://github.com/oddlama/nix-topology,https://github.com/oddlama/nix-topology,MIT,2024-04-03 20:05:49,2025-07-09 20:44:38,2025-07-09 20:44:37,213.0,5.0,34.0,12.0,63.0,9.0,13.0,771,22.0,13,True,3.0,,,,,,,,,,,,
165,nix2container,nlewo/nix2container,An archive-less dockerTools.buildImage implementation.,deployment-tools,https://github.com/nlewo/nix2container,https://github.com/nlewo/nix2container,Apache-2.0,2021-12-23 09:45:34,2025-07-08 19:26:04,2025-07-08 19:26:03,203.0,2.0,62.0,13.0,78.0,49.0,48.0,704,29.0,13,True,3.0,,,,,,,,,,,,
166,NixOps4,nixops4/nixops4,Deploy with Nix and manage resources declaratively.,deployment-tools,https://github.com/nixops4/nixops4,https://github.com/nixops4/nixops4,LGPL-2.1,2024-03-18 14:07:58,2025-09-03 15:56:05,2025-09-02 01:21:30,406.0,54.0,14.0,32.0,78.0,24.0,9.0,661,6.0,13,True,3.0,,,,,,,,,,,,
167,deadnix,astro/deadnix,Scan Nix files for dead code.,command-line-tools,https://github.com/astro/deadnix,https://github.com/astro/deadnix,GPL-3.0,2021-12-05 23:06:43,2025-09-14 01:23:42,2025-09-04 17:39:50,291.0,12.0,19.0,3.0,80.0,3.0,23.0,645,18.0,13,True,2.0,,,,7.0,7.0,,,,,,,
