,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,updated_github_id,trending,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2026-04-27 00:17:45,2026-04-27 00:12:11,987501.0,50262.0,18445.0,274.0,457416.0,8974.0,45986.0,24453,33,True,1,,,,,,,,,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2026-04-22 19:20:56,2026-04-20 22:40:28,1746.0,25.0,309.0,43.0,1983.0,398.0,439.0,11489,29,True,1,2026-04-21 16:02:02,0.17.2,2192519.0,78304.0,100.0,102.0,,,,,,
2,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2026-04-25 09:36:31,2026-04-25 09:36:31,6380.0,1100.0,484.0,26.0,1331.0,294.0,1131.0,6714,28,True,1,2026-03-22 08:42:56,2.0.6,,,48.0,277.0,1.0,1.0,,,,
3,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2026-04-26 20:52:06,2026-04-26 20:52:06,6619.0,458.0,2337.0,50.0,5997.0,676.0,2458.0,9688,27,True,1,,,,,,1610.0,,,,,,
4,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/nickel-lang/nickel,https://github.com/nickel-lang/nickel,MIT,2019-01-08 21:43:11,2026-04-26 21:34:37,2026-04-26 14:02:08,5045.0,86.0,112.0,26.0,1749.0,141.0,560.0,2898,26,True,1,2026-02-27 01:18:35,1.16.0,160852.0,3282.0,29.0,95.0,,,nickel-lang/nickel,,,
5,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2026-04-24 13:33:32,2026-04-23 02:10:11,762.0,45.0,154.0,25.0,705.0,35.0,224.0,2883,26,True,1,2026-03-01 15:30:53,2511.7.1,73106.0,1179.0,11.0,53.0,,,,1.0,,
6,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2026-04-22 10:37:39,2026-04-13 10:46:50,404.0,16.0,84.0,10.0,157.0,16.0,100.0,672,25,True,1,2026-04-22 10:37:40,31.10.5,,,58.0,34.0,37413.0,37413.0,,,,
7,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2026-04-26 00:11:51,2026-04-23 20:53:42,819.0,21.0,93.0,13.0,900.0,390.0,522.0,3534,24,True,1,2026-04-23 20:53:49,3.18.1,1270169.0,40973.0,100.0,35.0,3.0,3.0,,,,
8,llm-agents.nix,numtide/llm-agents.nix,Nix packages for AI coding agents and development tools. Automatically updated daily.,ai-tooling,https://github.com/numtide/llm-agents.nix,https://github.com/numtide/llm-agents.nix,MIT,2025-07-18 10:29:06,2026-04-26 21:30:39,2026-04-26 21:28:29,7951.0,4312.0,115.0,3.0,4200.0,3.0,149.0,1089,24,True,1,2025-10-28 07:09:55,assets,9044.0,1507.0,1.0,84.0,,,,1.0,,
9,treefmt,numtide/treefmt,"One CLI to format the code tree, using formatters such as alejandra, prettier, etc.",command-line-tools,https://github.com/numtide/treefmt,https://github.com/numtide/treefmt,MIT,2020-12-18 10:30:54,2026-04-15 15:55:36,2026-04-15 15:55:34,842.0,43.0,53.0,12.0,456.0,59.0,164.0,986,24,True,1,2026-04-07 20:05:42,2.5.0,107934.0,1829.0,31.0,23.0,8.0,8.0,,,,
10,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2026-04-26 01:12:18,2026-04-26 01:12:17,4208.0,105.0,251.0,18.0,1516.0,159.0,815.0,624,24,True,1,2026-03-23 21:58:06,nix-tools-0.4.2,26066.0,1042.0,17.0,164.0,,,,,,
